edad,horas_ejercicio_semanal,calorias_diarias,horas_sueno,pasos_diarios
20.29,6.03,2278.66,7.7,12295.73
19.65,5.31,2220.41,7.17,15953.2
28.36,6.21,2374.47,7.6,12887.38
23.46,4.6,2524.42,6.66,11896.47
17.46,6.3,2382.78,7.77,13935.62
25.3,6.75,2604.01,7.63,12379.2
29.64,4.21,2204.09,7.79,12377.16
25.72,6.34,2398.37,7.98,10035.07
16.53,7.1,2230.93,7.67,12420.93
20.26,4.91,2449.09,7.57,13863.8
26.56,7.51,2519.73,7.1,10495.09
19.45,6.38,2343.2,7.18,14564.09
23.6,5.37,2048.43,8.03,11834.93
24.79,5.95,2426.86,8.15,10402.01
18.66,6.5,2458.96,7.39,13795.74
21.79,6.07,2454.58,7.52,11483.77
10.33,6.48,2566.83,7.09,13367.13
18.31,5.17,2255.41,8.03,11474.83
21.09,6.15,2491.83,7.8,11892.31
17.51,4.73,2560.99,8.37,12888.41
27.88,5.9,2159.89,7.1,12523.61
16.85,5.19,2443.15,7.33,8408.04
20.42,5.34,2331.94,7.6,9981.76
22.47,7.11,2388.99,7.79,13672.94
27.19,6.98,2446.94,7.4,11762.15
16.83,6.55,2334.22,7.11,11057.28
26.19,5.02,2308.78,7.9,9554.57
22.04,5.72,2404.61,7.82,10056.47
18.47,7.09,2253.22,7.09,8360.76
23.66,6.13,2253.41,8.11,11817.69
22.72,8.09,2491.72,8.03,10922.81
19.84,6.35,2244.91,7.56,10260.14
22.25,6.17,2489.95,7.54,11877.38
20.61,5.72,2462.45,7.75,12655.15
22.41,6.12,2167.02,7.11,15767.76
24.38,5.86,2308.53,7.51,9278.61
27.71,6.64,2561.2,6.53,14086.89
17.54,6.86,2267.54,7.89,13751.58
29.68,5.29,2337.31,6.8,10597.63
14.97,4.8,2462.38,8.18,12365.82
21.45,4.35,2505.76,7.35,11176.26
24.12,6.46,2366.04,7.4,12334.24
23.01,5.01,2319.34,7.22,14716.44
19.76,4.06,2592.02,7.37,13090.09
21.25,6.35,2634.75,8.14,12915.5
20.23,8.24,2532.15,6.38,11225.44
19.88,5.99,2411.52,8.07,9328.7
25.06,6.75,2290.88,7.65,11624.76
23.29,6.07,2287.89,6.96,14171.89
19.51,5.91,2470.54,7.02,9251.1
25.24,6.83,2456.48,8.25,10100.84
23.11,5.74,2589.22,7.07,12227.28
24.93,6.24,2487.81,6.98,10227.62
24.27,6.29,2197.08,8.01,10573.46
19.02,5.4,2542.01,7.65,11237.52
19.98,6.89,2265.26,7.08,9541.89
24.69,5.84,2348.16,7.6,10246.58
24.2,5.32,2433.78,7.04,13266.17
21.92,6.48,2669.42,8.0,9646.73
22.42,5.19,2819.84,7.98,9123.83
26.6,6.03,2481.91,7.74,10865.96
19.87,5.99,2375.27,7.66,13317.52
23.97,6.98,2472.16,8.29,11645.54
21.27,6.43,2519.83,7.5,11163.75
21.22,5.98,2356.71,6.97,12079.85
25.96,6.74,2642.35,7.7,8857.73
24.97,7.25,2431.06,8.44,12890.47
24.93,6.5,2467.2,7.04,12690.18
26.7,6.01,2489.9,7.34,11263.24
22.08,4.82,2456.91,7.69,13810.66
24.46,5.04,2513.26,7.48,9970.51
20.88,5.73,2316.67,7.06,14030.24
23.17,5.45,2324.63,8.0,12278.09
21.53,5.83,2251.48,8.54,11394.21
22.35,6.05,2459.33,7.59,11964.23
24.14,6.48,2505.16,7.09,11806.92
19.05,5.94,2461.8,6.8,14196.51
29.53,6.44,2626.06,7.62,10061.98
18.38,6.06,2399.24,8.0,10627.47
17.63,4.22,2490.28,7.71,13865.35
26.17,5.15,2252.62,7.5,10928.04
24.85,5.87,2347.74,7.23,13620.96
24.25,4.91,2493.9,7.01,15058.98
24.26,6.54,2514.63,7.88,11276.77
21.96,7.38,2360.31,7.91,13226.45
18.77,7.1,2390.33,6.8,9923.35
22.27,5.81,2195.09,8.22,13358.52
19.56,7.34,2351.8,7.76,12358.96
25.51,6.13,2520.2,8.13,12851.47
21.47,5.7,2477.65,6.9,10837.97
19.03,5.45,2467.59,6.89,9010.05
20.84,5.73,2406.72,7.43,12905.85
23.49,5.65,2400.95,7.73,8285.87
19.97,6.15,2310.86,8.31,11428.77
19.04,6.14,2494.34,7.82,13694.13
22.88,6.0,2456.83,7.39,12345.42
22.88,6.39,2466.42,7.04,15507.02
20.18,7.07,2328.99,8.05,13845.2
20.3,6.85,2109.3,7.07,10822.98
22.84,4.66,2548.12,8.23,12049.16
16.79,3.7,2335.36,7.37,11914.73
16.93,6.84,2283.53,8.22,9152.08
19.41,4.77,2493.62,7.81,10307.28
21.23,5.8,2347.08,7.44,10990.63
23.12,4.95,2543.09,7.27,8334.8
27.31,4.38,2483.3,7.35,12085.49
25.09,6.49,2492.28,7.69,11551.67
21.42,6.68,2215.6,7.53,8988.79
21.93,5.48,2563.61,7.23,12727.58
18.39,3.67,2435.27,7.43,13288.57
21.93,5.51,2350.15,7.54,12408.66
20.96,6.35,2419.36,6.54,11416.68
23.16,4.67,2160.21,7.71,13064.6
19.02,6.17,2455.17,7.06,13224.4
23.87,5.99,2261.03,6.98,12553.33
27.52,6.52,2217.39,6.74,10515.7
21.61,6.11,2194.48,6.69,12497.88
23.45,5.12,2550.21,6.89,14151.87
24.48,7.08,2315.05,7.18,10926.07
20.56,5.86,2607.05,8.38,15776.29
22.81,5.98,2327.67,7.26,11053.86
22.05,5.16,2169.51,7.58,12058.33
22.35,5.6,2249.27,7.68,10789.53
19.22,5.2,2566.83,7.56,12401.89
22.09,5.84,2378.95,7.47,8864.0
23.79,7.54,2325.98,6.96,11017.12
27.22,4.77,2421.6,8.15,10034.18
25.45,4.55,2467.74,8.31,12243.61
29.75,7.32,2550.85,6.74,13790.01
19.24,5.81,2595.55,7.04,13162.81
25.14,5.4,2351.43,7.37,7731.01
22.66,6.94,2220.98,7.07,15675.73
29.88,5.45,2344.18,7.73,12531.5
19.09,7.64,2435.14,7.17,10602.3
18.98,6.61,2269.89,8.47,12282.83
19.84,5.56,2270.78,8.04,12317.14
14.35,7.94,2446.41,7.6,10799.67
20.11,5.45,2393.43,7.96,12356.25
19.27,6.67,2404.43,8.0,10906.55
22.54,6.27,2297.6,7.25,11272.15
23.23,7.17,2368.9,7.13,10764.7
28.75,7.41,2275.23,7.54,9421.19
25.42,6.03,2520.18,7.89,12262.51
19.92,5.32,2539.76,7.56,13053.54
18.77,6.41,2150.76,6.79,12926.79
23.77,5.39,2274.52,7.14,13475.87
17.25,7.81,2197.97,7.47,12583.81
28.59,6.12,2312.25,7.47,11041.09
26.25,5.67,2388.74,8.39,13511.39
20.31,6.17,2204.3,6.88,9556.47
15.83,4.79,2275.55,7.73,10378.79
26.87,5.13,2264.47,8.17,10264.44
21.59,7.08,2427.98,8.52,13944.1
26.46,5.41,2409.36,7.32,13697.02
16.26,5.06,2302.57,7.72,12877.15
19.84,6.48,2423.87,7.76,13929.47
22.02,7.07,2326.2,7.59,10417.29
22.17,6.65,2363.33,7.46,12627.47
20.38,6.9,2625.92,7.7,11774.69
24.24,5.32,2580.96,6.36,13524.39
18.16,4.72,2224.56,7.81,11792.6
21.49,7.35,2512.01,7.56,11307.1
22.43,5.71,2509.54,7.4,12973.64
23.85,5.77,2244.98,8.42,13577.1
24.56,7.2,2510.53,7.2,10796.98
17.95,6.5,2607.62,7.32,11890.06
16.48,6.41,2248.46,8.4,10094.81
26.6,7.95,2276.14,7.13,7503.49
23.2,5.42,2537.38,7.25,12360.83
19.31,6.84,2436.65,7.43,13096.03
27.58,6.05,2474.45,7.88,12471.72
22.42,6.24,2445.98,7.59,8490.79
26.25,7.38,2452.74,6.92,11368.47
22.24,6.46,2220.93,7.26,8006.97
29.42,6.48,2541.39,7.23,14465.46
28.32,6.97,2557.89,7.47,10045.1
21.1,5.67,2369.03,7.69,14259.73
25.5,5.24,2394.13,7.69,13702.57
24.32,5.06,2193.3,6.7,10378.94
26.93,4.23,2469.42,7.98,9960.99
18.53,7.85,2477.23,7.61,12630.67
24.47,5.01,2391.6,8.12,10480.22
25.81,5.8,2551.79,7.7,12184.47
15.67,5.75,2354.9,8.0,11130.91
17.74,6.28,2476.22,7.71,8793.91
14.66,6.73,2262.35,8.11,7985.16
21.03,6.77,2396.82,7.74,12408.03
24.58,5.48,2376.46,7.46,10989.2
27.41,5.85,2430.42,8.52,11004.44
22.27,6.25,2350.11,7.9,13252.55
27.86,5.78,2382.25,7.76,14112.2
17.03,7.45,2511.52,6.93,11509.42
15.87,6.44,2341.04,6.92,11386.92
21.8,6.66,2183.11,7.63,12900.26
23.38,6.6,2636.19,7.57,9557.52
21.88,7.06,2586.5,7.22,12401.68
14.56,6.16,2225.54,7.56,12993.39
21.68,4.83,2493.11,8.21,13224.41
17.3,6.36,2332.1,7.81,8513.85
24.41,5.41,2435.57,6.99,10629.56
23.32,5.52,2439.72,7.45,10419.13
18.62,6.53,2368.35,7.14,12179.8
20.15,7.11,2294.19,7.33,12865.34
18.19,6.02,2306.78,7.31,14694.08
21.77,6.28,2276.31,7.29,11109.06
25.44,7.53,2287.7,6.94,11104.37
18.45,6.22,2390.93,7.44,14069.41
23.81,8.34,2303.37,7.25,12533.84
20.09,6.51,2492.08,6.18,14281.77
19.15,4.42,2600.78,8.42,12519.71
21.61,6.68,2321.69,7.99,9917.19
18.27,6.34,2432.32,7.33,9600.37
20.01,7.16,2467.46,7.51,9207.28
17.69,6.61,2463.72,6.97,13191.69
29.07,5.88,2410.25,8.26,14139.47
22.13,4.9,2500.26,8.35,15328.85
19.48,5.81,2465.1,7.57,13517.59
22.77,5.23,2232.92,7.96,14093.11
21.6,5.48,2517.34,7.58,10955.97
21.2,6.53,2519.78,6.9,9918.45
24.21,7.5,2296.96,7.31,13530.14
24.73,6.36,2405.12,7.56,12751.83
20.09,4.92,2492.25,7.3,12193.4
19.93,6.4,2371.74,7.4,12697.27
21.01,7.08,2544.85,7.46,12581.73
13.71,5.45,2719.12,7.46,14310.87
16.55,5.88,2293.89,7.52,14330.97
26.92,6.01,2213.56,7.02,12979.6
27.92,5.29,2441.02,7.18,13522.45
21.1,6.58,2497.41,6.92,12925.31
24.08,5.89,2368.83,7.94,11169.89
23.12,6.38,2596.19,6.55,13361.82
33.08,5.2,2219.29,8.02,9489.91
26.03,5.61,2493.54,8.12,13897.0
21.54,6.65,2318.21,7.36,9849.86
18.56,5.66,2632.12,6.33,12514.45
16.22,7.55,2668.99,7.34,10478.72
22.73,5.64,2296.5,7.47,12996.1
19.28,6.2,2325.81,7.05,11938.93
16.88,6.84,2516.04,7.27,9129.44
19.67,4.72,2347.74,8.19,12757.26
18.11,4.42,2393.87,7.8,10959.74
28.07,4.63,2403.43,7.08,13586.06
25.17,7.14,2140.84,6.78,12002.39
21.97,5.5,2398.13,7.35,12711.76
27.33,8.3,2306.89,7.4,10276.38
22.28,5.49,2333.43,7.72,10939.2
18.9,6.17,2594.89,7.26,11174.45
27.48,7.39,2230.37,7.73,13542.06
23.94,7.81,2509.78,8.37,15019.28
18.27,7.86,2362.34,7.87,10550.69
21.31,7.09,2362.23,7.48,13938.33
18.85,6.92,2506.7,7.42,8094.58
17.02,6.53,2445.91,7.34,9850.46
25.33,6.7,2477.03,8.03,10274.2
28.87,5.5,2530.7,7.22,9565.48
16.97,5.26,2355.27,7.52,9149.54
24.03,6.0,2317.35,7.52,12743.4
19.66,5.85,2253.5,7.27,11614.68
20.25,5.59,2288.57,6.88,12682.93
19.87,6.63,2798.13,7.65,13242.85
18.89,6.86,2568.03,7.47,12478.11
22.17,6.08,2217.6,7.73,13183.97
19.01,7.33,2221.47,7.26,11874.84
22.97,4.97,2465.05,8.05,9863.41
21.82,5.83,2473.88,7.11,13904.07
21.14,5.35,2474.1,8.27,10939.6
18.73,4.32,2365.58,6.71,10315.93
19.92,5.93,2383.06,7.7,11679.75
24.72,5.89,2444.26,7.71,10356.94
23.8,7.36,2411.6,7.14,11248.63
18.48,6.57,2100.39,7.69,12619.3
22.36,5.08,2368.98,8.08,12627.02
24.7,7.67,2285.06,6.5,10383.91
15.99,7.1,2423.65,7.73,11122.13
23.96,6.52,2803.01,6.38,13933.8
19.61,5.8,2449.61,7.07,12893.52
24.05,5.14,2357.67,8.23,15735.12
19.25,5.67,2524.44,7.24,14124.23
15.5,6.98,2465.16,6.97,14059.73
16.14,7.7,2456.71,7.41,9501.84
22.17,7.39,2481.92,8.43,13374.95
22.94,5.56,2677.63,6.68,11904.41
18.74,4.99,2247.33,7.03,11008.23
24.3,6.13,2463.94,8.17,12302.43
16.02,4.41,2274.94,8.34,13701.38
21.76,6.29,2474.99,7.45,12901.5
17.64,5.87,2275.98,6.94,10418.75
19.65,5.58,2343.66,8.44,13336.43
22.17,4.56,2360.16,8.22,10852.34
18.9,6.46,2531.74,7.81,12390.03
20.62,5.52,2523.99,7.13,11453.97
25.62,4.95,2231.83,7.48,11606.04
19.92,3.41,2407.42,7.43,13379.24
25.01,5.98,2304.21,7.65,10127.65
17.93,7.6,2230.1,8.15,15501.35
23.91,7.5,2370.7,7.9,8722.05
27.19,5.59,2358.35,7.02,10924.2
13.1,5.46,2727.61,8.12,12666.38
19.13,6.42,2458.45,7.64,13051.77
24.08,5.1,2214.02,7.81,11819.14
21.27,6.27,2323.76,8.16,11896.7
23.34,6.69,2537.89,7.0,12738.99
19.83,7.1,2681.94,7.48,11584.07
22.31,5.91,2185.89,7.26,14507.73
21.44,5.82,2146.21,6.79,13510.83
26.2,5.21,2652.58,7.66,13571.08
22.92,5.26,2452.6,8.63,10260.92
23.22,5.8,2282.78,6.67,11857.1
20.52,6.33,2472.17,7.49,11459.16
20.24,6.82,2044.17,7.79,10189.92
20.44,5.28,2400.46,7.56,12648.3
23.42,7.34,2444.26,7.45,11032.24
20.48,5.76,2524.78,6.92,13179.73
23.04,5.98,2263.12,7.6,10073.66
29.47,5.33,2411.57,7.16,15094.27
25.14,3.82,2275.07,6.51,10386.6
20.83,6.8,2434.48,8.04,12394.74
26.32,6.66,2279.13,7.93,13425.35
20.53,5.75,2344.91,7.52,10972.85
14.66,6.06,2265.56,7.6,13534.44
18.37,6.46,2487.9,7.98,9787.47
15.27,4.59,2515.89,7.6,14613.81
20.73,5.52,2368.33,7.91,12025.47
22.07,6.71,2405.16,7.37,10926.46
28.04,4.87,2204.44,8.09,11461.47
23.18,6.26,2359.54,7.64,13456.05
21.21,4.78,2393.22,7.59,10947.98
24.99,6.42,2753.81,6.93,10651.16
14.04,5.97,2249.88,7.63,11601.23
22.85,4.55,2597.66,7.13,9881.47
24.78,7.05,2534.58,7.21,15276.98
16.68,5.34,2437.89,7.13,10980.49
26.12,5.27,2637.41,7.02,13496.91
23.22,6.18,2450.23,8.46,12377.05
20.5,7.03,2452.54,8.1,10227.84
24.28,5.09,2392.83,8.36,11989.28
30.17,6.06,2565.18,6.95,13411.21
22.65,6.39,2548.02,7.53,11661.13
22.89,6.62,2315.53,6.92,14147.6
20.35,6.16,2221.9,7.19,13838.73
18.94,5.67,2372.6,7.09,13654.05
24.99,5.26,2291.99,8.06,11172.62
18.92,6.08,2391.42,7.32,10056.28
22.26,5.04,2567.05,7.98,10895.54
20.28,3.37,2338.26,7.77,12353.23
23.72,6.39,2394.22,8.54,12982.42
23.2,6.81,2407.83,6.83,8091.17
25.74,3.87,2514.54,8.07,11985.4
20.16,5.09,2096.67,8.02,12284.56
21.03,6.56,2318.1,7.06,11500.42
18.48,7.85,2428.52,7.95,14324.29
20.4,6.02,2562.01,7.65,12759.2
23.36,5.34,2333.59,7.4,14358.35
24.73,5.84,2146.67,7.13,11611.27
18.68,7.24,2483.66,7.18,13687.46
25.13,5.42,2314.23,8.42,14943.12
26.88,5.28,2239.4,7.5,14361.05
23.49,5.57,2315.71,7.85,10034.15
28.76,5.14,2375.09,7.14,11543.38
19.21,6.11,2318.36,7.15,11378.7
17.52,7.46,2102.25,7.99,12880.66
15.6,6.29,2521.1,6.89,13235.44
27.39,5.77,2572.11,7.31,10489.99
24.36,5.74,2487.96,7.52,12122.11
21.8,4.59,2246.41,7.55,8364.13
23.01,6.79,2372.8,7.42,14595.5
17.95,5.93,2399.12,7.68,11077.73
30.8,5.84,2480.84,7.81,12100.56
22.47,8.87,2490.23,7.83,11442.63
22.39,6.27,2300.89,7.06,14062.85
24.61,5.32,2411.07,7.37,6892.49
23.73,5.62,2461.73,8.04,11970.1
22.81,7.03,2596.54,7.9,11809.53
19.15,6.1,2495.11,6.88,11183.45
23.7,4.71,2506.52,7.66,15107.21
28.78,6.83,2411.32,6.61,10402.81
26.84,5.4,2590.41,7.52,13389.23
27.74,7.69,2455.32,8.35,12641.26
20.16,6.97,2283.75,7.07,14270.73
18.44,5.6,2589.45,7.12,10799.06
21.55,7.15,2494.22,7.84,10680.66
22.2,6.06,2340.19,6.81,13972.93
25.94,6.77,2335.27,7.22,12765.58
15.91,6.44,2440.04,7.77,9219.11
27.51,5.24,2462.53,7.21,11029.25
