Employee_ID,Weekly_Hours,Projects_Completed,Experience_Years,Performance_Score,Satisfaction_Score,Teamwork_Score,Department,Education_Level,Work_Model,Gender
80,39,3,10,66,40,7,Marketing,Bachelor,Remote,Male
81,30,6,3,93,77,3,Finance,Master,Remote,Other
82,32,2,29,67,45,4,Sales,Master,Remote,Other
83,59,4,15,85,35,3,HR,PhD,On-site,Other
84,34,7,5,79,61,4,Engineering,High School,Hybrid,Female
85,30,10,26,77,61,4,Sales,PhD,On-site,Other
86,57,6,27,94,62,8,Finance,PhD,Remote,Other
87,32,4,17,67,44,9,Engineering,High School,Remote,Other
88,46,10,19,96,73,0,Finance,High School,Hybrid,Female
89,47,3,26,64,81,5,Engineering,PhD,On-site,Male
90,45,3,16,95,76,2,Marketing,Master,Hybrid,Male
91,52,2,18,57,41,0,Engineering,Bachelor,Remote,Female
92,52,0,17,87,62,6,Finance,PhD,Remote,Male
93,34,8,3,73,90,8,Marketing,Master,On-site,Other
94,58,1,3,96,43,4,Sales,PhD,On-site,Other
95,58,6,8,53,92,0,Sales,PhD,Hybrid,Female
96,53,4,11,57,64,2,Engineering,Master,Hybrid,Other
97,49,12,2,69,47,9,Marketing,Master,Remote,Female
98,36,5,23,48,98,2,HR,Master,Remote,Male
99,41,8,28,46,67,10,Sales,PhD,Hybrid,Other
100,33,2,27,58,40,0,HR,Bachelor,Remote,Male
101,57,8,9,91,50,2,Engineering,Bachelor,On-site,Other
102,60,2,4,83,78,3,Marketing,PhD,Hybrid,Female
103,34,5,12,45,91,0,Sales,High School,Hybrid,Male
104,57,6,14,41,55,10,Finance,Master,Remote,Female
105,44,4,6,75,81,9,Engineering,High School,Hybrid,Male
106,30,4,14,71,82,7,HR,High School,On-site,Male
107,58,2,16,56,54,0,Finance,Master,Remote,Female
108,34,3,16,97,96,0,Engineering,High School,Remote,Female
109,55,4,25,43,62,7,Sales,High School,On-site,Female
110,42,5,6,69,95,1,HR,High School,On-site,Female
111,51,3,12,96,50,0,Finance,High School,Hybrid,Female
112,39,4,28,57,81,7,Marketing,High School,Hybrid,Male
113,48,8,23,75,69,1,Engineering,PhD,On-site,Female
114,30,7,29,60,44,8,Finance,High School,On-site,Female
115,30,4,22,59,47,5,HR,Master,Hybrid,Male
116,43,5,1,85,38,9,Sales,Bachelor,Hybrid,Female
117,31,4,30,83,59,9,HR,Bachelor,On-site,Male
118,52,4,11,65,85,3,Sales,Bachelor,Remote,Male
119,53,6,1,46,49,10,Marketing,Master,Remote,Female
120,37,5,21,95,55,1,HR,PhD,On-site,Female
121,55,7,7,72,52,2,HR,Bachelor,On-site,Female
122,60,4,2,95,56,5,Finance,Master,On-site,Male
123,42,6,19,92,30,1,Finance,PhD,Remote,Male
124,37,5,12,73,36,1,Engineering,PhD,Remote,Female
125,40,7,3,46,87,3,Sales,High School,On-site,Female
126,58,5,15,51,32,7,Finance,High School,Hybrid,Female
127,58,5,23,44,95,0,HR,High School,Hybrid,Female
128,44,5,2,63,52,4,Sales,Bachelor,Hybrid,Other
129,33,1,17,81,67,9,Marketing,Master,On-site,Other
130,51,9,22,46,72,8,Finance,Master,Hybrid,Female
131,48,4,19,43,97,2,Sales,Bachelor,Remote,Other
132,46,7,25,47,98,4,Marketing,Bachelor,On-site,Female
133,41,4,1,42,78,4,Marketing,PhD,On-site,Other
134,60,4,13,67,57,8,Marketing,PhD,Hybrid,Female
135,38,2,25,86,99,5,Engineering,Master,Remote,Female
136,33,4,5,57,46,2,HR,PhD,Hybrid,Other
137,33,9,9,99,65,7,Engineering,PhD,Remote,Male
138,60,9,22,92,42,3,Engineering,Bachelor,Remote,Female
139,43,4,21,93,43,5,Engineering,Bachelor,Remote,Other
140,54,2,19,65,37,2,Finance,High School,Hybrid,Other
141,37,4,11,97,35,7,Engineering,Bachelor,Remote,Female
142,54,4,21,71,57,8,Engineering,PhD,On-site,Female
143,36,6,22,48,85,9,Finance,PhD,On-site,Male
144,60,6,21,72,98,3,Finance,Bachelor,Hybrid,Other
145,51,5,25,74,52,2,HR,High School,On-site,Male
146,41,7,15,53,43,7,Engineering,High School,Remote,Female
147,30,5,23,52,67,3,HR,Master,Remote,Other
148,45,2,1,52,63,2,HR,Master,Remote,Other
149,51,3,8,90,69,7,Engineering,Master,On-site,Female
150,59,5,26,61,42,0,Marketing,Bachelor,Remote,Other
151,44,9,25,89,68,8,Engineering,High School,On-site,Male
152,38,5,25,42,48,6,HR,Bachelor,Remote,Male
153,35,2,23,97,78,10,Marketing,Bachelor,Hybrid,Other
154,38,4,11,73,93,4,HR,High School,Hybrid,Female
155,41,4,25,80,72,8,Sales,Bachelor,Remote,Female
156,39,4,27,51,39,1,HR,PhD,Hybrid,Male
157,41,9,19,96,98,10,Marketing,Master,Hybrid,Other
158,41,6,6,82,79,10,Sales,High School,Hybrid,Male
159,58,4,27,58,66,6,Engineering,High School,Hybrid,Male
160,43,4,0,43,77,1,Finance,High School,Hybrid,Female
161,55,8,7,99,47,9,Marketing,PhD,Remote,Female
162,48,4,19,49,78,10,Sales,Bachelor,Remote,Male
163,37,9,5,85,88,9,HR,Bachelor,Remote,Other
164,59,5,18,57,79,1,Marketing,PhD,Remote,Other
165,41,3,12,65,61,4,Sales,PhD,Remote,Male
166,39,8,30,41,85,7,Marketing,Master,Remote,Female
167,47,3,16,92,80,1,HR,Bachelor,Hybrid,Female
168,49,5,12,83,100,7,Finance,Master,On-site,Other
169,41,6,23,83,98,9,Engineering,Bachelor,Hybrid,Female
170,36,3,5,100,58,9,Finance,Master,Hybrid,Other
171,34,4,14,59,99,7,HR,Master,Remote,Other
172,36,2,1,64,57,10,Finance,High School,Remote,Female
173,38,4,29,56,48,8,Engineering,Master,Remote,Other
174,49,4,1,49,59,2,Finance,High School,Remote,Female
175,54,3,20,42,51,3,Sales,PhD,On-site,Other
176,51,4,8,41,93,8,HR,Bachelor,Remote,Male
177,43,4,20,50,64,4,Finance,PhD,Remote,Male
178,40,7,21,91,69,8,HR,PhD,On-site,Other
179,52,7,10,52,41,3,Engineering,Bachelor,On-site,Male
180,57,2,15,93,67,1,Engineering,High School,On-site,Other
181,57,2,23,50,48,2,HR,Bachelor,Hybrid,Other
182,40,4,8,41,76,6,Marketing,Bachelor,Hybrid,Male
183,49,5,9,64,47,10,HR,Bachelor,Hybrid,Male
184,52,8,23,57,98,9,Sales,Master,Remote,Male
185,31,3,14,74,54,7,HR,PhD,Hybrid,Female
186,43,5,28,59,44,10,HR,Bachelor,Remote,Other
187,59,6,23,59,80,3,Sales,Master,Remote,Female
188,37,1,5,75,75,0,Sales,Master,Remote,Other
189,34,5,16,43,59,9,HR,High School,Hybrid,Other
190,36,6,27,73,47,9,Marketing,PhD,Hybrid,Male
191,37,5,12,82,98,10,Engineering,Bachelor,On-site,Other
192,35,4,20,88,97,10,Finance,Bachelor,Remote,Male
193,54,7,5,81,94,1,Sales,High School,Hybrid,Female
194,57,8,1,49,36,10,Finance,Master,Hybrid,Female
195,51,6,30,98,93,5,HR,High School,On-site,Other
196,37,1,16,69,86,0,Sales,High School,Remote,Male
197,58,3,30,45,84,8,HR,PhD,Remote,Other
198,38,7,19,62,39,8,Sales,PhD,On-site,Other
199,45,3,1,91,56,9,HR,Bachelor,On-site,Other
200,43,1,12,91,85,8,Finance,Bachelor,Remote,Female
201,32,6,8,48,91,6,Sales,Bachelor,Hybrid,Other
202,55,9,19,49,47,7,HR,High School,Hybrid,Female
203,52,7,22,69,55,3,Engineering,High School,Hybrid,Female
204,34,3,28,96,37,4,Sales,Bachelor,Hybrid,Male
205,43,8,4,78,55,5,Marketing,PhD,On-site,Male
206,33,4,5,43,48,1,Marketing,High School,On-site,Female
207,44,4,26,52,51,5,HR,Bachelor,Hybrid,Male
208,52,6,19,85,43,2,Engineering,High School,Remote,Male
209,57,6,14,84,30,5,Engineering,PhD,Remote,Male
210,42,10,12,88,100,6,Engineering,PhD,On-site,Female
211,33,8,11,81,40,2,Finance,High School,On-site,Male
212,46,4,8,91,37,8,HR,PhD,On-site,Female
213,59,7,17,72,41,5,Engineering,Bachelor,On-site,Male
214,50,8,12,79,71,0,Finance,Bachelor,On-site,Male
215,59,4,2,41,82,0,Sales,Master,On-site,Other
216,34,5,0,77,40,1,Marketing,Bachelor,On-site,Female
217,42,4,18,48,69,0,HR,Master,Hybrid,Female
218,36,5,15,76,65,1,HR,PhD,On-site,Male
219,34,4,2,47,58,4,Finance,Bachelor,On-site,Female
220,39,3,30,42,70,7,Engineering,High School,Remote,Female
221,34,5,23,97,96,6,Sales,Bachelor,On-site,Female
222,41,7,16,49,86,9,Engineering,Master,Hybrid,Female
223,43,6,22,63,42,4,Engineering,PhD,Hybrid,Male
224,53,4,12,99,58,0,HR,Master,Remote,Male
225,53,8,13,75,50,8,Marketing,Bachelor,Hybrid,Male
226,40,8,10,90,87,2,Engineering,PhD,Hybrid,Female
227,39,6,16,83,74,5,Sales,PhD,Hybrid,Female
228,54,6,11,85,98,1,Engineering,PhD,Hybrid,Female
229,38,3,30,43,77,2,HR,High School,On-site,Female
230,50,5,20,82,36,1,Sales,High School,Remote,Male
231,43,5,15,96,65,4,Marketing,High School,On-site,Other
232,55,7,14,74,77,10,Engineering,Bachelor,Remote,Male
233,59,4,25,49,55,9,Sales,Bachelor,Remote,Other
234,53,5,1,50,92,2,Engineering,High School,Remote,Female
235,57,3,6,96,39,0,Sales,Bachelor,Remote,Female
236,59,7,20,92,30,2,HR,Master,On-site,Other
237,51,5,18,89,96,9,Marketing,Master,Remote,Female
238,57,4,3,42,42,2,Marketing,Master,On-site,Female
239,55,3,17,64,77,0,Marketing,High School,Hybrid,Male
240,56,5,12,52,48,5,Marketing,Bachelor,On-site,Other
241,57,8,25,74,86,8,Marketing,High School,On-site,Female
242,33,3,21,56,31,8,Sales,PhD,On-site,Male
243,45,3,24,93,35,8,Engineering,PhD,Remote,Other
244,35,5,6,76,51,2,Marketing,PhD,Hybrid,Male
245,50,6,11,90,39,1,Marketing,High School,Remote,Other
246,59,7,14,54,33,5,Engineering,PhD,Remote,Female
247,56,3,2,67,57,3,Finance,PhD,Hybrid,Other
248,54,4,12,78,97,2,Sales,PhD,Hybrid,Female
249,38,4,7,72,54,10,Sales,PhD,Hybrid,Male
250,43,5,7,54,91,9,Engineering,Master,Remote,Male
251,38,3,13,78,44,1,Marketing,PhD,Hybrid,Male
252,32,4,10,55,59,6,Sales,Bachelor,Remote,Other
253,44,8,16,51,81,0,HR,PhD,On-site,Male
254,56,7,6,71,54,2,Sales,Bachelor,Remote,Other
255,58,6,7,94,58,0,Engineering,PhD,On-site,Other
256,32,4,2,63,99,0,Finance,PhD,Hybrid,Female
257,46,3,4,95,40,5,Finance,Bachelor,Remote,Male
258,44,6,25,76,54,8,Finance,Bachelor,Remote,Female
259,55,4,5,64,53,2,HR,PhD,On-site,Male
260,54,10,30,40,86,2,Sales,Bachelor,Hybrid,Female
261,33,5,25,54,38,8,Engineering,PhD,Hybrid,Other
262,57,4,22,72,52,0,Marketing,Master,Remote,Male
263,56,5,5,85,41,7,Sales,High School,Hybrid,Female
264,31,7,30,81,60,10,Engineering,PhD,On-site,Other
265,40,6,20,78,66,8,Sales,Master,Hybrid,Other
266,50,5,8,69,92,7,Engineering,Master,On-site,Female
267,60,8,5,96,68,0,HR,Master,On-site,Female
268,41,3,18,95,33,3,Marketing,PhD,On-site,Male
269,53,6,30,79,65,8,Sales,High School,Hybrid,Male
270,44,3,15,65,65,8,Sales,High School,Hybrid,Female
271,45,7,24,63,42,5,Finance,High School,Remote,Other
272,42,3,13,75,53,3,Sales,Bachelor,Hybrid,Male
273,39,3,25,76,84,4,HR,PhD,On-site,Other
274,39,4,1,98,49,1,Finance,Master,Remote,Other
275,50,1,3,99,100,3,HR,PhD,Hybrid,Male
276,31,10,21,96,89,1,Sales,High School,On-site,Male
277,50,3,15,41,70,10,HR,Master,On-site,Female
278,44,9,30,59,98,8,Sales,High School,Hybrid,Male
279,58,8,12,80,45,8,Sales,High School,Remote,Male
280,31,5,25,67,57,5,Engineering,Master,Hybrid,Male
281,44,3,29,65,90,5,Engineering,Bachelor,Hybrid,Male
282,52,4,23,58,100,1,Sales,Bachelor,On-site,Female
283,42,5,20,74,77,7,Engineering,Master,On-site,Male
284,34,6,16,69,48,7,HR,High School,Remote,Female
285,56,7,15,72,41,8,Sales,Master,Remote,Female
286,40,1,9,55,66,0,HR,High School,Hybrid,Male
287,60,6,8,87,53,5,HR,PhD,Hybrid,Female
288,46,4,26,63,94,6,Sales,High School,Remote,Male
289,52,4,30,72,48,0,Sales,Master,On-site,Male
290,59,9,7,41,75,9,HR,Bachelor,On-site,Other
291,37,5,27,51,72,6,Sales,PhD,Remote,Male
292,60,6,4,79,63,0,Engineering,High School,Hybrid,Male
293,49,5,4,62,85,2,HR,High School,On-site,Other
294,37,5,26,57,97,0,Finance,Bachelor,Remote,Other
295,46,8,8,85,59,1,HR,Master,On-site,Male
296,54,1,5,87,90,0,HR,Master,Remote,Female
297,48,4,5,74,85,1,Finance,Bachelor,Remote,Female
298,50,4,18,89,67,6,HR,PhD,Hybrid,Other
299,34,3,9,42,36,7,Marketing,PhD,On-site,Male
300,37,4,28,56,32,10,Sales,High School,On-site,Other
301,44,8,3,71,48,5,Sales,Bachelor,Hybrid,Female
302,41,7,26,70,63,4,Marketing,Bachelor,On-site,Other
303,42,4,17,58,65,5,Engineering,Master,On-site,Other
304,46,4,19,86,31,1,Marketing,PhD,On-site,Male
305,50,4,3,63,91,5,Engineering,High School,Hybrid,Male
306,51,5,6,54,45,6,HR,Bachelor,On-site,Other
307,56,6,11,73,71,7,Engineering,PhD,Hybrid,Male
308,46,3,7,82,60,8,HR,Bachelor,Hybrid,Other
309,60,5,2,78,39,5,Finance,Bachelor,Remote,Female
310,30,5,8,80,32,5,Engineering,Bachelor,On-site,Other
311,33,6,18,71,42,4,Engineering,PhD,Remote,Female
312,42,6,12,49,42,0,Finance,Bachelor,Remote,Other
313,40,4,19,77,66,8,Marketing,Master,On-site,Other
314,39,6,29,78,78,5,HR,High School,Hybrid,Female
315,30,2,20,66,58,1,Engineering,Bachelor,On-site,Other
316,40,4,21,77,99,0,Marketing,Master,On-site,Female
317,37,4,6,82,91,1,HR,High School,On-site,Other
318,48,2,29,78,37,10,Engineering,High School,Hybrid,Other
319,59,7,27,70,90,6,Sales,Master,Hybrid,Other
320,33,7,23,89,42,7,Finance,PhD,Hybrid,Female
321,39,9,19,47,93,7,Engineering,PhD,On-site,Other
322,56,3,28,51,68,10,Marketing,Bachelor,Hybrid,Male
323,34,10,10,73,93,1,Engineering,Master,Remote,Male
324,43,4,25,99,31,8,Engineering,PhD,On-site,Other
325,45,4,7,100,84,0,Finance,Bachelor,Hybrid,Male
326,45,8,15,91,79,9,Engineering,High School,Remote,Other
327,49,5,1,46,81,9,Engineering,PhD,Remote,Male
328,41,2,12,94,85,5,Marketing,High School,Hybrid,Female
329,50,4,1,79,75,8,Finance,Master,Hybrid,Female
330,52,6,30,70,54,0,HR,High School,Hybrid,Female
331,30,2,25,84,68,4,Sales,PhD,Hybrid,Female
332,50,4,30,53,31,8,Marketing,Master,Hybrid,Female
333,35,2,30,93,66,6,Finance,Bachelor,Remote,Other
334,43,3,20,43,76,8,Marketing,Master,Remote,Female
335,32,5,29,80,63,5,Finance,PhD,Hybrid,Male
336,54,3,26,46,41,5,HR,PhD,Remote,Female
337,43,9,23,71,83,1,HR,High School,Hybrid,Male
338,30,3,18,84,91,8,Sales,PhD,On-site,Female
339,34,3,26,91,89,10,Engineering,High School,Remote,Female
340,48,6,20,44,32,5,HR,Master,On-site,Male
341,40,2,7,87,51,3,HR,High School,Remote,Other
342,52,6,14,90,98,5,Finance,Bachelor,Remote,Female
343,36,4,16,99,98,1,Sales,Bachelor,Remote,Female
344,37,4,30,66,79,9,Finance,High School,Remote,Male
345,49,4,3,46,97,8,Marketing,High School,On-site,Other
346,37,2,13,65,30,3,Sales,Bachelor,Hybrid,Female
347,43,4,12,56,47,5,Sales,Master,On-site,Male
348,31,5,3,75,53,7,Finance,Bachelor,Remote,Female
349,31,5,20,42,97,4,HR,Master,Hybrid,Other
350,33,2,7,41,53,10,HR,Master,Remote,Female
351,32,12,28,97,38,4,HR,Master,Hybrid,Female
352,35,4,2,44,62,8,Marketing,Master,Hybrid,Female
353,37,5,1,87,68,8,Marketing,Master,On-site,Female
354,54,4,23,52,97,8,HR,PhD,Hybrid,Other
355,51,6,11,66,41,2,Engineering,Master,Hybrid,Other
356,34,4,30,66,55,5,Finance,Master,On-site,Male
357,40,2,24,51,31,2,Engineering,High School,On-site,Other
358,53,6,21,49,65,3,Engineering,PhD,On-site,Other
359,38,3,22,98,33,6,Marketing,Bachelor,Remote,Other
360,60,8,7,70,90,9,Marketing,Bachelor,Remote,Male
361,34,9,8,71,58,0,Finance,High School,On-site,Other
362,37,3,24,57,95,1,Sales,Master,Hybrid,Other
363,40,5,24,51,61,5,Engineering,High School,On-site,Male
364,58,7,11,70,67,10,Sales,PhD,On-site,Female
365,40,1,15,50,52,3,Marketing,High School,Remote,Other
366,42,6,18,40,83,0,Sales,Bachelor,Hybrid,Female
367,40,2,16,92,32,9,Finance,Bachelor,Remote,Other
368,46,9,0,97,79,4,HR,Master,Hybrid,Male
369,33,1,26,57,97,5,Finance,PhD,On-site,Male
370,47,5,22,73,72,2,Engineering,PhD,Hybrid,Other
371,42,5,13,95,53,5,Finance,Bachelor,On-site,Female
372,40,8,24,73,92,2,HR,Master,Hybrid,Other
373,37,8,15,56,35,4,Engineering,Bachelor,On-site,Male
374,50,5,28,42,50,8,Marketing,Bachelor,Hybrid,Female
375,58,7,4,69,79,3,Sales,PhD,Hybrid,Female
376,50,2,14,42,99,6,Marketing,Master,Remote,Male
377,41,7,15,86,36,5,HR,PhD,Remote,Female
378,40,6,2,46,31,9,Finance,High School,Hybrid,Female
379,56,5,22,92,97,0,Sales,Master,On-site,Female
380,36,4,3,50,31,0,Finance,High School,Remote,Female
381,40,7,28,42,75,4,Sales,Bachelor,On-site,Female
382,48,7,14,98,78,8,HR,PhD,Remote,Male
383,41,6,0,61,68,1,HR,Master,Remote,Other
384,36,7,22,94,66,2,Finance,PhD,On-site,Other
385,36,4,16,93,43,2,Marketing,Master,On-site,Female
386,47,8,14,82,42,3,Marketing,Master,Hybrid,Male
387,32,2,17,42,72,3,HR,Bachelor,Remote,Other
388,49,4,28,95,35,6,Sales,Bachelor,Remote,Other
389,36,7,23,46,82,1,Sales,Bachelor,On-site,Male
390,30,4,23,71,73,3,Sales,Bachelor,Remote,Female
391,55,3,10,76,30,10,HR,PhD,On-site,Male
392,36,4,9,40,32,0,Engineering,Bachelor,Hybrid,Female
393,49,3,18,79,76,2,HR,High School,Hybrid,Male
394,57,4,17,41,71,9,HR,Master,On-site,Other
395,42,4,27,46,62,4,HR,Master,Hybrid,Female
396,52,6,30,84,86,7,Engineering,Master,Remote,Male
397,53,3,2,72,75,7,HR,PhD,Remote,Male
398,60,4,6,99,76,6,Finance,Master,Hybrid,Other
399,44,5,23,72,78,5,Finance,Bachelor,Hybrid,Other
400,59,5,28,95,88,2,Sales,Master,On-site,Other
401,46,6,7,57,99,7,Sales,Master,On-site,Male
402,45,6,18,65,96,9,HR,Master,Hybrid,Female
403,35,7,20,59,70,5,Engineering,High School,Hybrid,Male
404,43,4,14,43,99,3,Engineering,Master,Hybrid,Other
405,39,5,12,41,70,6,Engineering,High School,Hybrid,Male
406,44,7,17,96,41,9,Engineering,Master,On-site,Female
407,38,7,12,75,89,2,Sales,Master,On-site,Female
408,47,4,21,59,96,7,HR,Bachelor,Hybrid,Female
409,58,5,8,41,31,4,Finance,High School,Remote,Male
410,39,7,29,65,41,0,Finance,PhD,Remote,Other
411,53,5,23,82,71,6,Finance,Master,Hybrid,Female
412,46,6,14,41,34,5,HR,High School,Remote,Male
413,36,8,18,55,30,4,Finance,PhD,Hybrid,Female
414,49,3,11,95,51,10,Engineering,High School,Remote,Male
415,48,4,13,75,82,0,Marketing,PhD,Remote,Other
416,57,3,6,59,66,1,Engineering,PhD,On-site,Female
417,56,6,21,76,61,0,Finance,Master,Remote,Female
418,51,6,12,75,59,3,Sales,High School,On-site,Female
419,31,5,8,43,57,4,Marketing,Master,On-site,Other
420,60,1,30,58,93,7,Marketing,Master,Remote,Male
421,32,8,24,82,31,7,Engineering,Bachelor,On-site,Male
422,38,3,22,95,56,1,Marketing,PhD,Remote,Male
423,46,4,15,78,33,4,Marketing,Bachelor,Hybrid,Female
424,53,8,12,76,41,5,Engineering,PhD,On-site,Female
425,54,3,15,83,91,5,Sales,PhD,Remote,Other
426,58,8,1,78,33,9,Sales,Master,On-site,Female
427,33,7,21,59,58,2,Engineering,PhD,Remote,Male
428,57,7,26,48,64,7,Sales,High School,On-site,Other
429,43,2,8,81,40,8,HR,Master,Remote,Male
430,38,2,4,70,34,7,Sales,PhD,Hybrid,Female
431,46,6,15,91,60,9,Finance,PhD,On-site,Other
432,39,5,21,65,79,9,Sales,High School,On-site,Male
433,50,1,10,66,80,7,Engineering,High School,Hybrid,Other
434,37,2,2,49,97,10,Marketing,Bachelor,Hybrid,Other
435,45,5,3,68,49,1,Engineering,High School,Hybrid,Other
436,59,6,3,99,80,3,Engineering,High School,Remote,Male
437,43,1,9,74,83,5,Finance,High School,Remote,Female
438,51,37,15,46,73,0,Finance,High School,Hybrid,Male
439,57,3,13,93,79,8,Marketing,Master,Hybrid,Other
440,55,7,17,81,30,6,Finance,Master,Hybrid,Other
441,45,8,27,47,49,4,Sales,PhD,Remote,Male
442,43,5,20,72,71,4,Finance,PhD,On-site,Male
443,54,5,17,69,57,3,HR,PhD,Remote,Other
444,50,5,29,79,96,0,HR,PhD,Remote,Male
445,35,6,13,76,42,4,Marketing,High School,Remote,Female
446,39,4,19,94,85,6,Marketing,High School,Remote,Male
447,38,6,4,83,89,5,Engineering,Master,Remote,Female
448,57,6,17,91,51,7,HR,Master,Remote,Male
449,43,11,30,40,45,8,Sales,Master,On-site,Female
450,41,8,9,53,75,5,Finance,Master,Remote,Male
451,43,8,26,91,33,4,Sales,Master,Remote,Female
452,40,6,5,48,91,6,Marketing,Bachelor,Hybrid,Other
453,38,6,23,85,49,10,Engineering,Bachelor,On-site,Other
454,53,4,27,75,60,0,Sales,Master,Remote,Male
455,57,7,18,76,74,1,Finance,Bachelor,Remote,Male
456,56,3,29,100,99,5,Finance,High School,On-site,Male
457,30,6,7,57,58,5,Marketing,High School,On-site,Other
458,44,5,6,41,79,10,HR,Bachelor,Remote,Female
459,33,3,30,55,69,8,Finance,High School,Remote,Female
460,42,4,6,43,33,5,Sales,Master,Remote,Female
461,44,7,12,54,72,0,Sales,Master,Remote,Female
462,34,4,26,87,74,4,Engineering,Bachelor,On-site,Male
463,43,6,5,80,56,6,Finance,High School,Remote,Male
464,39,4,1,90,74,7,Finance,High School,Remote,Female
