age,months_active,monthly_spend,support_calls,contract_type,has_discount,churn
30,49,31.12,3,mes_a_mes,0,1
49,21,160.99,2,mes_a_mes,0,1
24,15,44.76,0,mes_a_mes,1,0
68,14,163.54,2,mes_a_mes,1,0
39,42,126.28,2,mes_a_mes,1,0
45,44,46.71,1,2_anos,0,0
19,16,99.94,0,mes_a_mes,0,0
59,15,139.56,1,mes_a_mes,1,0
62,42,130.43,1,mes_a_mes,1,0
74,4,91.18,0,mes_a_mes,0,1
70,27,180.88,1,2_anos,0,0
23,23,108.66,4,2_anos,0,0
45,29,106.11,4,mes_a_mes,0,1
45,41,21.83,2,mes_a_mes,0,1
61,53,185.2,5,2_anos,0,0
61,52,43.65,1,mes_a_mes,0,1
37,9,110.39,3,mes_a_mes,1,1
47,53,162.68,3,mes_a_mes,0,0
28,57,50.94,3,mes_a_mes,0,0
72,56,110.2,1,mes_a_mes,0,0
45,52,55.73,0,mes_a_mes,1,0
42,43,154.34,3,1_ano,1,0
56,43,117.22,2,1_ano,0,0
50,7,172.64,2,2_anos,0,0
18,53,179.97,2,mes_a_mes,1,0
74,42,133.26,3,1_ano,0,0
44,4,147.82,0,mes_a_mes,0,1
74,5,114.35,2,mes_a_mes,0,1
69,5,83.04,2,mes_a_mes,0,1
30,11,133.14,3,mes_a_mes,0,1
58,41,182.57,2,1_ano,0,0
20,28,89.17,3,mes_a_mes,0,0
56,16,69.74,0,1_ano,0,0
23,41,83.8,2,1_ano,0,0
25,54,92.73,3,mes_a_mes,0,1
44,30,23.98,3,mes_a_mes,1,0
26,4,104.7,1,mes_a_mes,0,1
54,2,103.92,2,1_ano,0,0
50,46,121.8,1,mes_a_mes,1,0
68,3,78.94,2,mes_a_mes,0,1
59,50,126.49,2,mes_a_mes,0,0
61,21,176.86,1,mes_a_mes,0,1
41,6,191.54,0,1_ano,0,0
32,43,120.89,1,mes_a_mes,0,0
71,53,18.09,3,2_anos,0,0
49,18,194.15,2,mes_a_mes,1,0
49,44,144.11,3,1_ano,0,0
41,5,73.83,0,mes_a_mes,0,1
58,9,37.96,3,mes_a_mes,0,1
69,20,37.25,2,mes_a_mes,1,0
66,28,41.87,2,1_ano,1,0
66,26,18.66,0,mes_a_mes,0,0
69,18,181.41,0,mes_a_mes,1,0
29,19,112.75,1,mes_a_mes,0,1
56,3,142.99,2,mes_a_mes,0,1
19,9,167.34,3,2_anos,0,0
20,36,160.39,2,mes_a_mes,0,0
66,31,177.7,0,2_anos,0,0
54,49,193.78,2,mes_a_mes,1,0
66,17,93.42,1,1_ano,0,0
73,55,190.56,3,mes_a_mes,1,0
34,23,147.43,1,mes_a_mes,0,0
66,34,23.43,4,mes_a_mes,0,1
19,41,139.54,3,mes_a_mes,0,0
19,41,140.48,2,2_anos,0,0
45,5,182.11,1,mes_a_mes,0,1
71,15,80.86,0,1_ano,1,0
40,47,121.13,6,mes_a_mes,0,1
54,3,12.32,5,1_ano,0,1
49,19,73.09,1,mes_a_mes,1,0
50,28,21.83,2,mes_a_mes,0,1
18,3,109.16,3,mes_a_mes,0,1
36,38,165.32,3,mes_a_mes,0,0
19,4,49.22,8,mes_a_mes,1,1
70,24,110.21,2,mes_a_mes,1,0
61,31,48.76,3,mes_a_mes,0,1
43,45,32.93,2,mes_a_mes,0,1
49,59,107.09,1,2_anos,0,0
23,45,25.04,2,2_anos,0,0
49,59,121.6,1,mes_a_mes,0,1
72,11,15.95,0,mes_a_mes,0,1
21,37,30.28,2,2_anos,0,0
72,1,114.5,4,mes_a_mes,1,1
28,9,122.37,1,2_anos,1,0
73,17,15.51,1,mes_a_mes,0,0
34,54,118.94,1,2_anos,1,0
55,1,169.32,6,mes_a_mes,1,1
41,3,147.24,1,1_ano,1,0
22,47,34.93,1,mes_a_mes,0,1
69,26,122.57,1,mes_a_mes,0,1
51,53,137.73,3,1_ano,1,0
23,31,17.07,3,mes_a_mes,1,0
39,26,172.52,5,mes_a_mes,0,1
28,23,182.19,2,2_anos,0,0
65,30,171.59,1,mes_a_mes,0,0
33,10,166.68,2,mes_a_mes,1,1
50,8,151.54,5,mes_a_mes,0,1
26,44,130.35,5,mes_a_mes,1,1
23,25,138.94,3,mes_a_mes,0,1
33,22,163.22,2,mes_a_mes,0,1
46,15,135.87,6,1_ano,0,0
20,59,72.27,3,1_ano,0,0
37,41,81.43,1,mes_a_mes,0,0
53,56,180.44,3,mes_a_mes,0,1
36,57,13.25,1,mes_a_mes,1,0
43,10,142.78,3,mes_a_mes,0,1
20,20,191.41,1,mes_a_mes,0,1
36,41,144.18,4,2_anos,0,0
37,47,198.84,1,2_anos,1,0
49,23,140.63,0,mes_a_mes,0,1
24,53,16.53,3,mes_a_mes,0,1
69,53,167.13,1,mes_a_mes,0,1
58,1,64.08,0,mes_a_mes,1,1
50,2,94.75,3,mes_a_mes,0,1
57,58,69.3,1,mes_a_mes,0,0
56,19,61.03,1,mes_a_mes,0,1
35,14,91.97,2,mes_a_mes,0,0
57,8,81.96,2,mes_a_mes,1,1
18,38,130.33,3,2_anos,0,0
28,12,164.5,1,1_ano,0,0
45,26,66.45,1,1_ano,0,0
74,27,50.61,3,2_anos,1,0
42,29,136.71,3,1_ano,0,0
67,15,137.36,1,2_anos,1,0
40,46,181.21,2,1_ano,1,0
48,53,13.03,2,mes_a_mes,0,1
47,1,172.08,0,mes_a_mes,1,1
59,43,108.99,1,mes_a_mes,1,0
52,28,128.05,2,mes_a_mes,0,1
24,57,27.36,2,mes_a_mes,1,0
33,3,92.2,1,1_ano,0,0
43,51,53.19,3,mes_a_mes,1,0
65,18,58.3,4,1_ano,0,0
74,52,105.78,0,2_anos,0,0
69,34,164.37,3,mes_a_mes,0,1
66,32,151.32,2,mes_a_mes,0,1
19,29,122.29,2,2_anos,0,0
18,25,112.49,4,mes_a_mes,0,1
65,26,91.19,0,mes_a_mes,0,1
29,39,194.81,3,mes_a_mes,0,1
22,8,116.44,1,mes_a_mes,1,1
54,19,58.25,1,1_ano,0,0
49,54,53.72,2,1_ano,1,0
72,47,126.16,2,mes_a_mes,0,0
26,42,109.34,1,mes_a_mes,0,0
58,22,11.46,0,mes_a_mes,0,0
52,29,167.71,3,mes_a_mes,1,0
36,33,143.78,5,mes_a_mes,0,1
65,38,135.75,0,1_ano,1,0
33,45,23.07,1,mes_a_mes,1,0
20,46,78.79,0,1_ano,0,0
37,35,187.72,1,1_ano,0,0
41,43,173.89,3,2_anos,1,0
71,3,64.25,0,1_ano,1,0
73,19,39.84,1,mes_a_mes,1,0
50,10,95.33,3,1_ano,1,0
41,27,77.61,1,mes_a_mes,0,1
69,15,139.62,1,mes_a_mes,0,1
28,11,193.62,3,1_ano,0,0
66,47,78.97,1,2_anos,0,0
25,26,21.82,2,mes_a_mes,1,0
53,59,180.55,3,mes_a_mes,0,1
55,24,17.21,3,1_ano,0,0
57,13,191.03,2,2_anos,0,0
37,32,136.27,4,mes_a_mes,1,1
52,37,188.92,1,1_ano,0,0
65,4,47.94,0,2_anos,0,0
42,13,17.73,3,mes_a_mes,0,1
52,9,102.76,2,1_ano,0,0
42,57,95.62,4,1_ano,1,0
46,49,72.98,1,1_ano,0,0
35,34,191.95,1,mes_a_mes,0,1
63,56,166.29,2,1_ano,0,0
35,37,135.7,1,mes_a_mes,0,1
19,48,40.94,3,1_ano,0,0
71,7,149.52,2,mes_a_mes,0,1
52,1,148.13,4,mes_a_mes,0,1
33,58,90.76,1,1_ano,0,0
58,12,185.71,1,mes_a_mes,0,1
53,21,41.73,3,mes_a_mes,0,1
50,11,60.79,3,2_anos,0,0
21,44,22.01,0,mes_a_mes,0,1
50,51,161.14,2,mes_a_mes,1,0
31,58,128.13,3,1_ano,0,0
38,44,69.84,2,1_ano,0,0
65,44,41.12,0,mes_a_mes,0,0
37,14,17.63,2,mes_a_mes,1,0
73,34,41.68,2,mes_a_mes,0,1
25,34,96.12,4,mes_a_mes,0,1
24,25,56.96,1,mes_a_mes,0,1
20,4,59.21,2,mes_a_mes,0,1
34,52,176.36,1,mes_a_mes,0,1
50,55,107.88,6,2_anos,0,0
65,26,148.56,0,1_ano,0,0
29,16,16.79,2,mes_a_mes,0,1
68,10,79.38,3,1_ano,1,0
39,45,101.04,1,mes_a_mes,0,1
72,2,45.42,3,mes_a_mes,0,1
39,35,32.84,1,2_anos,1,0
63,19,175.36,1,1_ano,0,0
47,6,188.49,2,mes_a_mes,0,1
55,19,24.97,1,2_anos,1,0
55,59,76.31,3,1_ano,0,0
62,53,192.07,2,mes_a_mes,0,1
68,52,25.8,2,mes_a_mes,1,0
71,51,132.29,0,mes_a_mes,0,1
25,8,194.72,2,2_anos,1,0
44,14,195.86,4,mes_a_mes,0,1
44,10,99.53,2,mes_a_mes,1,1
51,3,40.92,2,1_ano,0,0
38,38,48.4,2,mes_a_mes,0,0
47,29,179.02,3,mes_a_mes,1,0
50,15,183.22,4,1_ano,0,0
45,23,125.5,4,mes_a_mes,0,1
64,23,155.57,1,mes_a_mes,0,1
50,18,150.59,2,mes_a_mes,1,0
22,46,135.75,6,1_ano,0,0
65,19,167.18,6,2_anos,0,0
36,28,140.23,2,1_ano,1,0
21,26,111.46,4,1_ano,0,0
52,10,55.02,2,mes_a_mes,0,1
66,47,151.34,0,2_anos,0,0
34,4,99.95,0,mes_a_mes,0,1
61,55,66.01,5,2_anos,0,0
45,2,162.37,1,mes_a_mes,1,1
47,3,142.38,2,1_ano,0,0
46,7,188.09,0,2_anos,1,0
63,55,41.43,1,mes_a_mes,0,0
70,16,133.35,2,2_anos,0,0
23,31,56.41,0,mes_a_mes,0,0
52,10,181.68,4,mes_a_mes,1,1
58,19,28.9,1,1_ano,0,0
54,28,134.67,2,mes_a_mes,0,1
41,17,160.31,1,1_ano,0,0
46,28,77.43,2,mes_a_mes,1,0
66,19,191.29,2,mes_a_mes,0,1
63,37,171.64,3,1_ano,0,0
70,23,65.98,1,mes_a_mes,0,0
48,20,11.43,2,mes_a_mes,0,0
52,13,66.36,0,2_anos,0,0
50,13,63.45,1,1_ano,1,0
69,43,179.09,0,2_anos,0,0
38,11,193.75,4,mes_a_mes,0,1
49,48,23.38,2,1_ano,1,0
40,15,99.55,1,2_anos,0,0
50,17,114.18,5,mes_a_mes,0,1
20,54,27.65,1,1_ano,0,0
35,50,81.72,3,mes_a_mes,1,0
42,28,70.25,2,mes_a_mes,1,0
59,19,111.85,1,mes_a_mes,0,1
48,4,135.63,1,mes_a_mes,0,1
71,22,143.66,3,mes_a_mes,0,0
20,22,35.98,2,mes_a_mes,0,1
57,55,164.46,0,mes_a_mes,0,1
63,37,138.92,1,mes_a_mes,0,0
41,39,178.92,0,mes_a_mes,1,0
67,34,95.37,2,mes_a_mes,0,0
49,33,179.84,2,2_anos,0,0
64,44,174.5,2,mes_a_mes,0,1
39,42,93.3,3,1_ano,0,0
40,40,82.42,4,mes_a_mes,0,1
19,33,187.23,2,mes_a_mes,0,1
44,12,145.88,2,mes_a_mes,1,0
59,2,186.37,3,2_anos,0,0
19,59,161.43,3,1_ano,1,0
43,28,125.77,1,mes_a_mes,0,1
34,10,32.01,0,mes_a_mes,0,1
57,22,65.38,2,1_ano,0,0
50,17,194.08,3,mes_a_mes,1,0
26,26,70.69,1,2_anos,1,0
60,3,27.72,2,1_ano,0,0
71,7,144.44,5,2_anos,1,0
65,44,149.46,5,mes_a_mes,0,1
56,8,64.24,3,mes_a_mes,1,1
46,20,66.56,4,2_anos,0,0
59,12,99.09,3,mes_a_mes,0,0
72,35,14.14,4,mes_a_mes,1,1
43,17,159.97,4,1_ano,0,0
52,28,70.25,7,mes_a_mes,1,1
67,41,172.21,1,2_anos,0,0
42,10,162.5,2,2_anos,1,0
41,22,135.67,3,mes_a_mes,1,0
30,38,71.73,0,mes_a_mes,0,1
24,57,108.1,3,mes_a_mes,0,0
74,33,94.52,2,mes_a_mes,0,1
53,22,74.39,2,mes_a_mes,0,0
62,44,171.15,1,mes_a_mes,0,0
37,37,101.87,0,mes_a_mes,0,1
18,13,168.22,2,mes_a_mes,0,0
25,27,29.99,2,1_ano,0,0
63,15,36.79,2,2_anos,0,0
33,22,195.69,2,mes_a_mes,1,0
31,30,121.68,2,1_ano,0,0
29,43,106.86,4,mes_a_mes,1,1
68,40,109.4,2,mes_a_mes,0,0
40,37,50.9,3,1_ano,0,0
32,34,146.55,2,mes_a_mes,0,1
45,44,26.11,3,mes_a_mes,1,0
51,34,118.93,1,mes_a_mes,1,0
19,58,118.45,5,mes_a_mes,0,1
49,48,183.7,2,mes_a_mes,0,1
40,53,109.97,1,mes_a_mes,1,0
39,35,36.04,5,mes_a_mes,0,1
68,42,118.82,3,mes_a_mes,0,0
42,19,27.35,2,mes_a_mes,0,0
39,8,48.72,2,mes_a_mes,0,1
39,39,15.91,2,1_ano,0,0
66,33,107.53,2,mes_a_mes,1,0
69,44,26.06,3,2_anos,1,0
59,28,99.18,1,mes_a_mes,0,1
23,37,187.26,1,mes_a_mes,0,0
32,48,146.75,2,mes_a_mes,1,0
71,25,24.71,2,1_ano,1,0
60,36,52.6,0,1_ano,0,0
54,17,138.0,3,2_anos,0,0
50,24,179.99,0,mes_a_mes,1,0
25,21,16.25,0,mes_a_mes,1,0
70,2,164.37,2,2_anos,1,0
61,31,116.74,3,1_ano,1,0
61,44,113.76,0,mes_a_mes,0,0
22,33,191.98,1,2_anos,0,0
56,30,152.05,3,1_ano,0,0
21,12,171.52,1,mes_a_mes,1,0
23,44,77.26,3,mes_a_mes,0,1
62,12,115.33,1,mes_a_mes,1,0
49,51,126.93,1,1_ano,0,0
69,57,71.1,2,mes_a_mes,1,0
47,49,118.35,3,mes_a_mes,0,1
64,52,54.96,0,mes_a_mes,1,0
52,24,37.24,1,1_ano,0,0
72,24,81.05,3,mes_a_mes,1,0
57,58,150.47,1,1_ano,0,0
69,11,184.08,5,1_ano,1,0
33,13,96.97,1,1_ano,0,0
30,27,132.14,1,1_ano,1,0
67,8,29.58,5,1_ano,0,1
59,10,181.85,2,mes_a_mes,0,1
47,8,118.03,1,mes_a_mes,1,1
36,20,158.26,2,mes_a_mes,0,1
34,8,160.94,1,mes_a_mes,0,1
73,9,58.73,1,mes_a_mes,0,1
36,7,110.54,3,mes_a_mes,0,1
45,14,192.49,3,1_ano,0,0
72,28,27.03,3,mes_a_mes,0,1
43,2,139.78,1,mes_a_mes,0,1
54,57,192.83,2,1_ano,0,0
43,43,67.11,3,1_ano,0,0
70,8,173.68,2,mes_a_mes,0,1
40,13,187.39,0,mes_a_mes,0,1
26,21,151.95,1,mes_a_mes,0,0
29,47,53.95,1,mes_a_mes,0,1
70,28,73.46,1,1_ano,0,0
18,35,16.8,3,mes_a_mes,0,1
18,23,167.98,1,1_ano,1,0
64,46,171.43,0,mes_a_mes,0,1
51,15,130.21,3,mes_a_mes,0,1
49,2,76.98,2,mes_a_mes,0,1
71,51,24.59,3,mes_a_mes,0,0
65,12,153.08,2,mes_a_mes,0,0
42,57,148.04,2,1_ano,1,0
57,52,183.39,2,mes_a_mes,0,0
62,36,148.8,5,1_ano,0,0
70,3,167.45,0,2_anos,1,0
18,5,151.73,2,mes_a_mes,1,1
33,3,129.83,2,mes_a_mes,0,1
56,57,91.12,2,1_ano,0,0
22,47,181.4,2,mes_a_mes,1,0
39,19,133.68,0,mes_a_mes,1,0
46,2,85.69,3,2_anos,0,0
72,44,25.86,1,mes_a_mes,0,1
20,37,65.23,0,mes_a_mes,1,0
29,54,113.31,3,1_ano,0,0
43,17,62.37,1,mes_a_mes,0,1
33,14,52.03,1,2_anos,0,0
68,28,110.2,4,2_anos,0,0
54,27,42.27,1,mes_a_mes,0,0
39,54,162.08,4,mes_a_mes,0,1
74,10,102.03,2,mes_a_mes,1,1
46,3,119.03,2,mes_a_mes,0,1
31,36,38.0,1,mes_a_mes,1,0
45,38,71.67,2,mes_a_mes,0,0
22,56,87.92,0,mes_a_mes,0,1
64,25,163.56,1,mes_a_mes,0,1
66,22,156.33,7,1_ano,0,0
47,48,52.37,4,2_anos,0,0
63,39,127.07,2,mes_a_mes,0,0
69,47,56.26,0,mes_a_mes,0,0
22,30,197.77,4,mes_a_mes,0,1
29,21,190.9,2,2_anos,0,0
33,30,117.02,2,mes_a_mes,0,1
43,28,142.79,1,2_anos,0,0
43,31,162.27,3,2_anos,1,0
65,57,146.99,3,mes_a_mes,0,0
38,52,142.97,1,mes_a_mes,0,1
56,26,192.13,2,mes_a_mes,1,0
53,43,123.33,1,mes_a_mes,0,1
50,22,130.9,0,mes_a_mes,0,0
47,21,171.36,4,mes_a_mes,0,1
54,1,137.28,1,1_ano,0,0
40,37,149.26,4,mes_a_mes,0,1
27,13,54.49,3,mes_a_mes,0,0
71,21,80.54,1,mes_a_mes,0,1
22,46,37.99,3,mes_a_mes,0,0
53,9,106.1,1,mes_a_mes,0,1
51,17,96.59,0,mes_a_mes,1,0
69,47,199.46,2,mes_a_mes,0,1
48,21,126.13,0,1_ano,1,0
27,31,159.42,3,1_ano,1,0
36,39,73.46,2,mes_a_mes,0,0
49,59,167.99,2,mes_a_mes,0,0
18,54,126.87,2,mes_a_mes,1,0
73,22,142.43,4,mes_a_mes,1,1
22,12,65.94,0,mes_a_mes,0,0
62,55,114.24,0,mes_a_mes,1,0
21,6,130.47,2,mes_a_mes,0,1
33,53,121.93,3,mes_a_mes,0,1
41,16,183.89,3,1_ano,0,0
33,26,180.67,1,mes_a_mes,0,1
72,5,194.49,1,2_anos,1,0
19,9,136.81,0,mes_a_mes,0,1
66,46,194.66,2,mes_a_mes,1,0
45,40,168.17,2,2_anos,0,0
49,14,61.46,4,mes_a_mes,1,1
44,44,91.21,3,mes_a_mes,0,1
37,42,55.29,0,mes_a_mes,0,1
41,30,10.8,2,mes_a_mes,0,0
29,52,45.73,2,1_ano,0,0
67,52,10.77,1,mes_a_mes,1,0
52,26,146.77,5,2_anos,0,0
50,53,90.85,0,mes_a_mes,1,0
50,45,69.39,0,1_ano,0,0
68,29,154.73,3,1_ano,0,0
60,19,168.17,2,mes_a_mes,1,0
54,47,195.31,3,2_anos,0,0
29,8,131.98,3,mes_a_mes,0,1
20,23,97.69,1,mes_a_mes,0,1
18,53,68.0,4,mes_a_mes,0,1
50,42,52.24,4,2_anos,0,0
57,35,50.46,0,mes_a_mes,0,1
27,31,87.75,3,2_anos,0,0
60,53,198.44,5,mes_a_mes,1,1
61,35,10.16,2,1_ano,1,0
46,32,47.47,0,mes_a_mes,1,0
30,58,45.79,1,mes_a_mes,0,0
29,5,146.25,1,2_anos,0,0
48,16,76.97,3,mes_a_mes,0,0
63,17,96.88,1,1_ano,1,0
19,32,38.24,0,1_ano,0,0
68,38,86.95,2,1_ano,0,0
67,58,29.61,2,1_ano,0,0
52,32,111.28,0,mes_a_mes,0,1
40,52,28.61,2,mes_a_mes,0,0
34,20,160.2,3,1_ano,0,0
43,48,117.65,0,2_anos,1,0
25,56,147.55,1,mes_a_mes,1,0
46,2,89.52,2,mes_a_mes,1,1
43,20,82.48,1,mes_a_mes,1,0
27,47,28.66,0,mes_a_mes,0,0
43,18,109.53,1,mes_a_mes,0,1
51,1,107.76,1,mes_a_mes,0,1
68,58,98.94,2,1_ano,0,0
58,29,150.7,1,mes_a_mes,1,0
24,29,168.18,5,mes_a_mes,0,1
21,19,152.65,3,2_anos,0,0
70,44,37.33,1,mes_a_mes,0,1
67,40,128.19,2,mes_a_mes,0,1
62,6,25.26,3,mes_a_mes,0,1
28,44,141.98,2,1_ano,0,0
46,39,82.55,3,mes_a_mes,1,0
73,50,35.17,3,mes_a_mes,1,0
53,54,173.79,3,1_ano,0,0
42,46,126.66,2,mes_a_mes,1,0
38,8,77.4,1,1_ano,0,0
74,24,15.84,2,mes_a_mes,1,0
53,20,112.09,0,2_anos,0,0
27,54,185.41,2,mes_a_mes,0,1
54,14,123.31,2,mes_a_mes,1,0
26,5,194.61,1,1_ano,1,0
41,41,35.93,2,mes_a_mes,0,1
52,40,117.98,2,mes_a_mes,0,0
66,34,161.64,2,1_ano,0,0
52,16,109.85,4,mes_a_mes,0,1
65,45,27.3,2,mes_a_mes,1,0
53,7,120.75,3,mes_a_mes,0,1
35,16,126.23,1,2_anos,0,0
66,7,148.45,3,mes_a_mes,0,1
