ID,Superficie_m2,Habitaciones,Baños,Antiguedad,Ubicacion,Estacionamientos,TieneTerraza,PrecioVenta
56,153,4,3,61.0,Media,3.0,Sí,26897.0
57,56,4,2,64.0,Media,2.0,Sí,92283.0
58,100,6,3,59.0,Alta,1.0,No,63987.0
59,222,1,1,46.0,Alta,3.0,Sí,45673.0
60,53,3,2,3.0,Media,1.0,Sí,47231.0
61,101,3,1,70.0,Baja,2.0,No,8078.0
62,167,3,2,,Baja,2.0,No,-6459.0
63,120,5,4,29.0,Alta,0.0,Sí,67014.0
64,160,4,3,69.0,Alta,2.0,No,64851.0
65,129,4,4,10.0,Alta,3.0,Sí,107038.0
66,118,6,1,20.0,Baja,1.0,Sí,55561.0
67,78,3,4,46.0,Media,2.0,No,40832.0
68,108,2,3,3.0,Media,1.0,Sí,79752.0
69,135,6,2,37.0,Media,3.0,Sí,89058.0
70,154,1,4,79.0,Media,2.0,Sí,75876.0
71,76,3,3,13.0,Alta,1.0,Sí,105993.0
72,103,3,4,73.0,Media,2.0,No,-15839.0
73,71,3,1,39.0,Media,,Sí,9294.0
74,157,1,2,49.0,Baja,,Sí,22131.0
75,129,3,1,3.0,Baja,3.0,Sí,14446.0
76,94,5,3,,Media,2.0,No,40069.0
77,133,2,1,67.0,Baja,3.0,Sí,11653.0
78,183,4,3,16.0,Media,2.0,No,60737.0
79,180,2,4,74.0,Media,3.0,Sí,61517.0
80,138,6,1,37.0,Media,3.0,Sí,39151.0
81,-20,2,1,51.0,Alta,2.0,Sí,31578.0
82,127,3,4,11.0,Media,1.0,No,26430.0
83,118,6,4,41.0,Media,0.0,Sí,96644.0
84,153,3,4,51.0,Media,1.0,No,56871.0
85,99,4,4,55.0,Baja,0.0,No,51356.0
86,70,6,2,9.0,Alta,1.0,Sí,59332.0
87,129,6,3,59.0,Alta,,No,106835.0
88,77,3,1,22.0,Media,,No,214187.0
89,130,3,2,71.0,Alta,1.0,No,30663.0
90,147,3,2,4.0,Media,0.0,Sí,49682.0
91,172,5,4,69.0,Alta,1.0,No,58000.0
92,160,1,4,13.0,Baja,2.0,Sí,51570.0
93,196,4,4,21.0,Alta,3.0,No,86701.0
94,107,4,3,14.0,Media,0.0,Sí,101319.0
95,113,2,3,71.0,Alta,0.0,Sí,32991.0
96,28,3,4,79.0,Media,0.0,No,77490.0
97,98,2,2,6.0,Media,2.0,Sí,82252.0
98,128,1,4,14.0,Media,1.0,Sí,31908.0
99,188,4,1,28.0,Media,2.0,No,48731.0
100,130,5,3,67.0,Media,0.0,No,74934.0
101,195,3,3,5.0,Baja,,Sí,20767.0
102,84,2,4,16.0,Baja,1.0,Sí,56189.0
103,56,1,2,4.0,Media,0.0,No,18618.0
104,141,3,3,9.0,Media,2.0,Sí,76829.0
105,102,3,4,3.0,Baja,2.0,Sí,35892.0
106,116,1,2,61.0,Media,2.0,Sí,3525.0
107,208,3,3,16.0,Media,1.0,Sí,53800.0
108,97,2,3,49.0,Media,,Sí,45211.0
109,131,6,1,55.0,Alta,2.0,No,49748.0
110,164,3,4,46.0,Alta,0.0,Sí,53034.0
111,85,3,4,21.0,Media,1.0,Sí,66926.0
112,73,5,3,72.0,Media,,No,9803.0
113,130,3,1,39.0,Media,2.0,Sí,23548.0
114,92,5,4,24.0,Media,3.0,No,77942.0
115,190,2,1,41.0,Baja,1.0,No,-4140.0
116,147,2,3,7.0,Alta,,Sí,48960.0
117,166,5,4,21.0,Media,0.0,Sí,80921.0
118,164,2,2,75.0,Alta,0.0,Sí,12629.0
119,127,4,2,35.0,Baja,3.0,Sí,52086.0
120,106,6,2,65.0,Media,1.0,Sí,56771.0
121,124,5,3,10.0,Media,2.0,No,79719.0
122,127,2,3,79.0,Media,3.0,Sí,21953.0
123,91,5,3,55.0,Baja,0.0,No,28489.0
124,129,6,3,,Media,2.0,No,62624.0
125,86,5,3,75.0,Alta,0.0,Sí,71638.0
126,170,5,4,52.0,Media,0.0,Sí,36282.0
127,96,3,3,4.0,Media,2.0,Sí,81125.0
128,152,3,3,,Media,0.0,Sí,70457.0
129,115,1,1,43.0,Media,0.0,Sí,4200.0
130,107,5,3,4.0,Baja,2.0,Sí,32177.0
131,124,2,2,10.0,Baja,2.0,Sí,11782.0
132,131,4,2,19.0,Media,0.0,No,58180.0
133,79,5,3,16.0,Media,0.0,No,40651.0
134,140,6,1,25.0,Media,0.0,Sí,43536.0
135,139,4,2,13.0,Baja,1.0,Sí,76386.0
136,103,1,3,26.0,Baja,1.0,No,57677.0
137,135,3,1,5.0,Media,2.0,No,36621.0
138,144,3,1,42.0,Alta,0.0,Sí,53834.0
139,75,5,4,17.0,Alta,1.0,No,122090.0
140,87,6,2,48.0,Alta,0.0,Sí,103886.0
141,64,5,3,24.0,Media,0.0,No,85973.0
142,94,5,2,49.0,Baja,3.0,Sí,65483.0
143,98,2,1,50.0,Alta,3.0,Sí,25864.0
144,111,5,1,,Alta,0.0,Sí,77023.0
145,97,2,1,20.0,Media,,No,6763.0
146,88,1,4,23.0,Baja,2.0,Sí,40541.0
147,121,5,2,42.0,Media,2.0,No,68207.0
148,85,3,1,13.0,Alta,2.0,No,1739.0
149,123,6,2,16.0,Alta,0.0,Sí,81383.0
150,119,5,2,28.0,Baja,0.0,Sí,27005.0
151,147,4,3,36.0,Media,1.0,Sí,76202.0
152,56,5,1,,Alta,2.0,No,66240.0
153,131,2,1,3.0,Media,2.0,Sí,46865.0
154,119,3,2,65.0,Media,3.0,Sí,45429.0
155,126,5,4,78.0,Alta,2.0,Sí,68622.0
156,167,6,3,68.0,Alta,0.0,No,91190.0
157,117,2,3,68.0,Alta,3.0,Sí,59246.0
158,90,3,3,71.0,Alta,3.0,No,78517.0
159,16,4,3,11.0,Baja,2.0,No,68080.0
160,100,1,2,30.0,Media,1.0,Sí,55259.0
161,151,6,3,0.0,Alta,1.0,Sí,117073.0
162,95,5,2,39.0,Media,1.0,No,55757.0
163,87,4,2,36.0,Media,1.0,Sí,57282.0
164,110,3,2,41.0,Media,1.0,No,58024.0
165,117,5,2,66.0,Alta,2.0,No,32796.0
166,144,3,1,16.0,Alta,0.0,Sí,48725.0
167,142,1,3,23.0,Alta,1.0,Sí,66703.0
168,178,5,2,73.0,Media,2.0,Sí,50463.0
169,123,3,1,54.0,Baja,0.0,No,-402.0
170,108,1,2,40.0,Media,2.0,Sí,20572.0
171,128,2,1,79.0,Media,0.0,No,16872.0
172,104,1,3,47.0,Alta,1.0,No,79049.0
173,138,3,1,27.0,Baja,3.0,Sí,52685.0
174,91,4,4,76.0,Alta,,Sí,78618.0
175,134,6,4,42.0,Alta,,Sí,61209.0
176,110,5,1,28.0,Media,0.0,No,61266.0
177,122,5,1,74.0,Media,3.0,No,34051.0
178,178,3,4,41.0,Baja,1.0,Sí,15483.0
179,113,6,3,60.0,Media,0.0,No,-2627.0
180,148,2,1,59.0,Media,0.0,Sí,44660.0
181,133,1,1,58.0,Baja,0.0,Sí,2794.0
182,121,6,3,72.0,Alta,1.0,No,89109.0
183,50,1,1,24.0,Media,2.0,Sí,10344.0
184,91,6,4,49.0,Media,1.0,No,34293.0
185,147,5,3,63.0,Media,0.0,No,28253.0
186,51,3,1,8.0,Media,2.0,No,16922.0
187,98,2,4,35.0,Media,3.0,No,63328.0
188,121,6,2,65.0,Baja,0.0,No,61951.0
189,97,5,2,67.0,Baja,1.0,Sí,43170.0
190,143,5,1,34.0,Alta,3.0,Sí,34500.0
191,105,3,2,3.0,Alta,3.0,No,49037.0
192,113,5,3,14.0,Media,0.0,Sí,63907.0
193,216,6,4,78.0,Media,,Sí,69678.0
194,129,5,3,54.0,Media,,Sí,51656.0
195,94,5,4,48.0,Baja,1.0,Sí,65836.0
196,151,2,1,44.0,Baja,3.0,Sí,10042.0
197,159,4,3,59.0,Alta,0.0,Sí,37210.0
198,126,3,1,0.0,Media,0.0,No,62802.0
199,133,5,3,39.0,Alta,1.0,Sí,44607.0
200,136,1,1,18.0,Media,3.0,No,42531.0
201,178,1,3,9.0,Media,3.0,Sí,70627.0
202,139,6,3,23.0,Media,2.0,No,56113.0
203,134,6,1,20.0,Media,3.0,No,41220.0
204,110,3,3,30.0,Alta,2.0,Sí,51814.0
205,88,6,1,29.0,Baja,2.0,No,36959.0
206,101,1,2,65.0,Alta,3.0,Sí,75129.0
207,77,4,3,51.0,Media,0.0,Sí,57006.0
208,58,3,1,13.0,Alta,3.0,No,54064.0
209,80,1,1,30.0,Alta,1.0,Sí,51082.0
210,95,4,4,43.0,Alta,1.0,No,73890.0
211,22,4,4,29.0,Baja,1.0,No,81123.0
212,168,5,2,29.0,Media,3.0,Sí,52331.0
213,82,4,3,26.0,Media,3.0,Sí,44406.0
214,66,1,1,45.0,Baja,0.0,No,-14686.0
215,114,3,3,7.0,Baja,2.0,Sí,41849.0
216,130,3,3,46.0,Media,1.0,Sí,49947.0
217,149,6,3,19.0,Baja,1.0,No,94062.0
218,145,6,1,4.0,Media,3.0,No,46514.0
219,129,6,3,11.0,Alta,0.0,Sí,90042.0
220,69,6,4,44.0,Media,3.0,No,70528.0
221,63,2,1,16.0,Alta,0.0,Sí,45264.0
222,113,2,4,3.0,Alta,2.0,Sí,85112.0
223,101,5,4,1.0,Media,0.0,No,92048.0
224,146,1,2,30.0,Alta,1.0,No,92243.0
225,63,2,2,14.0,Media,2.0,Sí,69062.0
226,157,3,1,34.0,Media,,Sí,20270.0
227,116,4,1,78.0,Media,1.0,Sí,69639.0
228,59,3,2,71.0,Media,3.0,No,-10470.0
229,139,2,2,34.0,Media,0.0,No,38226.0
230,102,4,4,66.0,Media,3.0,Sí,54416.0
231,189,1,3,25.0,Alta,0.0,Sí,50061.0
232,150,4,4,79.0,Media,3.0,No,48089.0
233,178,2,3,78.0,Media,0.0,No,43580.0
234,169,1,3,65.0,Alta,1.0,No,57856.0
235,167,2,4,19.0,Alta,2.0,Sí,79442.0
236,130,3,2,67.0,Alta,2.0,No,53782.0
237,82,3,4,15.0,Media,0.0,No,63901.0
238,138,4,3,66.0,Baja,2.0,Sí,80762.0
239,156,3,1,70.0,Media,0.0,Sí,12956.0
240,55,5,3,78.0,Baja,0.0,Sí,7175.0
241,122,4,4,68.0,Alta,0.0,Sí,67308.0
242,96,6,4,72.0,Alta,1.0,Sí,74838.0
243,160,6,4,14.0,Media,2.0,No,92890.0
244,111,1,3,44.0,Media,2.0,No,30842.0
245,82,2,2,,Media,1.0,Sí,57149.0
246,105,1,1,6.0,Media,1.0,No,30474.0
247,179,5,2,60.0,Alta,3.0,No,78527.0
248,46,1,1,64.0,Baja,2.0,No,17138.0
249,63,5,3,25.0,Baja,0.0,No,15520.0
250,137,4,4,54.0,Media,2.0,Sí,37729.0
251,40,5,1,20.0,Media,0.0,Sí,33479.0
252,130,6,3,71.0,Media,0.0,No,17163.0
253,136,6,3,70.0,Media,3.0,No,93252.0
254,128,1,1,11.0,Media,3.0,Sí,26072.0
255,83,1,2,,Baja,3.0,Sí,28686.0
256,102,5,2,8.0,Alta,2.0,No,74251.0
257,110,4,2,62.0,Baja,1.0,Sí,40900.0
258,123,1,2,33.0,Media,2.0,No,12756.0
259,138,2,1,28.0,Media,2.0,No,-2889.0
260,62,3,4,46.0,Baja,2.0,No,60690.0
261,112,6,2,79.0,Media,0.0,Sí,35276.0
262,184,2,3,42.0,Media,0.0,Sí,97493.0
263,181,6,4,79.0,Media,1.0,Sí,93223.0
264,128,5,3,25.0,Alta,3.0,No,66176.0
265,169,5,2,17.0,Media,0.0,Sí,19881.0
266,142,6,4,40.0,Media,0.0,Sí,42650.0
267,65,1,1,22.0,Media,3.0,Sí,68926.0
268,114,2,3,11.0,Baja,3.0,Sí,47649.0
269,76,3,3,5.0,Alta,2.0,No,78555.0
270,107,4,1,65.0,Alta,0.0,Sí,39838.0
271,140,3,1,42.0,Baja,3.0,No,11118.0
272,73,3,1,13.0,Media,2.0,Sí,41073.0
273,83,3,3,69.0,Alta,,Sí,49997.0
274,82,3,3,70.0,Alta,2.0,Sí,54964.0
275,28,4,2,47.0,Alta,1.0,Sí,48743.0
276,88,6,1,25.0,Alta,2.0,Sí,85631.0
277,53,5,3,10.0,Media,0.0,No,73650.0
278,111,5,4,53.0,Media,3.0,No,84546.0
279,153,3,4,19.0,Alta,0.0,Sí,83167.0
280,40,4,2,16.0,Baja,3.0,Sí,45946.0
281,146,5,3,59.0,Baja,0.0,No,25014.0
282,146,1,3,37.0,Alta,0.0,Sí,76394.0
283,113,3,4,,Media,3.0,Sí,29041.0
284,82,6,1,52.0,Baja,0.0,Sí,20114.0
285,101,3,3,74.0,Media,1.0,No,16305.0
286,93,4,1,25.0,Baja,0.0,Sí,35577.0
287,182,1,2,46.0,Baja,0.0,Sí,13672.0
288,159,2,3,75.0,Media,2.0,No,39006.0
289,170,1,2,6.0,Alta,0.0,No,20252.0
290,53,2,1,78.0,Media,0.0,No,170890.0
291,116,3,2,50.0,Baja,3.0,No,48178.0
292,147,4,3,3.0,Alta,3.0,Sí,69073.0
293,42,2,3,49.0,Baja,1.0,Sí,46055.0
294,47,1,2,70.0,Media,3.0,Sí,36683.0
295,145,2,4,9.0,Media,1.0,No,96672.0
296,89,2,3,25.0,Alta,1.0,No,58735.0
297,110,5,4,77.0,Media,2.0,Sí,63373.0
298,225,4,1,29.0,Alta,1.0,Sí,68838.0
299,152,3,1,,Alta,1.0,No,76302.0
300,162,1,3,1.0,Alta,3.0,Sí,77506.0
301,148,4,2,22.0,Media,3.0,No,53091.0
302,168,2,3,73.0,Media,3.0,No,46999.0
303,94,3,2,41.0,Media,1.0,No,27120.0
304,166,3,2,6.0,Media,1.0,No,26312.0
305,124,2,1,24.0,Media,3.0,No,10691.0
306,69,1,1,43.0,Media,2.0,Sí,-5975.0
307,114,2,4,31.0,Media,2.0,Sí,58527.0
308,48,6,2,52.0,Alta,2.0,No,66555.0
309,196,5,3,17.0,Media,0.0,Sí,38570.0
310,246,1,2,58.0,Baja,3.0,Sí,-25060.0
311,64,6,3,31.0,Media,,Sí,65383.0
312,136,4,3,21.0,Media,3.0,No,51802.0
313,144,3,1,18.0,Media,1.0,Sí,15669.0
314,134,4,3,4.0,Alta,1.0,Sí,76236.0
315,147,6,2,55.0,Media,1.0,No,54466.0
316,118,5,4,48.0,Alta,0.0,No,75896.0
317,217,1,3,77.0,Media,2.0,Sí,2471.0
318,94,6,2,31.0,Baja,2.0,No,40452.0
319,124,2,3,4.0,Alta,0.0,Sí,75765.0
320,139,6,3,54.0,Alta,1.0,No,98954.0
321,135,1,1,48.0,Media,2.0,Sí,60129.0
322,74,6,1,12.0,Alta,0.0,No,78089.0
323,93,5,4,38.0,Media,0.0,No,48118.0
324,105,3,1,46.0,Alta,0.0,No,62069.0
325,72,3,2,56.0,Alta,1.0,Sí,74150.0
326,129,6,4,13.0,Media,0.0,No,43391.0
327,142,6,4,34.0,Baja,0.0,Sí,86996.0
328,70,1,2,21.0,Baja,2.0,Sí,50054.0
329,90,2,3,24.0,Alta,1.0,Sí,80410.0
330,75,2,3,32.0,Media,1.0,No,41131.0
331,95,1,1,9.0,Media,1.0,Sí,51705.0
332,124,4,2,66.0,Alta,,Sí,34278.0
333,175,6,2,,Baja,2.0,Sí,54544.0
334,214,2,1,63.0,Baja,0.0,Sí,-664.0
335,118,5,3,56.0,Baja,1.0,Sí,29670.0
336,118,5,4,39.0,Alta,2.0,No,73142.0
337,79,1,3,11.0,Alta,2.0,Sí,73113.0
338,134,3,2,11.0,Media,1.0,No,22353.0
339,163,1,4,9.0,Baja,1.0,Sí,66169.0
340,142,3,2,59.0,Baja,2.0,No,-8237.0
341,111,6,3,53.0,Media,1.0,No,29749.0
342,133,4,4,34.0,Media,3.0,Sí,60976.0
343,129,3,1,67.0,Baja,0.0,Sí,-3276.0
344,103,3,1,5.0,Media,3.0,Sí,41340.0
345,46,2,3,48.0,Media,1.0,No,22223.0
346,40,5,2,61.0,Media,2.0,No,13328.0
347,125,3,1,53.0,Media,,No,21991.0
348,162,1,3,48.0,Media,3.0,No,28486.0
349,184,6,4,43.0,Baja,0.0,No,89510.0
350,142,4,2,72.0,Media,2.0,No,33277.0
351,139,5,4,77.0,Media,2.0,Sí,62159.0
352,69,5,1,60.0,Alta,1.0,Sí,34479.0
353,115,1,2,4.0,Alta,1.0,Sí,41070.0
354,110,3,2,14.0,Baja,0.0,Sí,55159.0
355,140,2,2,54.0,Alta,2.0,Sí,94746.0
356,162,3,1,65.0,Media,1.0,No,55827.0
357,86,3,3,49.0,Baja,0.0,Sí,63986.0
358,91,5,4,50.0,Alta,3.0,Sí,85242.0
359,201,6,3,74.0,Alta,0.0,Sí,83602.0
360,185,1,4,33.0,Baja,1.0,Sí,29360.0
361,146,5,3,52.0,Media,0.0,No,102247.0
362,69,2,1,50.0,Media,1.0,Sí,-876.0
363,162,4,3,31.0,Alta,3.0,No,42734.0
364,137,5,1,79.0,Baja,3.0,Sí,5176.0
365,119,1,1,43.0,Alta,1.0,No,10705.0
366,149,2,3,33.0,Alta,3.0,Sí,87802.0
367,100,2,1,24.0,Media,3.0,No,32467.0
368,125,2,2,17.0,Alta,2.0,Sí,34660.0
369,63,2,4,50.0,Media,0.0,Sí,51643.0
370,145,2,1,13.0,Alta,3.0,No,49739.0
371,69,6,4,47.0,Alta,1.0,Sí,96188.0
372,77,3,2,53.0,Media,2.0,No,25203.0
373,128,2,1,71.0,Alta,3.0,Sí,29354.0
374,143,3,1,10.0,Media,2.0,Sí,18620.0
375,148,2,1,15.0,Media,0.0,Sí,20894.0
376,104,5,1,18.0,Media,2.0,No,34937.0
377,153,1,1,30.0,Media,0.0,Sí,35925.0
378,119,3,4,,Alta,0.0,Sí,116243.0
379,161,4,3,3.0,Media,2.0,Sí,59658.0
380,109,2,1,11.0,Baja,0.0,Sí,44541.0
381,75,1,2,16.0,Media,0.0,No,26874.0
382,78,6,1,40.0,Media,3.0,Sí,50667.0
383,110,1,1,18.0,Media,0.0,Sí,35306.0
384,70,6,3,17.0,Baja,0.0,Sí,25902.0
385,168,6,2,27.0,Alta,0.0,Sí,41945.0
386,165,5,1,57.0,Alta,,Sí,107035.0
387,69,6,3,77.0,Alta,3.0,Sí,88447.0
388,111,4,4,10.0,Alta,0.0,Sí,91817.0
389,111,4,2,71.0,Media,1.0,Sí,73230.0
390,105,6,1,10.0,Media,1.0,No,31351.0
391,143,4,2,77.0,Media,2.0,No,21298.0
392,106,1,3,76.0,Media,0.0,Sí,33859.0
393,103,3,2,76.0,Baja,,Sí,12007.0
394,155,2,2,31.0,Baja,0.0,Sí,27196.0
395,141,6,3,11.0,Baja,1.0,No,43621.0
396,110,1,3,21.0,Baja,3.0,No,34526.0
397,144,4,4,56.0,Alta,,Sí,64991.0
398,108,3,4,41.0,Baja,2.0,Sí,47144.0
399,118,3,2,73.0,Media,3.0,No,15553.0
400,108,2,1,66.0,Media,0.0,No,-11555.0
401,118,4,4,15.0,Alta,3.0,Sí,64451.0
402,155,6,1,36.0,Alta,,Sí,104719.0
403,166,5,1,59.0,Media,0.0,Sí,25604.0
404,179,5,1,25.0,Baja,0.0,No,80471.0
405,207,6,2,67.0,Media,2.0,Sí,38541.0
406,122,4,3,33.0,Media,1.0,Sí,51154.0
407,177,2,3,10.0,Alta,3.0,No,38927.0
408,172,1,4,77.0,Alta,2.0,No,60373.0
409,111,3,2,11.0,Media,1.0,Sí,59270.0
410,50,4,1,18.0,Alta,0.0,No,69697.0
411,69,3,4,12.0,Baja,3.0,No,31018.0
412,136,2,2,69.0,Baja,2.0,Sí,57092.0
413,95,6,1,61.0,Media,,No,18536.0
414,104,6,2,42.0,Media,0.0,Sí,60083.0
415,102,3,4,56.0,Media,0.0,Sí,32936.0
416,146,2,3,56.0,Alta,2.0,Sí,49820.0
417,116,5,4,71.0,Alta,0.0,Sí,52168.0
418,160,2,2,30.0,Media,,Sí,75386.0
419,95,5,4,54.0,Media,3.0,Sí,92327.0
420,106,3,2,29.0,Media,1.0,No,44872.0
421,146,6,4,19.0,Baja,2.0,Sí,83089.0
422,44,2,1,35.0,Baja,1.0,No,28034.0
423,116,4,2,44.0,Media,,No,48066.0
424,114,4,3,72.0,Media,0.0,Sí,20565.0
425,159,6,2,54.0,Media,1.0,Sí,76780.0
426,146,1,2,71.0,Media,3.0,No,2111.0
427,154,4,3,69.0,Media,2.0,Sí,74144.0
428,87,2,4,,Media,3.0,No,43579.0
429,142,3,2,16.0,Media,3.0,Sí,68459.0
430,157,6,3,,Alta,3.0,Sí,94892.0
431,89,2,1,39.0,Alta,0.0,Sí,53516.0
432,53,4,4,35.0,Media,0.0,Sí,52028.0
433,154,1,2,3.0,Baja,2.0,Sí,-1872.0
434,28,5,4,35.0,Media,1.0,Sí,89628.0
435,140,6,1,68.0,Baja,0.0,No,3137.0
436,77,3,4,,Media,2.0,No,42742.0
437,146,3,2,,Alta,2.0,Sí,33453.0
438,99,3,4,63.0,Media,1.0,Sí,55292.0
439,121,4,3,36.0,Media,0.0,Sí,57353.0
440,85,2,1,65.0,Alta,0.0,Sí,39183.0
441,78,1,2,11.0,Media,3.0,Sí,12628.0
442,67,2,4,15.0,Alta,0.0,Sí,69026.0
443,193,5,1,47.0,Media,2.0,Sí,2394.0
444,121,1,1,37.0,Alta,0.0,No,8433.0
445,106,4,1,21.0,Alta,0.0,Sí,54191.0
446,167,5,2,25.0,Alta,,No,85519.0
447,69,2,4,25.0,Alta,2.0,No,63140.0
448,100,1,2,14.0,Baja,2.0,No,18340.0
449,112,6,2,13.0,Media,3.0,Sí,77841.0
450,80,1,3,56.0,Media,3.0,No,44257.0
451,144,4,2,8.0,Alta,1.0,No,58657.0
452,167,2,4,18.0,Baja,2.0,No,44930.0
453,168,3,1,15.0,Alta,3.0,Sí,64141.0
454,131,1,4,4.0,Media,2.0,Sí,60566.0
455,89,5,4,38.0,Alta,0.0,Sí,65671.0
456,115,6,3,2.0,Alta,0.0,Sí,124644.0
457,129,6,2,,Baja,2.0,No,47351.0
458,99,6,2,69.0,Baja,3.0,Sí,28853.0
459,76,4,2,49.0,Baja,2.0,Sí,15066.0
460,149,2,2,32.0,Alta,0.0,Sí,51899.0
461,139,6,1,,Media,0.0,Sí,35215.0
462,102,4,2,6.0,Media,0.0,No,25596.0
463,127,2,2,47.0,Media,0.0,No,38490.0
464,132,6,1,78.0,Baja,2.0,Sí,33462.0
465,193,5,4,36.0,Alta,0.0,Sí,107917.0
466,73,6,2,53.0,Alta,0.0,Sí,80190.0
467,124,4,1,33.0,Media,1.0,No,54691.0
468,95,2,2,68.0,Baja,,Sí,38182.0
469,141,5,2,36.0,Media,0.0,Sí,53998.0
470,212,1,4,14.0,Baja,1.0,No,42505.0
471,172,1,3,14.0,Media,0.0,Sí,64842.0
472,100,3,3,60.0,Baja,1.0,Sí,58678.0
473,224,4,3,78.0,Alta,3.0,Sí,44942.0
474,132,3,2,58.0,Media,1.0,Sí,23773.0
475,159,4,3,53.0,Baja,0.0,No,49208.0
476,183,4,2,55.0,Baja,3.0,Sí,51582.0
477,147,5,3,56.0,Media,0.0,No,63910.0
478,168,6,3,13.0,Alta,,Sí,121558.0
479,135,1,4,16.0,Alta,1.0,Sí,37286.0
480,107,2,1,1.0,Media,1.0,No,20363.0
481,191,4,4,71.0,Baja,3.0,Sí,19084.0
482,142,4,4,57.0,Alta,1.0,No,37395.0
483,104,4,2,3.0,Media,0.0,Sí,67611.0
484,103,6,3,29.0,Alta,1.0,Sí,108958.0
485,145,4,2,17.0,Baja,2.0,Sí,47664.0
486,127,3,4,15.0,Baja,3.0,No,35705.0
487,136,4,4,24.0,Media,,Sí,63463.0
488,157,6,4,26.0,Alta,3.0,Sí,103868.0
489,76,5,4,76.0,Media,1.0,Sí,80758.0
490,154,4,4,55.0,Media,3.0,Sí,28352.0
491,166,3,2,31.0,Media,3.0,Sí,36899.0
492,119,5,2,0.0,Media,,Sí,58962.0
493,161,6,3,76.0,Media,2.0,No,45470.0
494,133,1,3,65.0,Media,0.0,Sí,13776.0
495,142,3,3,54.0,Media,0.0,Sí,39312.0
496,147,3,1,49.0,Media,1.0,Sí,10801.0
497,81,2,2,71.0,Media,0.0,No,23827.0
498,78,1,2,7.0,Alta,3.0,Sí,59071.0
499,114,5,1,26.0,Media,1.0,Sí,57016.0
500,120,5,2,10.0,Alta,0.0,Sí,83550.0
501,123,3,1,72.0,Baja,1.0,No,52518.0
502,126,1,4,70.0,Media,2.0,No,51837.0
503,87,2,1,55.0,Alta,1.0,Sí,42710.0
504,77,5,3,33.0,Media,2.0,No,61811.0
505,64,5,3,8.0,Alta,1.0,Sí,70618.0
