,rate_marriage,age,yrs_married,children,religious,educ,occupation,occupation_husb,affairs
81,5.0,32.0,16.5,3.0,2.0,12.0,3.0,4.0,0.0606061
82,3.0,27.0,6.0,2.0,1.0,14.0,3.0,6.0,2.041666
83,5.0,22.0,2.5,0.0,1.0,20.0,4.0,4.0,0.4
84,3.0,32.0,9.0,2.0,3.0,14.0,3.0,5.0,0.8888888
85,3.0,22.0,2.5,1.0,2.0,14.0,3.0,2.0,4.7999992
86,3.0,22.0,2.5,0.0,2.0,16.0,3.0,4.0,4.7999992
87,5.0,27.0,9.0,2.0,1.0,16.0,4.0,6.0,1.333333
88,3.0,42.0,23.0,2.0,2.0,12.0,2.0,2.0,0.1521739
89,3.0,37.0,16.5,3.0,2.0,17.0,3.0,2.0,1.1878777
90,5.0,32.0,13.0,2.0,2.0,12.0,2.0,6.0,0.9423077
91,1.0,27.0,13.0,2.0,2.0,12.0,4.0,4.0,1.5076914
92,5.0,27.0,2.5,0.0,2.0,14.0,3.0,2.0,0.4
93,5.0,27.0,9.0,0.0,1.0,14.0,4.0,4.0,0.1111111
94,5.0,32.0,13.0,2.0,2.0,16.0,3.0,3.0,0.9423077
95,4.0,27.0,9.0,2.0,2.0,14.0,3.0,5.0,0.3888888
96,3.0,22.0,2.5,1.0,3.0,14.0,5.0,4.0,4.8999996
97,2.0,37.0,23.0,2.0,2.0,12.0,5.0,5.0,0.5326087
98,2.0,27.0,6.0,2.0,1.0,14.0,3.0,5.0,2.041666
99,4.0,27.0,2.5,1.0,2.0,12.0,5.0,2.0,4.8999996
100,3.0,37.0,13.0,5.5,2.0,12.0,5.0,5.0,5.1692305
101,5.0,37.0,16.5,4.0,1.0,12.0,3.0,6.0,1.696969
102,5.0,22.0,2.5,0.0,1.0,14.0,3.0,5.0,1.3999996
103,4.0,42.0,13.0,0.0,1.0,14.0,5.0,5.0,0.0769231
104,5.0,27.0,9.0,1.0,1.0,14.0,5.0,5.0,2.1777763
105,4.0,22.0,2.5,0.0,1.0,14.0,3.0,4.0,1.3999996
106,4.0,22.0,2.5,1.0,2.0,14.0,5.0,4.0,7.8399963
107,4.0,27.0,6.0,2.0,3.0,16.0,4.0,6.0,0.5833333
108,2.0,32.0,16.5,1.0,2.0,14.0,3.0,5.0,2.7151508
109,3.0,27.0,13.0,2.0,1.0,14.0,3.0,4.0,0.9423077
110,4.0,22.0,0.5,0.0,2.0,12.0,3.0,2.0,7.0
111,5.0,27.0,6.0,1.0,1.0,16.0,4.0,3.0,3.2666645
112,2.0,27.0,9.0,2.0,2.0,14.0,3.0,5.0,4.666666
113,3.0,27.0,9.0,2.0,2.0,12.0,3.0,4.0,2.1777763
114,4.0,32.0,16.5,3.0,3.0,12.0,2.0,3.0,0.4848484
115,5.0,22.0,2.5,0.0,1.0,12.0,3.0,3.0,1.3999996
116,4.0,22.0,2.5,1.0,2.0,14.0,4.0,4.0,3.1999998
117,1.0,22.0,2.5,0.0,2.0,9.0,2.0,4.0,11.1999998
118,3.0,32.0,13.0,2.0,1.0,20.0,6.0,6.0,1.5076914
119,5.0,32.0,9.0,1.0,2.0,14.0,3.0,5.0,1.333333
120,5.0,27.0,2.5,0.0,1.0,20.0,6.0,4.0,1.3999996
121,4.0,27.0,9.0,2.0,2.0,14.0,2.0,5.0,0.3888888
122,4.0,27.0,6.0,0.0,3.0,12.0,5.0,2.0,2.0
123,2.0,22.0,2.5,0.0,3.0,14.0,3.0,2.0,4.8999996
124,3.0,27.0,9.0,2.0,3.0,17.0,4.0,6.0,1.3611107
125,4.0,27.0,6.0,2.0,1.0,14.0,3.0,4.0,2.041666
126,5.0,22.0,2.5,1.0,1.0,12.0,2.0,2.0,1.3999996
127,4.0,27.0,16.5,4.0,3.0,12.0,2.0,6.0,0.2121212
128,2.0,27.0,6.0,1.0,2.0,14.0,4.0,3.0,3.2666645
129,2.0,32.0,6.0,1.0,1.0,17.0,4.0,4.0,7.4666672
130,5.0,27.0,6.0,2.0,2.0,16.0,4.0,3.0,0.5833333
131,4.0,42.0,23.0,3.0,3.0,17.0,4.0,4.0,0.5217391
132,4.0,32.0,9.0,2.0,1.0,16.0,4.0,6.0,0.1111111
133,3.0,42.0,23.0,4.0,3.0,14.0,4.0,3.0,0.5217391
134,5.0,27.0,6.0,2.0,1.0,12.0,5.0,2.0,2.0
135,2.0,42.0,23.0,4.0,4.0,20.0,4.0,5.0,0.1521739
136,3.0,32.0,6.0,0.0,2.0,20.0,4.0,5.0,4.666666
137,5.0,27.0,2.5,0.0,2.0,14.0,3.0,2.0,1.3999996
138,2.0,42.0,16.5,3.0,3.0,12.0,3.0,5.0,1.1878777
139,4.0,37.0,23.0,3.0,2.0,12.0,5.0,4.0,1.826086
140,3.0,27.0,2.5,0.0,2.0,17.0,4.0,4.0,1.3999996
141,3.0,32.0,13.0,3.0,3.0,20.0,4.0,6.0,3.2307692
142,3.0,27.0,2.5,0.0,2.0,14.0,3.0,4.0,4.7999992
143,3.0,42.0,16.5,2.0,1.0,16.0,3.0,5.0,1.1878777
144,4.0,22.0,2.5,0.0,2.0,14.0,5.0,5.0,0.4
145,5.0,27.0,6.0,0.0,3.0,14.0,3.0,5.0,0.5833333
146,3.0,22.0,2.5,0.0,1.0,12.0,2.0,4.0,7.8399963
147,4.0,27.0,6.0,0.0,3.0,14.0,2.0,4.0,11.1999989
148,3.0,27.0,9.0,2.0,2.0,16.0,3.0,4.0,1.3611107
149,2.0,27.0,9.0,1.0,2.0,14.0,2.0,2.0,4.9777775
150,3.0,22.0,2.5,0.0,3.0,12.0,3.0,3.0,4.7999992
151,4.0,32.0,16.5,4.0,4.0,14.0,3.0,5.0,2.7151508
152,5.0,32.0,2.5,2.0,2.0,14.0,3.0,4.0,0.4
153,4.0,27.0,2.5,0.0,2.0,14.0,3.0,5.0,0.4
154,5.0,32.0,9.0,3.0,3.0,16.0,4.0,4.0,0.1111111
155,3.0,32.0,13.0,2.0,2.0,12.0,3.0,5.0,0.2692307
156,3.0,32.0,16.5,3.0,3.0,12.0,3.0,2.0,0.7272727
157,5.0,42.0,23.0,2.0,2.0,14.0,5.0,5.0,0.5217391
158,3.0,27.0,16.5,4.0,3.0,14.0,4.0,2.0,0.7424242
159,3.0,32.0,16.5,4.0,2.0,20.0,4.0,4.0,0.7272727
160,4.0,22.0,2.5,2.0,2.0,14.0,5.0,2.0,4.7999992
161,5.0,27.0,6.0,0.0,1.0,12.0,3.0,4.0,7.4666672
162,4.0,37.0,16.5,3.0,4.0,16.0,5.0,5.0,0.2121212
163,3.0,22.0,2.5,0.0,2.0,12.0,3.0,5.0,1.3999996
164,4.0,32.0,13.0,2.0,2.0,14.0,3.0,5.0,1.5076914
165,5.0,42.0,23.0,5.5,3.0,17.0,4.0,4.0,0.5217391
166,2.0,27.0,6.0,2.0,3.0,12.0,2.0,2.0,1.333333
167,5.0,22.0,2.5,1.0,2.0,16.0,3.0,6.0,1.3999996
168,3.0,42.0,23.0,2.0,3.0,12.0,2.0,2.0,0.5326087
169,5.0,42.0,23.0,3.0,1.0,14.0,3.0,5.0,1.826086
170,4.0,22.0,2.5,0.0,3.0,12.0,3.0,4.0,4.8999996
171,3.0,27.0,9.0,1.0,4.0,14.0,5.0,5.0,0.1111111
172,2.0,37.0,23.0,3.0,3.0,12.0,2.0,4.0,4.173913
173,3.0,32.0,9.0,3.0,3.0,14.0,4.0,5.0,0.3888888
174,5.0,37.0,16.5,4.0,3.0,12.0,3.0,4.0,1.1878777
175,3.0,27.0,9.0,2.0,2.0,12.0,5.0,2.0,1.333333
176,3.0,27.0,6.0,1.0,2.0,17.0,2.0,2.0,1.333333
177,5.0,22.0,2.5,0.0,3.0,14.0,3.0,3.0,1.3999996
178,5.0,27.0,6.0,0.0,2.0,17.0,4.0,5.0,1.333333
179,4.0,22.0,2.5,0.0,2.0,12.0,4.0,2.0,4.8999996
180,4.0,27.0,6.0,0.0,2.0,12.0,3.0,4.0,4.666666
181,3.0,32.0,9.0,1.0,2.0,12.0,3.0,3.0,0.1111111
182,1.0,42.0,23.0,4.0,3.0,12.0,3.0,5.0,0.8521735
183,2.0,22.0,6.0,2.0,2.0,12.0,3.0,4.0,1.333333
184,4.0,32.0,16.5,2.0,2.0,12.0,2.0,2.0,0.4848484
185,4.0,32.0,13.0,3.0,3.0,14.0,2.0,2.0,0.9423077
186,5.0,27.0,9.0,2.0,1.0,12.0,3.0,3.0,0.3888888
187,3.0,42.0,23.0,3.0,2.0,12.0,3.0,2.0,0.5217391
188,3.0,37.0,16.5,1.0,3.0,20.0,6.0,6.0,2.7151508
189,5.0,32.0,13.0,2.0,1.0,12.0,5.0,2.0,0.9423077
190,4.0,27.0,13.0,3.0,1.0,12.0,4.0,2.0,3.4461536
191,2.0,37.0,13.0,0.0,2.0,14.0,3.0,5.0,0.9230769
192,3.0,27.0,9.0,1.0,1.0,12.0,2.0,2.0,3.1111107
193,5.0,27.0,6.0,0.0,1.0,14.0,5.0,5.0,3.2666645
194,2.0,42.0,23.0,2.0,3.0,12.0,5.0,2.0,0.8521735
195,5.0,27.0,6.0,0.0,2.0,16.0,3.0,4.0,0.5833333
196,4.0,22.0,2.5,0.0,4.0,16.0,5.0,4.0,7.8399963
197,5.0,22.0,2.5,0.0,2.0,16.0,4.0,4.0,1.3999996
198,5.0,42.0,13.0,0.0,3.0,12.0,3.0,2.0,1.5076914
199,4.0,22.0,2.5,1.0,1.0,16.0,3.0,4.0,1.3999996
200,4.0,32.0,9.0,1.0,3.0,16.0,3.0,5.0,1.3611107
201,4.0,27.0,9.0,2.0,2.0,12.0,4.0,2.0,0.3888888
202,5.0,27.0,6.0,0.0,1.0,16.0,5.0,2.0,2.041666
203,4.0,32.0,16.5,3.0,2.0,14.0,5.0,4.0,2.545454
204,2.0,42.0,2.5,0.0,4.0,20.0,6.0,5.0,4.7999992
205,2.0,42.0,23.0,5.5,4.0,14.0,3.0,6.0,0.3478261
206,4.0,42.0,23.0,4.0,2.0,12.0,3.0,2.0,0.3478261
207,3.0,22.0,2.5,0.0,3.0,16.0,5.0,5.0,4.7999992
208,2.0,22.0,2.5,0.0,3.0,14.0,3.0,5.0,1.3999996
209,4.0,22.0,2.5,0.0,3.0,14.0,3.0,3.0,4.7999992
210,4.0,32.0,16.5,4.0,3.0,14.0,4.0,4.0,0.2121212
211,5.0,32.0,13.0,2.0,4.0,17.0,4.0,5.0,0.9423077
212,4.0,32.0,13.0,3.0,4.0,12.0,3.0,5.0,1.5076914
213,5.0,27.0,9.0,2.0,1.0,14.0,4.0,4.0,1.3611107
214,4.0,27.0,6.0,1.0,4.0,16.0,3.0,4.0,0.5833333
215,4.0,27.0,9.0,2.0,3.0,12.0,2.0,4.0,1.333333
216,1.0,37.0,16.5,3.0,2.0,17.0,4.0,4.0,0.7424242
217,3.0,27.0,9.0,3.0,2.0,12.0,4.0,5.0,1.3611107
218,2.0,27.0,6.0,0.0,2.0,14.0,3.0,4.0,4.666666
219,3.0,22.0,2.5,1.0,2.0,14.0,2.0,2.0,25.5999908
220,4.0,22.0,2.5,1.0,3.0,12.0,3.0,4.0,4.8999996
221,4.0,27.0,2.5,0.0,2.0,14.0,4.0,4.0,1.3999996
222,1.0,42.0,23.0,2.0,3.0,12.0,3.0,5.0,0.5217391
223,5.0,27.0,6.0,2.0,4.0,14.0,5.0,5.0,3.2666645
224,5.0,27.0,6.0,0.0,1.0,12.0,4.0,2.0,0.5833333
225,4.0,37.0,23.0,2.0,3.0,12.0,3.0,5.0,0.1521739
226,4.0,22.0,6.0,2.0,2.0,12.0,3.0,4.0,0.1666666
227,1.0,32.0,13.0,1.0,3.0,14.0,3.0,1.0,0.9423077
228,5.0,22.0,6.0,1.0,1.0,16.0,3.0,5.0,0.5833333
229,5.0,27.0,6.0,0.0,1.0,14.0,3.0,5.0,2.0
230,5.0,27.0,6.0,1.0,1.0,17.0,4.0,5.0,3.2666645
231,4.0,37.0,16.5,1.0,2.0,14.0,2.0,5.0,1.1878777
232,4.0,27.0,9.0,2.0,2.0,12.0,2.0,2.0,2.1777763
233,4.0,42.0,23.0,4.0,1.0,12.0,3.0,4.0,0.1521739
234,4.0,32.0,13.0,0.0,3.0,12.0,2.0,2.0,2.1538458
235,5.0,32.0,13.0,2.0,3.0,12.0,2.0,2.0,0.9230769
236,4.0,42.0,23.0,4.0,1.0,17.0,4.0,4.0,0.8521735
237,4.0,37.0,23.0,4.0,2.0,14.0,4.0,3.0,0.5326087
238,4.0,32.0,16.5,2.0,2.0,14.0,3.0,6.0,1.1878777
239,4.0,27.0,13.0,4.0,3.0,12.0,2.0,4.0,3.2307692
240,5.0,37.0,23.0,3.0,2.0,12.0,3.0,2.0,0.1521739
241,2.0,32.0,13.0,0.0,3.0,9.0,6.0,2.0,0.0769231
242,5.0,32.0,13.0,2.0,1.0,14.0,4.0,6.0,3.4461536
243,4.0,27.0,6.0,1.0,2.0,14.0,4.0,2.0,0.1666666
244,5.0,27.0,2.5,0.0,3.0,20.0,4.0,5.0,4.7999992
245,2.0,42.0,23.0,3.0,3.0,14.0,4.0,2.0,0.5217391
246,3.0,27.0,6.0,0.0,1.0,14.0,3.0,2.0,0.5833333
247,4.0,27.0,6.0,1.0,2.0,12.0,3.0,4.0,2.041666
248,2.0,22.0,2.5,0.0,3.0,12.0,3.0,3.0,3.1999998
249,3.0,27.0,2.5,0.0,3.0,12.0,2.0,2.0,7.8399963
250,4.0,42.0,23.0,2.0,2.0,17.0,5.0,2.0,0.8521735
251,5.0,32.0,13.0,2.0,1.0,14.0,2.0,5.0,0.9230769
252,5.0,32.0,13.0,0.0,1.0,12.0,5.0,4.0,2.1538458
253,4.0,27.0,9.0,2.0,2.0,16.0,4.0,5.0,0.3888888
254,5.0,42.0,23.0,4.0,3.0,17.0,4.0,4.0,0.1521739
255,3.0,27.0,9.0,3.0,1.0,16.0,4.0,5.0,0.1111111
256,5.0,42.0,13.0,0.0,2.0,14.0,5.0,3.0,0.9230769
257,5.0,32.0,16.5,2.0,2.0,16.0,5.0,5.0,0.2121212
258,1.0,42.0,23.0,2.0,1.0,12.0,3.0,3.0,1.826086
259,4.0,27.0,6.0,0.0,1.0,12.0,3.0,4.0,0.5833333
260,5.0,42.0,23.0,3.0,2.0,12.0,5.0,4.0,1.9478254
261,4.0,27.0,9.0,2.0,3.0,16.0,4.0,5.0,1.333333
262,2.0,32.0,13.0,3.0,3.0,20.0,4.0,5.0,0.0769231
263,4.0,22.0,2.5,0.0,2.0,12.0,3.0,2.0,11.1999998
264,3.0,32.0,16.5,3.0,2.0,12.0,3.0,2.0,0.7272727
265,5.0,27.0,6.0,1.0,3.0,12.0,5.0,2.0,2.0
266,3.0,27.0,2.5,0.0,1.0,12.0,3.0,4.0,3.1999998
267,5.0,22.0,2.5,0.0,2.0,16.0,4.0,6.0,1.3999996
268,3.0,32.0,13.0,0.0,2.0,16.0,4.0,5.0,0.9230769
269,4.0,37.0,16.5,2.0,2.0,20.0,4.0,2.0,0.7424242
270,4.0,27.0,6.0,1.0,2.0,17.0,4.0,5.0,2.041666
271,4.0,37.0,23.0,4.0,2.0,12.0,3.0,2.0,0.1521739
272,4.0,22.0,2.5,2.0,2.0,14.0,3.0,5.0,4.8999996
273,3.0,27.0,6.0,1.0,3.0,17.0,4.0,4.0,1.333333
274,4.0,32.0,16.5,3.0,4.0,12.0,3.0,5.0,1.1878777
275,5.0,22.0,6.0,2.0,3.0,14.0,3.0,5.0,7.4666672
276,4.0,32.0,13.0,2.0,3.0,14.0,3.0,2.0,0.0769231
277,4.0,27.0,9.0,1.0,1.0,14.0,2.0,5.0,1.3611107
278,3.0,32.0,16.5,2.0,2.0,12.0,3.0,4.0,0.7272727
279,4.0,27.0,13.0,2.0,2.0,12.0,3.0,2.0,0.0769231
280,5.0,27.0,9.0,1.0,3.0,12.0,2.0,3.0,0.3888888
281,3.0,27.0,9.0,0.0,1.0,12.0,3.0,4.0,16.0
282,4.0,27.0,9.0,0.0,3.0,14.0,5.0,6.0,4.9777775
283,3.0,22.0,2.5,0.0,1.0,12.0,3.0,2.0,7.8399963
284,3.0,32.0,13.0,2.0,3.0,20.0,4.0,5.0,0.0769231
285,4.0,42.0,23.0,5.5,2.0,14.0,5.0,3.0,0.5326087
286,5.0,22.0,2.5,0.0,2.0,16.0,3.0,4.0,4.8999996
287,5.0,27.0,9.0,1.0,2.0,14.0,4.0,5.0,0.3888888
288,5.0,37.0,13.0,2.0,3.0,14.0,4.0,3.0,0.2692307
289,5.0,27.0,2.5,1.0,3.0,16.0,3.0,3.0,1.3999996
290,4.0,27.0,6.0,0.0,2.0,14.0,3.0,2.0,0.5833333
291,5.0,22.0,2.5,0.0,2.0,12.0,4.0,4.0,7.8399963
292,5.0,27.0,6.0,1.0,3.0,12.0,2.0,3.0,1.333333
293,4.0,32.0,9.0,2.0,2.0,16.0,5.0,5.0,1.333333
294,4.0,32.0,6.0,2.0,3.0,14.0,4.0,2.0,2.041666
295,2.0,22.0,2.5,1.0,2.0,17.0,2.0,2.0,11.1999998
296,5.0,27.0,2.5,0.0,2.0,17.0,5.0,5.0,4.7999992
297,5.0,37.0,16.5,3.0,2.0,14.0,4.0,4.0,1.1878777
298,3.0,27.0,2.5,1.0,3.0,14.0,5.0,3.0,4.7999992
299,4.0,27.0,6.0,1.0,1.0,14.0,3.0,4.0,0.1666666
300,5.0,27.0,6.0,2.0,3.0,12.0,2.0,4.0,3.2666645
301,4.0,42.0,23.0,3.0,2.0,12.0,3.0,2.0,1.217391
302,3.0,27.0,6.0,2.0,3.0,14.0,3.0,5.0,0.5833333
303,5.0,22.0,6.0,1.0,3.0,14.0,1.0,4.0,2.0
304,5.0,37.0,23.0,3.0,2.0,12.0,3.0,4.0,0.5326087
305,3.0,37.0,16.5,3.0,3.0,12.0,3.0,4.0,1.1878777
306,4.0,42.0,23.0,4.0,2.0,9.0,4.0,4.0,0.5217391
307,4.0,42.0,23.0,3.0,3.0,12.0,3.0,5.0,0.5217391
308,4.0,37.0,23.0,2.0,2.0,16.0,4.0,6.0,0.1521739
309,5.0,32.0,16.5,4.0,1.0,12.0,2.0,1.0,0.4848484
310,4.0,27.0,6.0,2.0,3.0,14.0,2.0,6.0,1.333333
311,3.0,32.0,16.5,2.0,2.0,12.0,2.0,2.0,1.1878777
312,2.0,27.0,6.0,1.0,2.0,12.0,3.0,2.0,0.5833333
313,4.0,22.0,2.5,0.0,1.0,14.0,3.0,4.0,4.7999992
314,3.0,22.0,6.0,1.0,2.0,14.0,3.0,2.0,0.5833333
315,2.0,27.0,6.0,0.0,3.0,12.0,3.0,3.0,0.1666666
316,4.0,27.0,6.0,1.0,2.0,12.0,2.0,5.0,3.2666645
317,3.0,22.0,2.5,1.0,1.0,12.0,5.0,5.0,4.8999996
318,2.0,37.0,16.5,3.0,2.0,14.0,3.0,5.0,1.1878777
319,5.0,32.0,13.0,2.0,2.0,16.0,4.0,2.0,3.2307692
320,5.0,22.0,2.5,0.0,1.0,12.0,3.0,2.0,1.3999996
321,4.0,22.0,6.0,1.0,3.0,14.0,4.0,1.0,0.5833333
322,4.0,22.0,0.5,0.0,2.0,12.0,5.0,2.0,2.0
323,3.0,27.0,2.5,0.0,2.0,20.0,4.0,4.0,1.3999996
324,5.0,27.0,2.5,0.0,3.0,12.0,2.0,2.0,1.3999996
325,4.0,22.0,2.5,0.0,3.0,14.0,3.0,2.0,1.3999996
326,4.0,42.0,16.5,2.0,1.0,16.0,4.0,5.0,2.7151508
327,5.0,32.0,13.0,1.0,2.0,12.0,5.0,2.0,1.5076914
328,5.0,32.0,13.0,3.0,3.0,14.0,3.0,5.0,0.9230769
329,5.0,32.0,2.5,0.0,3.0,14.0,4.0,2.0,4.7999992
330,3.0,32.0,13.0,1.0,1.0,16.0,4.0,5.0,0.9423077
331,5.0,42.0,23.0,2.0,3.0,14.0,5.0,6.0,1.217391
332,4.0,27.0,6.0,1.0,1.0,14.0,3.0,2.0,2.041666
333,3.0,37.0,16.5,4.0,3.0,12.0,2.0,5.0,1.1878777
334,5.0,37.0,16.5,2.0,2.0,12.0,2.0,4.0,0.2121212
335,2.0,32.0,9.0,1.0,2.0,12.0,3.0,3.0,1.333333
336,2.0,32.0,13.0,0.0,2.0,14.0,5.0,4.0,0.2692307
337,4.0,22.0,0.5,0.0,1.0,12.0,3.0,4.0,2.0
338,4.0,22.0,6.0,0.0,1.0,12.0,3.0,4.0,0.1666666
339,3.0,37.0,16.5,3.0,3.0,12.0,2.0,2.0,0.2121212
340,3.0,27.0,2.5,0.0,2.0,17.0,4.0,5.0,3.1999998
341,3.0,22.0,2.5,0.0,2.0,17.0,5.0,4.0,0.4
342,4.0,32.0,16.5,2.0,2.0,14.0,3.0,4.0,0.7272727
343,4.0,42.0,16.5,2.0,3.0,17.0,5.0,6.0,0.4848484
344,4.0,32.0,16.5,5.5,3.0,12.0,2.0,2.0,1.1878777
345,3.0,32.0,13.0,2.0,3.0,14.0,2.0,2.0,0.6153846
346,4.0,42.0,23.0,2.0,2.0,20.0,4.0,5.0,0.8521735
347,3.0,32.0,9.0,1.0,2.0,16.0,4.0,3.0,4.666666
348,4.0,22.0,2.5,0.0,2.0,14.0,3.0,2.0,1.3999996
349,3.0,37.0,16.5,3.0,3.0,12.0,3.0,3.0,5.818181
