ID_Empleado,Turno,Experiencia,Nivel_Educativo,Tiempo_Resolución_Min,Casos_Resueltos,Tipo_Caso,Satisfacción_Cliente,Capacitaciones_Anuales
80,Tarde,4.2,Técnico,26.1,64,Cuenta,3.0,3.8
81,Noche,5.1,Técnico,35.6,83,Hardware,,2.0
82,Mañana,3.0,Básico,37.2,88,Hardware,5.0,5.4
83,Tarde,2.6,Básico,50.6,68,Cuenta,,3.9
84,Mañana,5.6,Técnico,30.1,91,Hardware,1.0,3.2
85,Mañana,3.6,Universitario,35.5,77,Hardware,4.0,3.0
86,Tarde,4.9,Básico,19.7,82,Cuenta,,3.8
87,Noche,8.2,Técnico,36.9,86,Software,4.0,3.7
88,Mañana,8.1,Universitario,30.3,76,Hardware,3.0,3.3
89,Tarde,9.4,Técnico,3.4,76,Cuenta,2.0,1.9
90,Mañana,,Básico,21.3,65,Hardware,4.0,3.8
91,Mañana,9.8,Técnico,9.3,78,Software,4.0,2.5
92,Mañana,5.9,Técnico,22.6,96,Software,2.0,1.4
93,Mañana,3.2,Básico,33.1,66,Software,5.0,2.9
94,Noche,,Técnico,27.0,69,Software,4.0,2.6
95,Mañana,7.8,Técnico,36.2,73,Software,3.0,3.2
96,Mañana,5.1,Universitario,6.5,69,Software,3.0,2.7
97,Mañana,5.3,Técnico,39.6,90,Software,2.0,2.4
98,Noche,3.9,Básico,32.5,102,Software,3.0,3.5
99,Mañana,4.1,Técnico,17.4,67,Hardware,3.0,3.5
100,Mañana,5.8,Básico,29.8,96,Cuenta,,1.3
101,Noche,2.9,Básico,51.9,90,Cuenta,3.0,2.7
102,Noche,5.5,Técnico,44.7,97,Hardware,4.0,3.2
103,Noche,8.0,Universitario,46.8,60,Cuenta,4.0,2.1
104,Mañana,0.7,Universitario,27.9,90,Cuenta,2.0,3.4
105,Noche,1.9,Básico,41.4,86,Software,1.0,3.0
106,Noche,6.4,Universitario,43.1,70,Hardware,4.0,2.8
107,Mañana,7.7,Básico,19.6,78,Software,5.0,2.3
108,Noche,4.0,Básico,42.9,74,Software,5.0,2.6
109,Mañana,,Universitario,40.6,86,Software,4.0,4.1
110,Tarde,7.9,Universitario,23.3,101,Hardware,3.0,4.4
111,Noche,3.4,Básico,30.9,85,Hardware,3.0,2.2
112,Tarde,4.3,Básico,43.6,79,Hardware,4.0,2.8
113,Mañana,5.6,Básico,29.4,82,Software,2.0,2.0
114,Noche,3.7,Técnico,38.8,89,Hardware,3.0,2.9
115,Mañana,3.2,Universitario,25.3,85,Software,1.0,3.3
116,Tarde,3.3,Básico,19.1,89,Cuenta,2.0,3.1
117,Mañana,8.7,Técnico,18.0,96,Software,2.0,0.4
118,Noche,7.3,Básico,27.2,80,Cuenta,4.0,4.2
119,Noche,6.1,Básico,34.4,71,Cuenta,,2.5
120,Tarde,0.6,Universitario,12.4,78,Hardware,3.0,1.8
121,Mañana,6.2,Universitario,49.3,76,Software,3.0,2.2
122,Noche,6.0,Básico,40.7,97,Hardware,3.0,4.1
123,Tarde,2.4,Básico,35.1,82,Hardware,2.0,3.7
124,Noche,5.5,Básico,38.2,84,Cuenta,4.0,3.0
125,Noche,7.1,Técnico,23.5,79,Cuenta,2.0,2.9
126,Mañana,6.1,Básico,15.2,89,Software,2.0,1.7
127,Noche,3.6,Técnico,34.1,79,Cuenta,2.0,4.0
128,Mañana,5.0,Técnico,40.4,85,Software,3.0,3.9
129,Noche,6.5,Básico,25.1,75,Software,2.0,4.3
130,Tarde,5.1,Universitario,20.6,83,Hardware,3.0,3.2
131,Noche,7.5,Básico,24.6,91,Cuenta,3.0,4.2
132,Mañana,5.8,Universitario,34.8,87,Hardware,5.0,2.1
133,Mañana,6.5,Técnico,36.0,75,Cuenta,2.0,3.1
134,Tarde,6.6,Universitario,48.1,77,Cuenta,3.0,3.9
135,Noche,2.9,Básico,34.5,69,Hardware,,3.7
136,Noche,5.1,Universitario,21.7,75,Software,2.0,4.6
137,Tarde,4.3,Básico,27.0,84,Hardware,4.0,2.4
138,Noche,7.1,Universitario,19.5,76,Cuenta,2.0,3.9
139,Noche,5.9,Universitario,41.1,100,Hardware,3.0,1.8
140,Mañana,4.6,Técnico,18.8,81,Hardware,1.0,1.2
141,Noche,2.4,Técnico,24.3,71,Cuenta,3.0,3.4
142,Noche,1.8,Universitario,34.8,79,Cuenta,,4.8
143,Tarde,5.6,Universitario,46.0,74,Software,4.0,4.5
144,Tarde,3.6,Universitario,58.6,77,Cuenta,2.0,2.1
145,Mañana,6.3,Universitario,16.6,69,Cuenta,5.0,3.0
146,Noche,1.7,Universitario,36.4,83,Cuenta,4.0,1.9
147,Noche,8.2,Técnico,29.8,96,Cuenta,,3.1
148,Noche,6.3,Básico,27.5,78,Cuenta,2.0,3.6
149,Mañana,5.2,Básico,27.2,82,Software,2.0,2.6
150,Mañana,8.4,Técnico,17.7,84,Cuenta,4.0,3.2
151,Tarde,6.9,Técnico,46.7,62,Hardware,,2.3
152,Mañana,4.0,Técnico,9.2,77,Hardware,4.0,2.4
153,Noche,5.2,Básico,28.5,71,Cuenta,3.0,2.1
154,Noche,1.1,Técnico,45.0,77,Hardware,3.0,2.1
155,Mañana,7.1,Básico,32.3,89,Software,3.0,4.8
156,Noche,4.4,Técnico,23.3,75,Hardware,,3.5
157,Noche,1.0,Técnico,23.7,81,Software,5.0,1.2
158,Mañana,,Básico,38.8,89,Software,2.0,3.4
159,Mañana,6.7,Universitario,26.9,86,Hardware,3.0,3.5
160,Noche,8.2,Técnico,29.7,97,Hardware,4.0,4.8
161,Noche,5.0,Universitario,36.2,79,Cuenta,3.0,1.8
162,Noche,3.0,Básico,39.3,77,Cuenta,4.0,3.6
163,Tarde,2.2,Básico,24.4,69,Cuenta,2.0,2.9
164,Tarde,7.8,Básico,16.3,68,Hardware,5.0,3.3
165,Tarde,5.9,Básico,20.0,77,Software,3.0,3.7
166,Mañana,4.3,Básico,43.8,92,Software,5.0,0.8
167,Tarde,3.9,Básico,30.7,74,Cuenta,4.0,3.5
168,Mañana,6.3,Universitario,17.5,73,Software,3.0,3.6
169,Mañana,6.3,Universitario,20.7,78,Hardware,4.0,3.3
170,Tarde,3.2,Universitario,41.6,71,Hardware,1.0,1.9
171,Tarde,2.7,Universitario,30.9,88,Software,3.0,2.9
172,Tarde,2.8,Técnico,13.3,76,Hardware,3.0,4.4
173,Noche,4.1,Técnico,19.0,78,Software,3.0,3.0
174,Tarde,3.6,Básico,41.5,74,Cuenta,2.0,3.8
175,Noche,8.2,Básico,24.3,74,Hardware,3.0,3.5
176,Mañana,4.0,Universitario,50.9,78,Hardware,4.0,4.1
177,Noche,2.5,Universitario,49.2,78,Cuenta,3.0,4.6
178,Tarde,2.6,Universitario,44.9,88,Software,5.0,0.9
179,Mañana,4.6,Universitario,35.0,80,Hardware,3.0,2.3
180,Mañana,1.4,Básico,40.3,71,Hardware,4.0,3.0
181,Mañana,4.9,Técnico,29.4,77,Software,5.0,5.1
182,Noche,2.3,Técnico,29.7,89,Cuenta,3.0,4.1
183,Tarde,7.3,Universitario,18.0,81,Hardware,5.0,3.5
184,Mañana,5.2,Universitario,29.6,80,Cuenta,2.0,3.6
185,Mañana,9.2,Técnico,17.3,70,Software,4.0,2.0
186,Mañana,4.5,Básico,30.1,79,Software,5.0,3.6
187,Noche,-1.3,Básico,17.9,94,Cuenta,,1.4
188,Noche,7.9,Técnico,21.3,79,Software,1.0,3.2
189,Tarde,6.0,Universitario,4.5,83,Cuenta,2.0,3.5
190,Noche,6.3,Básico,22.2,89,Hardware,1.0,3.9
191,Mañana,3.0,Básico,22.8,75,Cuenta,3.0,1.5
192,Tarde,4.9,Técnico,26.9,73,Cuenta,2.0,2.7
193,Mañana,5.4,Universitario,41.9,91,Cuenta,3.0,1.8
194,Mañana,4.5,Técnico,29.5,75,Hardware,5.0,4.3
195,Noche,1.5,Técnico,39.3,81,Software,3.0,4.7
196,Tarde,10.5,Técnico,39.7,102,Hardware,1.0,3.9
197,Noche,6.7,Básico,44.1,92,Cuenta,5.0,1.8
198,Noche,5.8,Básico,20.9,76,Hardware,4.0,3.0
199,Tarde,7.6,Universitario,18.2,88,Software,2.0,3.6
200,Mañana,6.3,Universitario,28.8,90,Hardware,4.0,3.3
201,Mañana,3.6,Técnico,19.6,84,Cuenta,4.0,3.5
202,Tarde,7.5,Técnico,27.7,91,Hardware,3.0,3.2
203,Mañana,6.7,Universitario,20.5,69,Hardware,2.0,3.3
204,Tarde,3.7,Técnico,17.8,77,Cuenta,,2.0
205,Tarde,6.6,Básico,33.6,97,Cuenta,4.0,3.9
206,Noche,4.5,Técnico,48.7,75,Software,1.0,1.2
207,Tarde,5.4,Técnico,27.5,89,Hardware,2.0,3.9
208,Noche,6.2,Técnico,32.8,79,Software,2.0,0.7
209,Mañana,7.7,Universitario,30.6,105,Cuenta,5.0,4.2
210,Mañana,3.7,Universitario,29.7,70,Cuenta,3.0,3.0
211,Mañana,5.7,Básico,44.3,79,Software,1.0,2.6
212,Mañana,9.0,Universitario,27.2,76,Software,2.0,4.2
213,Noche,4.6,Técnico,-2.4,78,Hardware,,3.7
214,Mañana,5.4,Técnico,21.2,82,Software,4.0,2.5
215,Tarde,9.0,Técnico,31.1,69,Hardware,1.0,4.6
216,Tarde,6.3,Técnico,28.9,57,Cuenta,5.0,3.0
217,Tarde,2.1,Universitario,27.7,83,Cuenta,2.0,3.0
218,Noche,3.4,Universitario,24.9,62,Hardware,3.0,3.3
219,Mañana,6.4,Universitario,30.9,75,Hardware,2.0,3.3
220,Mañana,5.8,Básico,50.6,78,Cuenta,1.0,3.2
221,Mañana,5.3,Técnico,26.7,86,Hardware,3.0,3.9
222,Noche,,Técnico,51.6,92,Software,2.0,2.7
223,Tarde,3.8,Universitario,34.7,85,Hardware,3.0,3.9
224,Tarde,4.9,Técnico,23.3,78,Cuenta,2.0,2.1
225,Mañana,1.1,Básico,38.7,84,Hardware,5.0,3.1
226,Tarde,7.3,Técnico,5.7,75,Software,2.0,3.4
227,Tarde,3.4,Técnico,29.8,84,Hardware,3.0,2.3
228,Noche,7.1,Universitario,35.2,72,Hardware,3.0,2.8
229,Noche,6.9,Universitario,35.3,81,Hardware,,3.6
230,Noche,9.7,Universitario,36.4,96,Cuenta,,2.2
231,Noche,6.3,Universitario,37.2,70,Hardware,,3.8
232,Mañana,4.3,Básico,33.0,74,Software,4.0,3.5
233,Noche,5.9,Técnico,37.2,65,Cuenta,3.0,2.9
234,Tarde,3.5,Técnico,24.4,77,Hardware,2.0,2.6
235,Mañana,5.6,Universitario,41.8,87,Cuenta,5.0,2.1
236,Tarde,4.6,Básico,25.4,79,Hardware,4.0,4.8
237,Tarde,4.9,Básico,41.6,75,Cuenta,2.0,2.6
238,Tarde,3.2,Básico,29.8,86,Hardware,1.0,1.6
239,Noche,5.6,Técnico,32.2,83,Software,4.0,1.8
240,Noche,6.6,Básico,38.8,80,Cuenta,,3.3
241,Mañana,1.7,Técnico,45.1,78,Hardware,2.0,2.4
242,Mañana,3.6,Universitario,30.4,92,Hardware,3.0,1.6
243,Noche,5.3,Técnico,32.2,83,Hardware,,2.1
244,Tarde,0.3,Técnico,4.2,69,Cuenta,,4.1
245,Mañana,8.5,Universitario,21.3,76,Cuenta,4.0,3.9
246,Noche,3.6,Técnico,14.9,81,Hardware,3.0,1.5
247,Noche,3.1,Básico,25.9,92,Hardware,3.0,0.8
248,Noche,4.6,Técnico,23.3,80,Hardware,3.0,4.6
249,Tarde,5.3,Técnico,22.1,88,Cuenta,3.0,1.7
250,Noche,3.5,Básico,19.7,102,Software,4.0,2.5
251,Noche,7.0,Técnico,35.3,70,Software,3.0,3.0
252,Noche,,Universitario,12.1,93,Hardware,2.0,1.4
253,Noche,3.3,Técnico,19.1,74,Cuenta,4.0,3.3
254,Mañana,4.0,Técnico,30.3,79,Hardware,3.0,1.6
255,Mañana,2.0,Técnico,39.7,69,Hardware,3.0,2.4
256,Noche,2.5,Universitario,20.7,76,Cuenta,4.0,5.1
257,Tarde,5.8,Universitario,40.5,76,Software,3.0,2.7
258,Mañana,3.3,Técnico,2.7,95,Cuenta,,2.9
259,Noche,8.6,Técnico,30.0,83,Hardware,3.0,1.7
260,Mañana,5.1,Universitario,33.1,64,Software,4.0,0.6
261,Mañana,2.3,Técnico,20.1,66,Cuenta,4.0,4.0
262,Tarde,2.7,Básico,16.9,79,Software,3.0,3.9
263,Noche,7.1,Técnico,31.3,76,Cuenta,2.0,3.4
264,Noche,4.8,Técnico,29.6,78,Cuenta,,2.9
265,Tarde,7.0,Básico,21.9,76,Software,3.0,3.2
266,Tarde,4.3,Básico,27.1,94,Software,2.0,4.5
267,Noche,3.9,Básico,24.0,77,Hardware,3.0,3.8
268,Noche,7.2,Técnico,42.5,83,Hardware,5.0,3.8
269,Tarde,3.3,Técnico,36.8,77,Software,2.0,3.1
270,Mañana,6.0,Básico,31.9,91,Hardware,3.0,1.7
271,Mañana,4.6,Universitario,48.9,70,Hardware,3.0,2.3
272,Tarde,6.8,Técnico,40.3,65,Cuenta,1.0,-0.3
273,Mañana,8.6,Básico,42.4,77,Hardware,2.0,2.6
274,Tarde,4.2,Básico,45.8,70,Cuenta,4.0,1.9
275,Mañana,3.9,Técnico,28.4,85,Hardware,,5.0
276,Mañana,6.3,Básico,17.8,73,Software,1.0,3.2
277,Noche,2.8,Básico,12.2,74,Cuenta,5.0,4.9
278,Noche,8.2,Técnico,37.4,84,Hardware,4.0,2.0
279,Mañana,7.9,Técnico,20.3,73,Software,4.0,4.2
280,Mañana,3.0,Universitario,63.3,84,Cuenta,3.0,3.4
281,Noche,1.8,Universitario,21.6,89,Hardware,3.0,4.0
282,Noche,2.7,Universitario,19.9,90,Software,3.0,2.8
283,Noche,2.7,Básico,37.8,68,Cuenta,4.0,2.9
284,Tarde,6.6,Básico,38.0,79,Hardware,,3.6
285,Mañana,8.1,Universitario,48.0,66,Hardware,2.0,3.2
286,Noche,6.6,Técnico,27.5,86,Cuenta,,2.5
287,Mañana,4.5,Universitario,41.6,85,Software,2.0,1.6
288,Tarde,5.7,Básico,28.4,98,Cuenta,5.0,4.5
289,Tarde,3.3,Básico,35.5,82,Software,4.0,1.2
290,Noche,7.2,Básico,27.9,73,Software,4.0,3.4
291,Tarde,5.9,Técnico,49.1,74,Cuenta,5.0,3.1
292,Mañana,6.5,Básico,52.7,81,Software,1.0,0.4
293,Noche,3.5,Técnico,18.1,88,Hardware,4.0,3.2
294,Mañana,4.7,Técnico,42.8,83,Cuenta,,3.0
295,Mañana,6.5,Básico,20.7,72,Software,3.0,3.1
296,Tarde,7.9,Básico,41.6,79,Hardware,3.0,3.5
297,Tarde,3.8,Técnico,46.4,78,Software,2.0,1.5
298,Tarde,6.6,Básico,20.4,77,Cuenta,3.0,3.7
299,Tarde,3.6,Básico,17.8,76,Hardware,4.0,2.2
300,Tarde,9.2,Básico,25.0,75,Software,2.0,2.6
301,Noche,4.2,Técnico,41.7,74,Cuenta,3.0,2.9
302,Mañana,6.3,Universitario,34.8,68,Software,3.0,4.3
303,Mañana,5.3,Básico,27.5,76,Cuenta,5.0,2.9
304,Mañana,10.2,Universitario,37.2,77,Hardware,3.0,2.1
305,Mañana,5.5,Universitario,27.1,80,Cuenta,3.0,4.3
306,Tarde,4.0,Técnico,31.3,89,Hardware,2.0,1.9
307,Mañana,6.3,Básico,35.5,67,Software,3.0,2.5
308,Noche,6.2,Técnico,34.8,81,Software,3.0,4.3
309,Noche,4.7,Técnico,46.9,86,Hardware,5.0,3.6
310,Mañana,2.8,Universitario,18.0,80,Software,3.0,2.3
311,Mañana,3.9,Universitario,39.5,80,Hardware,3.0,2.0
312,Noche,6.8,Técnico,20.6,82,Software,3.0,3.6
313,Noche,1.5,Técnico,26.0,89,Software,5.0,1.7
314,Tarde,4.5,Universitario,28.4,80,Cuenta,3.0,4.3
315,Noche,7.0,Universitario,25.8,67,Cuenta,2.0,3.2
316,Tarde,4.8,Técnico,16.6,85,Cuenta,,2.2
317,Tarde,9.3,Básico,25.5,88,Hardware,3.0,3.6
318,Tarde,1.5,Básico,32.7,79,Cuenta,4.0,5.1
319,Tarde,3.1,Técnico,28.7,89,Cuenta,1.0,3.7
320,Tarde,0.4,Universitario,44.7,77,Cuenta,5.0,2.8
321,Mañana,9.0,Universitario,28.9,76,Software,1.0,3.6
322,Noche,3.1,Universitario,30.1,98,Hardware,,4.9
323,Tarde,1.0,Básico,31.8,94,Cuenta,5.0,4.2
324,Noche,3.8,Universitario,28.7,83,Cuenta,2.0,2.9
325,Noche,2.2,Básico,34.8,78,Cuenta,2.0,3.1
326,Tarde,3.8,Técnico,24.8,91,Software,4.0,3.5
327,Mañana,5.1,Técnico,18.3,86,Hardware,2.0,3.0
328,Tarde,6.6,Básico,29.3,69,Cuenta,5.0,2.4
329,Mañana,4.7,Básico,33.8,90,Cuenta,1.0,4.1
330,Noche,5.1,Básico,31.6,89,Cuenta,4.0,3.5
331,Mañana,3.8,Básico,21.1,91,Software,2.0,4.1
332,Mañana,2.0,Universitario,31.6,77,Software,5.0,1.8
333,Mañana,1.3,Básico,36.8,76,Cuenta,3.0,2.9
334,Noche,4.3,Básico,32.0,85,Software,3.0,2.6
335,Noche,5.2,Básico,22.9,92,Hardware,2.0,2.5
336,Mañana,4.1,Universitario,30.8,86,Cuenta,4.0,2.7
337,Mañana,1.4,Técnico,47.0,65,Hardware,3.0,2.1
338,Tarde,5.4,Básico,19.6,93,Hardware,1.0,4.4
339,Mañana,8.3,Universitario,41.0,76,Hardware,4.0,2.5
340,Tarde,4.8,Técnico,7.6,90,Software,2.0,2.6
341,Mañana,3.8,Técnico,24.5,68,Software,3.0,3.1
342,Tarde,4.9,Universitario,25.7,87,Hardware,3.0,4.1
343,Noche,2.8,Básico,40.8,83,Software,2.0,1.1
344,Mañana,2.7,Universitario,47.7,83,Software,2.0,3.5
345,Mañana,5.9,Técnico,41.1,70,Cuenta,3.0,2.1
346,Mañana,7.0,Técnico,35.1,83,Cuenta,3.0,1.9
347,Mañana,4.7,Básico,40.6,86,Cuenta,,2.3
348,Tarde,1.1,Universitario,16.5,91,Cuenta,4.0,2.2
349,Mañana,5.7,Técnico,38.9,79,Hardware,,3.4
350,Noche,9.1,Básico,19.0,88,Software,1.0,0.7
351,Noche,4.5,Básico,22.6,87,Hardware,1.0,2.1
352,Mañana,4.6,Técnico,34.0,85,Cuenta,1.0,4.1
353,Noche,3.3,Universitario,17.6,85,Cuenta,5.0,4.2
354,Mañana,6.0,Universitario,42.3,84,Software,5.0,2.5
355,Mañana,3.7,Técnico,30.0,69,Software,3.0,1.9
356,Noche,7.0,Técnico,17.0,72,Software,3.0,2.3
357,Mañana,,Básico,45.1,69,Cuenta,3.0,3.3
358,Noche,5.7,Técnico,27.4,75,Software,,3.7
359,Tarde,4.9,Universitario,28.4,82,Software,2.0,3.1
360,Mañana,8.1,Técnico,27.8,84,Cuenta,4.0,3.4
361,Tarde,5.8,Básico,0.8,65,Hardware,2.0,3.5
362,Noche,7.8,Básico,42.6,76,Hardware,2.0,3.0
363,Tarde,5.2,Básico,30.3,80,Cuenta,3.0,3.3
364,Tarde,4.7,Técnico,31.5,79,Hardware,3.0,5.4
365,Noche,4.9,Universitario,36.8,67,Cuenta,3.0,2.4
366,Tarde,3.5,Básico,27.1,78,Hardware,2.0,1.6
367,Tarde,6.1,Técnico,18.8,72,Software,4.0,4.9
368,Noche,3.6,Técnico,20.7,80,Hardware,4.0,4.8
369,Tarde,5.2,Universitario,38.7,65,Cuenta,4.0,4.9
370,Noche,6.7,Técnico,29.9,84,Cuenta,2.0,2.6
371,Tarde,8.2,Básico,40.1,81,Hardware,2.0,3.8
372,Noche,5.3,Básico,41.8,82,Cuenta,,3.6
373,Noche,6.7,Técnico,38.9,68,Hardware,3.0,1.2
374,Tarde,6.5,Universitario,42.6,64,Cuenta,3.0,2.5
375,Tarde,4.2,Básico,22.9,96,Software,5.0,2.3
376,Tarde,9.2,Técnico,36.0,90,Hardware,2.0,2.5
377,Mañana,3.8,Técnico,25.3,95,Hardware,5.0,3.8
378,Mañana,5.2,Técnico,19.1,77,Software,3.0,2.2
379,Mañana,7.9,Básico,34.6,91,Cuenta,4.0,2.7
380,Noche,7.9,Universitario,37.5,91,Hardware,3.0,3.7
381,Tarde,5.0,Técnico,26.6,79,Software,,2.0
382,Noche,7.0,Universitario,30.5,90,Cuenta,2.0,2.0
383,Mañana,4.6,Técnico,37.0,70,Software,2.0,2.4
384,Tarde,4.0,Universitario,23.9,73,Software,2.0,3.0
385,Noche,2.6,Técnico,38.1,84,Hardware,2.0,3.8
386,Tarde,6.4,Técnico,20.9,89,Cuenta,3.0,3.1
387,Noche,6.7,Técnico,34.1,75,Hardware,2.0,0.5
388,Tarde,3.9,Técnico,17.9,84,Cuenta,1.0,2.8
389,Mañana,5.5,Básico,43.5,69,Cuenta,3.0,3.1
390,Mañana,10.3,Universitario,36.8,69,Software,3.0,2.4
391,Tarde,7.3,Universitario,50.1,72,Software,3.0,2.9
392,Noche,3.2,Técnico,20.7,68,Hardware,2.0,1.9
393,Mañana,7.0,Técnico,36.7,63,Cuenta,2.0,1.9
394,Mañana,3.2,Básico,29.8,82,Software,5.0,2.1
395,Mañana,-0.8,Universitario,15.3,79,Cuenta,3.0,2.6
396,Tarde,5.0,Técnico,31.1,87,Software,,2.3
397,Tarde,8.1,Técnico,35.7,69,Software,3.0,3.9
398,Noche,7.8,Universitario,49.7,82,Hardware,4.0,3.6
399,Noche,5.8,Técnico,25.0,94,Cuenta,3.0,3.9
400,Noche,3.9,Universitario,34.7,63,Software,2.0,3.1
401,Tarde,6.0,Técnico,33.1,90,Cuenta,3.0,2.4
402,Tarde,4.5,Universitario,28.3,81,Cuenta,3.0,2.8
403,Noche,4.0,Técnico,29.0,81,Cuenta,3.0,2.9
404,Noche,7.1,Técnico,37.5,72,Software,3.0,3.6
405,Tarde,3.9,Universitario,29.0,75,Cuenta,2.0,2.6
406,Noche,7.3,Técnico,27.6,96,Hardware,3.0,2.8
407,Mañana,3.8,Técnico,24.9,75,Hardware,,2.5
408,Tarde,9.1,Básico,15.0,83,Software,3.0,3.6
409,Noche,1.7,Básico,39.3,72,Hardware,3.0,5.2
410,Tarde,3.1,Universitario,24.8,77,Hardware,2.0,3.9
