Student_ID,Hours_Studied,Attendance_Rate,Assignments_Completed,Midterm_Score,Final_Score,Project_Score,Participation_Score,Study_Method
67,27,83,0,95,79,75,7,Reading/Writing
68,22,61,0,42,45,12,6,Auditory
69,3,97,3,57,62,96,7,Reading/Writing
70,3,81,8,99,81,97,6,Kinesthetic
71,11,54,10,11,69,63,3,Reading/Writing
72,21,64,10,50,25,51,10,Auditory
73,25,97,2,2,28,87,0,Kinesthetic
74,39,54,5,92,54,4,10,Reading/Writing
75,34,57,4,80,97,80,0,Auditory
76,3,92,9,61,5,89,6,Kinesthetic
77,11,93,1,34,87,21,4,Kinesthetic
78,3,50,5,38,40,50,6,Kinesthetic
79,30,92,5,91,69,88,3,Reading/Writing
80,6,61,2,0,30,9,8,Visual
81,9,66,3,34,71,90,6,Reading/Writing
82,23,94,9,71,90,29,0,Auditory
83,14,50,2,70,25,26,1,Reading/Writing
84,38,64,10,84,54,62,1,Auditory
85,19,51,2,13,21,5,2,Reading/Writing
86,6,71,10,52,29,74,7,Auditory
87,12,76,7,59,47,43,2,Reading/Writing
88,27,67,3,51,44,23,3,Kinesthetic
89,38,89,0,54,60,81,1,Auditory
90,17,100,8,61,95,46,1,Auditory
91,10,68,0,56,3,56,8,Kinesthetic
92,35,98,5,38,23,17,7,Auditory
93,35,73,6,98,64,36,1,Reading/Writing
94,1,56,4,11,26,63,7,Kinesthetic
95,-3,70,10,70,25,83,10,Reading/Writing
96,5,96,3,54,89,19,8,Auditory
97,40,80,0,64,33,83,6,Kinesthetic
98,22,77,4,90,87,83,2,Visual
99,15,60,7,85,46,50,9,Auditory
100,40,84,7,58,21,40,9,Kinesthetic
101,25,100,1,81,77,2,10,Auditory
102,0,95,1,87,45,21,4,Auditory
103,35,68,10,33,31,27,10,Reading/Writing
104,29,76,4,36,27,74,8,Auditory
105,1,98,10,64,37,90,0,Visual
106,19,60,1,11,61,55,0,Auditory
107,4,93,9,56,40,45,2,Reading/Writing
108,30,75,1,92,14,95,0,Visual
109,7,64,4,92,2,87,6,Visual
110,29,60,2,89,90,76,10,Auditory
111,38,69,9,67,62,58,0,Auditory
112,1,62,5,35,34,53,7,Auditory
113,12,115,8,18,23,35,4,Reading/Writing
114,3,65,9,27,59,44,2,Auditory
115,7,93,7,58,57,45,5,Reading/Writing
116,38,54,3,13,19,85,2,Auditory
117,24,67,8,70,95,79,10,Reading/Writing
118,6,71,3,44,29,0,2,Reading/Writing
119,13,84,9,40,77,95,7,Reading/Writing
120,28,65,2,96,95,25,2,Reading/Writing
121,20,82,2,92,7,47,5,Reading/Writing
122,36,71,5,17,65,38,8,Auditory
123,32,69,10,59,4,22,6,Visual
124,40,90,2,47,81,10,2,Auditory
125,24,59,4,22,71,38,5,Auditory
126,13,54,1,85,71,57,10,Auditory
127,8,64,8,43,19,25,9,Auditory
128,14,75,3,85,54,59,9,Auditory
129,6,72,10,75,91,9,5,Auditory
130,1,100,7,92,49,71,6,Auditory
131,30,86,0,3,87,39,5,Visual
132,6,57,3,5,21,7,2,Reading/Writing
133,40,58,7,62,14,38,1,Auditory
134,10,64,3,56,33,29,10,Auditory
135,12,70,10,93,83,34,8,Reading/Writing
136,12,77,2,3,1,90,1,Auditory
137,25,51,7,13,95,63,4,Visual
138,7,91,10,89,93,16,9,Reading/Writing
139,13,55,9,40,71,22,6,Auditory
140,1,86,1,19,14,67,3,Auditory
141,14,95,8,37,13,12,7,Kinesthetic
142,23,56,3,1,88,17,5,Kinesthetic
143,33,67,8,99,51,16,2,Visual
144,3,88,3,33,2,81,7,Reading/Writing
145,17,52,5,91,46,62,4,Reading/Writing
146,24,68,5,57,72,78,9,Auditory
147,23,98,10,59,8,72,6,Reading/Writing
148,5,80,2,61,23,6,1,Kinesthetic
149,33,58,6,98,81,13,7,Visual
150,37,72,9,9,5,44,5,Kinesthetic
151,2,66,8,83,4,73,2,Kinesthetic
152,18,63,5,59,67,5,8,Visual
153,35,79,3,82,83,26,4,Auditory
154,18,97,5,67,72,83,5,Kinesthetic
155,27,53,3,53,81,34,8,Auditory
156,9,68,5,58,54,80,0,Auditory
157,17,68,10,58,91,48,4,Auditory
158,3,80,9,13,4,86,10,Reading/Writing
159,11,88,10,52,74,55,5,Auditory
160,26,68,5,48,11,24,3,Kinesthetic
161,28,64,1,74,7,38,9,Reading/Writing
162,11,66,1,96,41,85,8,Visual
163,10,94,3,72,32,77,1,Kinesthetic
164,3,65,0,21,15,45,10,Visual
165,23,95,3,47,35,16,4,Reading/Writing
166,25,86,8,49,6,6,10,Kinesthetic
167,27,63,8,97,55,0,3,Reading/Writing
168,3,53,7,25,72,58,8,Kinesthetic
169,35,67,6,12,78,80,1,Visual
170,14,66,10,29,55,56,3,Reading/Writing
171,21,81,1,89,24,11,10,Kinesthetic
172,23,55,4,97,40,69,8,Kinesthetic
173,23,54,5,85,84,11,3,Reading/Writing
174,36,89,4,48,23,98,2,Kinesthetic
175,4,54,8,23,85,10,3,Reading/Writing
176,5,70,10,95,97,64,3,Auditory
177,9,61,9,50,59,47,5,Reading/Writing
178,2,76,10,13,90,95,6,Auditory
179,37,82,10,16,26,26,1,Reading/Writing
180,33,65,10,22,75,42,7,Reading/Writing
181,5,76,9,59,4,15,4,Reading/Writing
182,9,59,5,82,72,23,4,Kinesthetic
183,15,64,9,26,87,85,5,Auditory
184,28,57,9,96,58,47,5,Visual
185,2,56,0,60,55,73,7,Reading/Writing
186,10,76,3,19,83,37,0,Reading/Writing
187,36,72,8,15,3,63,7,Auditory
188,3,72,4,81,31,12,8,Kinesthetic
189,3,58,4,18,71,8,3,Reading/Writing
190,23,70,5,71,23,28,0,Auditory
191,27,73,2,59,47,38,3,Auditory
192,34,67,6,35,95,8,0,Reading/Writing
193,37,67,5,35,0,65,9,Kinesthetic
194,23,98,9,63,17,30,2,Reading/Writing
195,21,55,10,44,53,94,4,Visual
196,25,69,0,57,68,71,6,Reading/Writing
197,17,92,10,64,21,87,10,Visual
198,2,88,1,58,74,45,1,Kinesthetic
199,10,57,6,79,41,67,3,Kinesthetic
200,8,91,1,30,61,60,8,Reading/Writing
201,32,55,3,46,40,18,5,Visual
202,25,55,6,21,5,64,9,Auditory
203,35,56,2,64,22,15,5,Visual
204,3,60,10,21,91,87,10,Auditory
205,1,97,4,40,100,58,0,Visual
206,7,75,10,55,17,31,2,Visual
207,6,69,6,58,14,5,3,Auditory
208,35,73,9,58,12,94,5,Reading/Writing
209,33,57,3,97,50,43,0,Kinesthetic
210,39,81,4,33,21,74,10,Kinesthetic
211,18,58,8,38,69,44,8,Kinesthetic
212,28,72,2,59,0,74,1,Reading/Writing
213,38,62,5,16,23,61,8,Auditory
214,5,54,0,46,17,75,3,Kinesthetic
215,9,63,0,62,80,14,8,Kinesthetic
216,40,94,9,53,23,46,9,Auditory
217,4,99,7,37,56,19,10,Visual
218,23,73,6,6,92,39,2,Visual
219,40,51,8,33,68,27,2,Reading/Writing
220,21,52,4,23,64,30,10,Reading/Writing
221,25,97,4,27,29,47,4,Visual
222,36,91,4,45,0,97,3,Kinesthetic
223,28,62,8,20,76,20,5,Reading/Writing
224,35,97,4,47,6,53,9,Kinesthetic
225,19,64,3,6,32,76,10,Kinesthetic
226,17,82,8,25,3,44,0,Auditory
227,39,56,7,7,22,54,0,Auditory
228,40,92,8,89,98,26,2,Auditory
229,14,64,10,100,56,26,7,Visual
230,14,60,10,11,55,89,0,Auditory
231,23,80,8,13,32,15,2,Visual
232,28,52,1,7,97,64,7,Visual
233,16,60,5,42,81,92,5,Auditory
234,24,52,8,49,18,87,8,Visual
235,15,75,6,56,93,34,9,Visual
236,16,64,0,46,43,58,2,Auditory
237,20,79,9,7,80,6,1,Auditory
238,26,84,2,90,15,49,1,Visual
239,4,79,7,96,98,74,7,Visual
240,21,50,9,90,4,45,6,Visual
241,32,73,7,71,25,15,10,Auditory
242,39,60,2,25,77,19,5,Reading/Writing
243,1,57,3,32,64,99,10,Kinesthetic
244,34,90,0,57,41,9,1,Visual
245,18,58,10,87,81,44,5,Auditory
246,39,81,4,49,11,67,10,Reading/Writing
247,26,88,10,90,50,48,6,Auditory
248,39,98,3,93,97,18,7,Visual
249,35,100,10,82,12,31,4,Visual
250,38,64,3,50,34,27,0,Kinesthetic
251,-6,52,9,100,88,38,10,Auditory
252,40,61,4,17,57,77,0,Kinesthetic
253,17,65,6,30,73,43,8,Visual
254,22,53,1,41,60,86,1,Auditory
255,25,89,9,40,49,27,6,Auditory
256,10,86,3,80,52,78,2,Kinesthetic
257,0,80,3,83,63,48,7,Kinesthetic
258,35,86,4,36,14,11,1,Auditory
259,19,56,0,38,74,47,5,Reading/Writing
260,30,91,2,65,88,66,6,Auditory
261,7,68,10,84,32,84,10,Visual
262,39,62,4,77,3,77,1,Auditory
263,23,100,8,1,51,96,0,Auditory
264,19,100,1,73,17,89,1,Auditory
265,14,55,6,60,56,66,8,Reading/Writing
266,29,71,3,44,51,18,8,Kinesthetic
267,19,81,6,88,65,84,10,Visual
268,37,83,0,66,80,33,9,Auditory
269,1,75,8,66,73,18,10,Auditory
270,5,100,8,32,89,99,5,Kinesthetic
271,17,66,10,65,65,26,3,Kinesthetic
272,35,99,3,37,63,65,3,Kinesthetic
273,13,59,4,42,15,100,10,Visual
274,25,92,1,61,16,71,6,Kinesthetic
275,33,85,10,75,61,88,2,Auditory
276,29,75,10,91,21,15,2,Reading/Writing
277,6,62,9,79,31,26,5,Auditory
278,29,79,2,43,32,50,9,Reading/Writing
279,17,63,3,26,16,89,6,Kinesthetic
280,21,60,4,22,12,74,7,Reading/Writing
281,16,67,2,35,23,42,10,Reading/Writing
282,30,71,0,29,77,54,0,Auditory
283,16,72,0,13,24,81,8,Kinesthetic
284,30,86,10,63,51,27,3,Auditory
285,12,56,1,16,71,32,5,Visual
286,26,51,10,33,35,99,10,Kinesthetic
287,19,74,2,68,12,38,4,Reading/Writing
288,16,88,9,89,10,14,7,Kinesthetic
289,28,73,7,18,34,47,2,Kinesthetic
290,38,92,4,38,41,46,2,Visual
291,34,103,6,34,35,56,2,Auditory
292,7,100,6,75,51,79,4,Reading/Writing
293,37,117,4,68,22,60,1,Reading/Writing
294,14,100,10,59,60,94,5,Reading/Writing
295,0,73,5,36,0,54,6,Visual
296,32,72,6,9,7,39,7,Reading/Writing
297,2,84,4,33,76,94,1,Auditory
298,38,71,7,40,57,100,10,Auditory
299,37,58,0,1,76,39,7,Auditory
300,14,64,1,72,82,15,4,Reading/Writing
301,17,89,1,7,2,93,7,Kinesthetic
302,37,71,5,21,5,88,9,Visual
303,30,59,9,56,76,95,4,Visual
304,19,92,1,13,7,69,8,Reading/Writing
305,6,97,5,40,9,34,2,Kinesthetic
306,36,99,5,29,44,45,3,Visual
307,26,54,2,69,18,90,10,Kinesthetic
308,7,59,8,66,40,64,8,Visual
309,13,84,4,4,21,30,10,Visual
310,14,70,1,59,18,64,3,Kinesthetic
311,6,60,7,2,32,58,0,Auditory
312,32,89,3,54,20,55,4,Auditory
313,33,52,10,52,11,57,0,Visual
314,3,72,6,54,56,100,4,Reading/Writing
315,0,99,10,63,58,44,5,Visual
316,40,94,3,52,32,18,5,Reading/Writing
317,13,99,0,35,37,18,5,Kinesthetic
318,30,88,10,61,26,50,7,Visual
319,37,76,6,94,18,100,6,Kinesthetic
320,19,72,0,100,9,73,7,Auditory
321,2,99,3,33,84,2,4,Visual
322,34,92,8,11,11,48,3,Kinesthetic
323,32,58,6,36,19,38,4,Visual
324,14,53,1,26,61,25,0,Kinesthetic
325,2,96,10,12,96,28,2,Kinesthetic
326,27,58,3,33,28,21,2,Visual
327,26,58,8,70,41,94,7,Kinesthetic
328,32,63,3,48,56,59,3,Kinesthetic
329,18,63,8,94,43,31,0,Auditory
330,32,95,7,48,68,76,5,Kinesthetic
331,30,92,5,31,6,59,1,Reading/Writing
332,3,88,6,43,76,16,1,Kinesthetic
333,31,76,3,63,63,87,10,Reading/Writing
334,27,68,0,5,31,7,6,Visual
335,15,80,9,64,11,72,8,Visual
336,27,95,9,77,30,65,9,Auditory
337,14,51,2,100,20,8,7,Visual
338,21,57,7,55,58,92,4,Reading/Writing
339,30,55,10,45,97,41,6,Kinesthetic
340,20,99,10,6,56,73,5,Visual
341,31,88,3,90,12,52,4,Visual
342,6,62,7,41,60,5,5,Reading/Writing
343,32,69,8,50,36,66,3,Auditory
344,7,76,8,73,97,0,0,Auditory
345,13,93,5,51,77,32,5,Kinesthetic
346,24,60,9,0,69,25,6,Auditory
347,31,68,2,54,87,98,3,Reading/Writing
348,27,51,3,81,53,73,7,Reading/Writing
349,1,50,5,58,17,92,8,Auditory
350,16,56,9,82,25,23,4,Reading/Writing
351,26,94,9,36,29,23,1,Kinesthetic
352,1,72,10,28,39,51,2,Auditory
353,7,87,9,5,50,97,10,Kinesthetic
354,37,70,8,74,76,95,4,Visual
355,19,80,10,70,43,27,9,Visual
356,36,73,4,38,79,28,9,Visual
357,20,99,9,2,96,6,10,Reading/Writing
358,25,73,0,96,63,32,7,Kinesthetic
359,30,69,4,94,94,74,10,Visual
360,19,87,0,16,52,63,6,Kinesthetic
361,5,82,3,36,9,62,5,Kinesthetic
362,14,64,1,79,86,27,10,Kinesthetic
363,0,62,10,22,92,0,8,Kinesthetic
364,25,100,6,62,42,37,0,Reading/Writing
365,28,91,0,85,20,46,3,Visual
366,1,73,0,64,78,58,4,Auditory
367,21,51,2,18,82,70,7,Visual
368,-10,95,6,70,11,35,5,Reading/Writing
369,8,65,10,96,15,48,9,Kinesthetic
370,40,56,2,1,25,68,10,Reading/Writing
371,20,93,4,20,65,52,0,Visual
372,31,66,7,90,43,36,5,Visual
373,31,57,8,12,22,55,9,Visual
374,39,50,2,95,64,31,8,Auditory
375,25,83,10,95,52,63,10,Kinesthetic
376,12,50,6,54,33,21,0,Kinesthetic
377,2,75,1,0,45,26,2,Auditory
378,31,99,6,92,49,39,5,Reading/Writing
379,32,91,8,1,20,52,9,Auditory
380,32,69,2,50,60,40,8,Kinesthetic
381,12,73,6,38,27,50,5,Reading/Writing
382,5,67,6,55,39,38,9,Auditory
383,3,53,4,93,69,92,4,Reading/Writing
384,64,92,0,89,69,56,8,Kinesthetic
385,5,96,5,26,44,65,9,Reading/Writing
386,98,67,3,75,33,35,3,Visual
387,26,96,0,66,12,81,3,Auditory
388,39,94,9,7,7,19,0,Auditory
389,19,51,8,83,90,26,6,Kinesthetic
390,17,80,2,66,70,36,0,Kinesthetic
391,19,67,5,96,53,0,0,Visual
392,29,66,9,9,88,15,0,Visual
393,9,99,10,8,8,52,3,Kinesthetic
394,22,76,5,86,44,90,1,Kinesthetic
395,2,79,6,44,73,42,2,Kinesthetic
396,8,27,0,58,38,65,9,Reading/Writing
397,18,58,0,78,93,58,9,Kinesthetic
398,35,97,5,20,80,6,1,Auditory
399,39,62,9,79,100,82,4,Auditory
400,26,93,7,5,92,88,5,Kinesthetic
401,27,55,6,65,71,100,1,Visual
402,7,71,1,63,29,75,1,Kinesthetic
403,7,50,8,68,57,32,9,Visual
404,17,71,7,58,8,92,10,Visual
405,20,98,7,34,57,6,5,Kinesthetic
406,12,60,2,21,45,62,8,Visual
407,26,50,9,52,47,58,7,Auditory
408,39,58,5,57,53,78,10,Visual
409,15,90,8,95,22,6,2,Visual
410,39,69,4,14,100,74,5,Reading/Writing
411,8,98,2,72,92,22,6,Kinesthetic
412,26,99,1,37,37,29,3,Auditory
413,16,62,4,91,38,28,6,Auditory
414,2,59,9,73,30,75,6,Auditory
415,3,93,5,2,44,77,10,Kinesthetic
416,39,98,3,32,54,56,8,Reading/Writing
417,0,57,4,44,70,49,8,Visual
418,13,99,0,74,32,45,6,Visual
419,7,90,5,27,93,4,1,Reading/Writing
420,6,73,1,71,83,24,3,Auditory
421,29,82,10,7,73,6,4,Visual
422,24,88,1,41,76,34,7,Reading/Writing
423,38,73,10,83,21,76,9,Reading/Writing
424,15,89,5,25,19,24,2,Kinesthetic
425,10,69,6,75,11,52,10,Auditory
426,24,93,6,40,1,41,7,Auditory
427,32,57,0,58,93,44,2,Visual
428,20,95,4,51,45,95,2,Auditory
429,9,80,3,87,23,57,5,Auditory
430,8,61,8,73,75,42,2,Visual
431,0,98,5,2,46,22,8,Kinesthetic
432,33,96,1,1,14,47,1,Auditory
433,30,61,6,25,22,92,0,Visual
434,20,68,0,91,57,19,0,Reading/Writing
435,23,89,3,98,95,69,10,Auditory
436,18,99,8,84,69,4,1,Reading/Writing
437,20,71,10,45,27,4,7,Visual
438,24,81,0,29,8,79,2,Kinesthetic
439,19,78,8,11,82,65,3,Visual
440,25,62,8,46,99,78,7,Visual
441,6,73,0,55,43,54,9,Kinesthetic
442,2,80,9,40,74,88,4,Auditory
443,39,78,0,53,38,6,4,Auditory
444,7,56,0,74,99,66,0,Auditory
445,29,60,1,34,62,99,9,Auditory
446,10,71,8,9,47,8,0,Auditory
447,7,55,2,1,100,26,10,Reading/Writing
448,36,86,4,97,67,75,7,Auditory
449,16,58,6,63,24,52,10,Kinesthetic
450,7,97,7,89,48,34,5,Auditory
451,29,98,1,65,24,75,10,Kinesthetic
452,15,64,10,69,68,66,3,Visual
453,3,96,6,64,72,17,4,Visual
454,20,95,9,77,85,92,1,Auditory
455,33,92,0,100,10,93,9,Reading/Writing
456,39,55,6,43,79,61,5,Visual
457,34,64,8,60,24,86,6,Kinesthetic
458,12,95,6,55,15,31,6,Visual
459,26,83,7,63,83,22,5,Visual
460,7,94,1,40,19,90,7,Kinesthetic
461,40,73,10,61,39,14,9,Reading/Writing
462,28,78,4,10,7,95,8,Kinesthetic
463,15,96,2,100,53,24,8,Visual
464,4,83,5,75,97,94,1,Auditory
465,36,55,8,25,32,62,0,Reading/Writing
466,39,92,1,94,99,43,4,Kinesthetic
467,39,66,9,68,10,96,2,Visual
468,9,90,3,93,86,4,3,Kinesthetic
469,14,81,6,94,3,46,6,Reading/Writing
470,20,81,6,71,79,55,5,Visual
471,33,61,0,75,87,48,4,Reading/Writing
472,21,95,0,26,78,40,1,Visual
473,21,74,0,28,4,2,8,Visual
474,8,81,9,93,88,84,5,Kinesthetic
475,25,65,4,15,54,3,7,Reading/Writing
476,12,65,8,4,64,65,0,Auditory
477,17,65,9,100,16,23,6,Kinesthetic
478,0,79,3,90,20,16,9,Kinesthetic
479,22,87,6,37,75,25,7,Visual
480,32,84,8,54,28,48,1,Kinesthetic
481,98,70,10,7,14,90,8,Visual
482,20,81,5,32,53,45,5,Visual
483,22,82,1,74,49,67,1,Auditory
484,15,98,0,65,81,8,4,Kinesthetic
485,26,84,5,14,11,39,8,Kinesthetic
486,36,95,5,67,16,69,0,Kinesthetic
487,37,72,10,71,83,81,1,Auditory
488,13,91,7,96,79,0,7,Visual
489,36,60,3,5,59,76,6,Reading/Writing
490,6,87,4,35,0,56,10,Auditory
491,11,51,10,91,94,39,2,Visual
492,27,59,0,74,68,98,6,Reading/Writing
493,2,98,9,46,78,21,9,Reading/Writing
494,21,78,8,19,32,35,3,Auditory
495,20,51,9,38,56,1,5,Auditory
496,28,50,2,73,30,8,3,Auditory
497,19,89,1,66,73,65,2,Visual
498,2,95,8,66,76,50,6,Kinesthetic
499,26,86,0,34,47,88,10,Kinesthetic
500,20,54,10,13,8,20,10,Kinesthetic
501,40,57,6,41,97,13,5,Reading/Writing
502,32,93,6,26,53,86,2,Reading/Writing
503,29,98,1,10,69,90,2,Visual
504,38,51,3,71,98,51,7,Auditory
505,40,81,6,58,26,35,4,Visual
506,8,92,0,48,35,48,3,Reading/Writing
507,37,55,8,38,100,50,0,Visual
508,22,98,6,39,43,25,4,Kinesthetic
509,22,72,10,44,50,75,4,Visual
510,0,58,6,7,55,16,5,Kinesthetic
511,20,50,1,18,21,29,1,Reading/Writing
512,31,72,2,39,67,95,8,Reading/Writing
513,25,84,9,53,37,24,10,Kinesthetic
514,32,76,4,54,64,90,7,Visual
515,8,96,0,83,60,44,9,Kinesthetic
516,16,52,5,9,0,77,0,Kinesthetic
517,5,77,1,42,21,80,7,Visual
518,6,87,0,48,15,34,3,Visual
519,6,63,5,49,69,92,7,Kinesthetic
520,36,74,8,40,77,71,1,Visual
521,4,98,4,22,94,19,7,Reading/Writing
522,32,72,0,61,30,37,9,Visual
523,9,83,10,5,27,83,2,Auditory
524,16,100,8,68,78,87,9,Visual
525,39,56,1,9,95,26,8,Kinesthetic
526,27,72,0,42,41,10,3,Auditory
527,21,82,3,89,85,30,4,Visual
528,20,77,4,89,38,51,10,Kinesthetic
529,31,69,0,0,0,40,4,Kinesthetic
530,31,86,6,92,22,81,1,Reading/Writing
531,35,51,8,79,30,16,10,Visual
532,30,80,1,97,0,87,3,Kinesthetic
533,5,84,3,65,14,73,4,Auditory
534,20,73,9,24,85,94,1,Reading/Writing
535,34,98,8,1,73,46,6,Visual
536,13,53,2,4,19,52,10,Visual
537,22,54,7,54,32,1,9,Kinesthetic
538,23,66,2,79,5,77,0,Visual
539,29,73,4,42,75,82,9,Visual
540,9,59,6,42,97,68,5,Reading/Writing
541,4,100,9,84,43,63,1,Auditory
542,29,63,8,57,2,23,5,Kinesthetic
543,6,66,10,58,60,17,2,Visual
544,5,68,4,91,87,96,8,Visual
545,7,74,9,9,97,60,10,Visual
546,25,92,5,25,33,57,5,Reading/Writing
547,17,62,6,84,11,58,5,Visual
548,35,58,3,69,59,66,1,Auditory
549,25,54,10,84,77,67,5,Auditory
550,35,91,0,28,81,43,4,Auditory
551,40,66,5,26,35,75,3,Reading/Writing
552,3,52,3,27,19,11,7,Kinesthetic
553,12,61,1,97,42,33,9,Reading/Writing
554,23,91,7,57,47,85,6,Visual
555,30,95,3,25,0,20,8,Kinesthetic
556,21,93,0,73,88,63,0,Visual
557,39,69,7,2,2,63,0,Reading/Writing
558,17,87,1,35,16,49,1,Visual
559,33,71,3,63,2,94,3,Kinesthetic
560,22,91,10,86,94,78,1,Kinesthetic
561,38,64,5,54,84,11,3,Reading/Writing
562,36,89,8,30,15,89,9,Auditory
563,0,56,6,4,26,4,8,Auditory
564,19,54,0,7,18,0,2,Visual
565,24,50,3,75,39,28,0,Kinesthetic
566,5,65,1,84,42,40,6,Kinesthetic
567,29,59,8,58,26,96,1,Kinesthetic
568,19,89,6,41,16,3,9,Reading/Writing
569,85,50,6,70,43,9,8,Auditory
570,17,84,5,38,20,43,7,Auditory
571,39,63,5,45,41,76,0,Kinesthetic
572,2,83,6,40,27,82,0,Visual
573,35,96,8,64,28,61,1,Auditory
574,5,93,10,14,67,11,5,Visual
575,37,65,1,95,81,4,1,Kinesthetic
576,0,95,6,91,40,26,10,Kinesthetic
577,18,60,3,16,48,52,7,Kinesthetic
578,37,71,6,44,50,70,0,Visual
579,27,75,10,22,6,77,0,Auditory
580,8,57,2,14,40,82,6,Kinesthetic
581,9,95,4,46,11,26,0,Visual
582,23,57,1,53,16,21,1,Auditory
583,25,56,0,87,46,75,10,Auditory
584,7,88,3,59,58,54,7,Visual
585,4,89,6,94,88,56,7,Kinesthetic
586,12,51,8,83,53,46,2,Reading/Writing
587,21,78,1,38,92,10,6,Reading/Writing
588,33,74,10,6,99,89,5,Kinesthetic
589,24,68,10,55,34,77,2,Kinesthetic
590,22,86,2,40,45,62,1,Kinesthetic
591,40,97,8,76,83,82,5,Auditory
592,20,65,1,35,42,76,8,Auditory
593,2,53,2,92,88,63,7,Visual
594,7,75,3,50,82,94,0,Kinesthetic
595,38,50,0,6,51,23,2,Reading/Writing
596,38,77,8,29,60,43,5,Kinesthetic
597,21,74,7,94,99,37,7,Auditory
598,10,82,6,49,52,3,5,Kinesthetic
599,22,55,2,58,88,44,3,Reading/Writing
600,15,71,5,35,54,33,7,Auditory
601,27,73,6,38,66,60,9,Reading/Writing
602,34,54,8,32,33,71,6,Reading/Writing
603,28,70,3,15,56,20,5,Visual
604,37,97,5,27,39,66,10,Visual
605,5,96,6,19,32,77,1,Visual
606,13,96,1,29,6,20,0,Kinesthetic
607,28,75,8,56,75,56,10,Visual
608,27,92,4,92,72,37,4,Reading/Writing
609,9,94,7,51,26,89,4,Reading/Writing
610,3,78,4,0,4,33,10,Reading/Writing
611,23,91,7,94,49,51,6,Reading/Writing
612,1,67,10,79,15,52,4,Reading/Writing
613,28,79,5,19,30,71,8,Reading/Writing
614,24,98,6,38,14,16,6,Auditory
615,30,84,1,79,44,46,6,Visual
616,14,69,0,11,94,80,7,Kinesthetic
617,37,82,7,66,70,20,3,Reading/Writing
618,32,55,3,25,85,31,10,Reading/Writing
619,7,51,2,7,24,79,10,Reading/Writing
620,39,70,1,76,62,57,0,Reading/Writing
621,15,72,7,69,27,14,9,Kinesthetic
622,37,68,4,90,70,27,5,Reading/Writing
