Tienda,Fecha,Producto,Precio Unitario (€),Cantidad Vendida,Costo Producción (€),Gasto Publicidad (€),Descuento Aplicado (%),Ingresos Totales (€),Ganancia Bruta (€)
5,2023-02-07,Tablet,438.9,6,269.93,155,1,2607.06,987.49
1,2023-02-08,Auriculares,165.08,5,67.78,296,17,685.08,346.19
2,2023-02-09,Laptop,965.43,2,707.07,353,6,1815.01,400.87
4,2023-02-10,Auriculares,143.06,8,61.99,392,16,961.36,465.42
1,2023-02-11,Laptop,946.01,9,725.43,496,5,8088.38,1559.48
4,2023-02-12,Auriculares,203.69,7,47.0,87,9,1297.5,968.49
2,2023-02-13,Smartphone,560.68,9,377.69,357,6,4743.39,1344.17
2,2023-02-14,Smartphone,634.53,4,426.02,392,3,2461.98,757.89
1,2023-02-15,Cámara,445.64,7,289.4,95,10,2807.52,781.69
2,2023-02-16,Auriculares,92.4,5,36.19,259,15,392.68,211.71
5,2023-02-17,Tablet,477.29,5,214.08,142,16,2004.6,934.22
2,2023-02-18,Cámara,459.11,3,311.43,269,5,1308.48,374.2
4,2023-02-19,Smartphone,710.21,9,367.57,305,19,5177.43,1869.29
4,2023-02-20,Auriculares,99.74,5,34.99,186,18,408.92,233.94
4,2023-02-21,Cámara,548.79,6,311.76,280,19,2667.1,796.51
4,2023-02-22,Auriculares,120.15,3,64.44,355,17,299.17,105.85
5,2023-02-23,Smartphone,622.85,7,386.97,251,14,3749.57,1040.81
3,2023-02-24,Cámara,428.69,9,297.32,115,1,3819.67,1143.81
1,2023-02-25,Smartphone,576.36,9,382.55,87,18,4253.52,810.58
4,2023-02-26,Laptop,1059.8,5,689.03,204,5,5034.04,1588.88
2,2023-02-27,Smartphone,582.78,7,405.32,154,11,3630.74,793.47
4,2023-02-28,Auriculares,106.94,3,39.97,304,0,320.82,200.92
2,2023-03-01,Tablet,322.63,6,245.12,453,10,1742.2,271.5
2,2023-03-02,Smartphone,573.12,8,370.71,495,18,3759.67,794.03
4,2023-03-03,Tablet,456.15,8,272.66,65,3,3539.74,1358.47
5,2023-03-04,Laptop,935.87,2,710.2,128,18,1534.82,114.42
2,2023-03-05,Cámara,535.85,6,315.86,62,5,3054.37,1159.22
2,2023-03-06,Cámara,508.89,7,325.81,419,7,3312.87,1032.21
4,2023-03-07,Tablet,388.2,7,233.5,151,8,2500.02,865.55
2,2023-03-08,Cámara,486.0,3,292.83,453,9,1326.79,448.29
2,2023-03-09,Smartphone,575.45,9,362.1,201,9,4712.92,1453.99
4,2023-03-10,Tablet,379.9,2,312.81,227,9,691.42,65.8
4,2023-03-11,Auriculares,146.49,3,47.01,440,3,426.28,285.25
1,2023-03-12,Smartphone,578.4,2,420.77,136,17,960.14,118.59
5,2023-03-13,Smartphone,690.38,9,375.24,137,11,5529.94,2152.81
5,2023-03-14,Smartphone,614.98,4,419.93,78,10,2213.92,534.2
2,2023-03-15,Auriculares,71.19,2,87.15,438,15,121.02,-53.29
5,2023-03-16,Laptop,1048.67,3,698.79,412,18,2579.72,483.34
2,2023-03-17,Cámara,531.19,4,279.78,468,10,1912.3,793.17
1,2023-03-18,Tablet,317.29,6,247.22,370,3,1846.63,363.29
4,2023-03-19,Laptop,948.28,5,655.46,149,11,4219.83,942.51
4,2023-03-20,Tablet,394.23,3,249.24,164,16,993.46,245.73
4,2023-03-21,Cámara,420.82,8,316.42,259,12,2962.57,431.22
5,2023-03-22,Auriculares,204.53,8,49.28,392,3,1587.13,1192.85
1,2023-03-23,Smartphone,641.11,7,394.32,123,5,4263.39,1503.17
5,2023-03-24,Smartphone,599.33,3,410.55,184,6,1690.12,458.47
5,2023-03-25,Auriculares,82.86,1,62.08,477,7,77.06,14.98
1,2023-03-26,Laptop,970.02,5,666.8,318,1,4801.58,1467.57
1,2023-03-27,Laptop,901.8,1,701.78,399,8,829.65,127.88
1,2023-03-28,Tablet,313.36,6,298.72,127,9,1710.93,-81.39
1,2023-03-29,Auriculares,195.06,7,23.3,429,18,1119.62,956.52
4,2023-03-30,Laptop,1078.68,5,698.29,174,0,5393.4,1901.94
3,2023-03-31,Auriculares,71.21,4,88.83,87,15,242.12,-113.22
3,2023-04-01,Cámara,545.4,2,322.08,318,17,905.36,261.2
1,2023-04-02,Smartphone,625.32,5,389.73,359,7,2907.74,959.08
3,2023-04-03,Smartphone,631.21,9,404.12,155,9,5169.65,1532.54
3,2023-04-04,Smartphone,528.74,4,399.96,93,10,1903.47,303.64
1,2023-04-05,Auriculares,9.59,2,35.04,274,16,16.11,-53.96
3,2023-04-06,Auriculares,159.13,6,48.51,291,6,897.49,606.4
5,2023-04-07,Tablet,301.04,8,244.4,446,2,2360.12,404.91
2,2023-04-08,Smartphone,592.59,2,402.25,202,6,1114.07,309.56
2,2023-04-09,Tablet,381.61,9,235.03,73,5,3262.81,1147.52
1,2023-04-10,Smartphone,576.99,7,374.47,173,2,3958.17,1336.89
4,2023-04-11,Tablet,415.72,2,249.17,334,7,773.24,274.9
1,2023-04-12,Tablet,366.12,5,284.3,451,0,1830.6,409.09
4,2023-04-13,Cámara,519.79,5,301.64,397,4,2494.98,986.76
2,2023-04-14,Tablet,407.06,7,243.37,310,18,2336.51,632.93
1,2023-04-15,Auriculares,204.94,5,65.08,195,12,901.72,576.31
5,2023-04-16,Tablet,330.73,6,246.83,240,10,1785.94,304.94
3,2023-04-17,Smartphone,601.46,9,437.36,430,10,4871.85,935.61
4,2023-04-18,Tablet,421.57,3,249.92,214,1,1252.05,502.29
3,2023-04-19,Laptop,987.18,3,714.01,120,8,2724.62,582.59
3,2023-04-20,Smartphone,533.15,8,384.91,488,1,4222.52,1143.25
1,2023-04-21,Laptop,1062.86,6,710.06,250,18,5229.25,968.88
3,2023-04-22,Smartphone,616.85,3,405.5,404,11,1646.98,430.48
5,2023-04-23,Auriculares,36.66,2,48.87,61,8,67.45,-30.29
3,2023-04-24,Auriculares,121.93,2,39.96,101,8,224.36,144.43
1,2023-04-25,Auriculares,185.08,2,37.24,490,9,336.84,262.36
5,2023-04-26,Laptop,998.18,5,705.65,305,4,4791.28,1263.05
2,2023-04-27,Cámara,499.89,5,312.58,351,8,2299.49,736.6
3,2023-04-28,Smartphone,678.4,1,397.46,409,17,563.07,165.62
1,2023-04-29,Auriculares,51.48,2,55.75,349,9,93.7,-17.8
2,2023-04-30,Smartphone,686.38,2,399.24,457,16,1153.11,354.63
2,2023-05-01,Laptop,1048.65,4,701.97,58,9,3817.07,1009.19
4,2023-05-02,Cámara,453.79,7,295.99,189,13,2763.58,691.64
5,2023-05-03,Laptop,966.59,3,700.36,149,3,2812.77,711.69
3,2023-05-04,Smartphone,573.76,5,453.96,186,9,2610.61,340.8
1,2023-05-05,Cámara,408.32,9,306.23,408,17,3050.16,294.07
4,2023-05-06,Cámara,513.02,5,312.91,415,4,2462.51,897.98
5,2023-05-07,Laptop,956.05,9,708.76,421,8,7916.12,1537.27
4,2023-05-08,Auriculares,114.83,1,44.74,71,5,109.09,64.34
5,2023-05-09,Smartphone,535.45,9,425.88,194,15,4096.21,263.3
5,2023-05-10,Tablet,446.15,5,244.18,210,15,1896.14,675.26
3,2023-05-11,Tablet,436.88,8,271.1,298,10,3145.55,976.74
5,2023-05-12,Laptop,964.71,5,693.32,224,14,4148.24,681.66
4,2023-05-13,Smartphone,617.98,6,380.8,137,18,3040.47,755.67
5,2023-05-14,Smartphone,604.15,8,407.31,448,2,4736.5,1478.04
3,2023-05-15,Laptop,1074.11,2,677.91,82,15,1826.0,470.18
3,2023-05-16,Smartphone,548.38,3,410.71,320,19,1332.55,100.42
4,2023-05-17,Auriculares,92.39,9,26.12,332,4,798.21,563.16
2,2023-05-18,Laptop,967.97,5,693.62,275,8,4452.64,984.54
2,2023-05-19,Auriculares,102.24,5,21.37,494,4,490.76,383.93
5,2023-05-20,Smartphone,626.66,9,456.48,161,3,5470.77,1362.42
1,2023-05-21,Laptop,967.41,3,666.92,131,12,2553.96,553.2
5,2023-05-22,Smartphone,581.79,4,400.2,262,19,1885.01,284.23
4,2023-05-23,Laptop,1048.3,7,722.87,353,16,6164.02,1103.95
4,2023-05-24,Smartphone,667.87,2,420.73,57,19,1081.94,240.49
4,2023-05-25,Auriculares,124.68,8,67.03,183,11,887.69,351.48
4,2023-05-26,Auriculares,93.1,5,43.66,496,19,377.06,158.79
4,2023-05-27,Smartphone,588.35,1,427.02,167,19,476.56,49.54
3,2023-05-28,Laptop,1027.41,3,718.27,133,6,2897.29,742.48
2,2023-05-29,Tablet,411.39,9,254.25,307,0,3702.5,1414.28
4,2023-05-30,Auriculares,17.55,5,54.81,292,15,74.59,-199.47
1,2023-05-31,Auriculares,128.62,8,43.92,286,6,967.22,615.84
1,2023-06-01,Tablet,356.97,1,231.81,199,1,353.4,121.59
1,2023-06-02,Smartphone,529.15,7,424.74,423,11,3296.62,323.42
1,2023-06-03,Laptop,916.58,7,726.24,70,10,5774.47,690.76
3,2023-06-04,Smartphone,589.19,8,382.32,183,7,4383.61,1325.07
1,2023-06-05,Cámara,449.17,3,296.92,428,0,1347.52,456.75
4,2023-06-06,Auriculares,-16.32,1,47.13,145,2,-15.99,-63.12
5,2023-06-07,Cámara,482.08,9,299.35,62,7,4034.99,1340.86
1,2023-06-08,Auriculares,75.47,1,51.29,50,7,70.19,18.9
3,2023-06-09,Auriculares,92.5,6,68.94,199,10,499.53,85.9
3,2023-06-10,Cámara,468.56,9,285.06,166,4,4048.32,1482.82
1,2023-06-11,Cámara,591.47,2,283.07,201,7,1100.13,533.98
5,2023-06-12,Smartphone,625.87,4,424.73,113,8,2303.19,604.26
1,2023-06-13,Cámara,475.02,2,290.75,474,16,798.03,216.54
3,2023-06-14,Smartphone,596.82,4,374.74,199,4,2291.78,792.83
2,2023-06-15,Smartphone,670.73,2,390.3,366,18,1100.0,319.41
4,2023-06-16,Smartphone,647.83,1,393.4,413,18,531.22,137.82
3,2023-06-17,Auriculares,30.19,3,81.1,61,1,89.66,-153.64
1,2023-06-18,Auriculares,51.29,8,68.5,139,18,336.43,-211.54
4,2023-06-19,Cámara,460.91,5,322.95,437,14,1981.9,367.15
1,2023-06-20,Auriculares,78.02,4,66.4,132,7,290.22,24.62
1,2023-06-21,Cámara,470.23,5,318.92,299,7,2186.56,591.94
2,2023-06-22,Auriculares,101.7,6,36.24,433,0,610.2,392.77
4,2023-06-23,Laptop,1036.79,6,696.03,445,13,5412.02,1235.86
4,2023-06-24,Laptop,1045.13,5,680.2,82,10,4703.1,1302.09
2,2023-06-25,Cámara,483.66,6,295.79,198,6,2727.84,953.1
3,2023-06-26,Auriculares,18.27,9,63.68,177,17,136.44,-436.7
1,2023-06-27,Auriculares,47.98,5,52.69,149,14,206.31,-57.15
5,2023-06-28,Smartphone,574.01,6,426.23,411,9,3134.1,576.72
1,2023-06-29,Tablet,337.75,4,227.17,377,3,1310.46,401.78
1,2023-06-30,Cámara,557.04,3,310.0,261,0,1671.13,741.11
3,2023-07-01,Tablet,341.02,6,225.03,123,13,1780.14,429.94
1,2023-07-02,Tablet,430.85,5,251.88,145,19,1744.96,485.54
2,2023-07-03,Cámara,415.91,4,314.81,141,19,1347.54,88.31
2,2023-07-04,Auriculares,132.86,5,45.71,379,8,611.16,382.61
4,2023-07-05,Cámara,493.04,7,311.02,377,12,3037.11,859.95
5,2023-07-06,Tablet,475.63,1,230.81,485,16,399.53,168.72
1,2023-07-07,Auriculares,43.42,1,16.73,224,19,35.17,18.45
1,2023-07-08,Laptop,971.79,1,711.14,274,3,942.64,231.5
3,2023-07-09,Cámara,481.48,2,334.88,364,4,924.44,254.68
2,2023-07-10,Cámara,492.37,9,280.08,224,17,3678.04,1157.33
5,2023-07-11,Auriculares,82.7,5,74.44,105,16,347.34,-24.88
4,2023-07-12,Laptop,983.67,9,700.87,318,6,8321.81,2014.0
2,2023-07-13,Laptop,982.85,5,673.29,477,9,4471.95,1105.52
4,2023-07-14,Auriculares,-3.56,7,27.37,84,8,-22.92,-214.51
3,2023-07-15,Smartphone,649.67,6,400.32,168,12,3430.24,1028.35
3,2023-07-16,Cámara,643.06,2,291.91,420,17,1067.47,483.65
1,2023-07-17,Cámara,514.91,3,273.74,462,11,1374.82,553.59
5,2023-07-18,Tablet,343.21,5,216.12,105,7,1595.94,515.34
4,2023-07-19,Auriculares,48.27,4,33.07,438,17,160.27,28.0
2,2023-07-20,Tablet,430.66,6,253.88,358,4,2480.59,957.34
3,2023-07-21,Tablet,419.27,8,249.87,406,6,3152.94,1153.96
1,2023-07-22,Laptop,985.79,8,689.98,425,14,6782.2,1262.4
1,2023-07-23,Cámara,537.67,3,304.04,365,2,1580.75,668.64
4,2023-07-24,Tablet,296.81,4,270.8,154,17,985.4,-97.81
3,2023-07-25,Laptop,1037.7,1,707.88,439,5,985.82,277.94
5,2023-07-26,Auriculares,111.89,2,47.57,225,5,212.59,117.44
3,2023-07-27,Tablet,350.2,9,268.56,155,19,2552.98,135.92
4,2023-07-28,Cámara,428.33,2,280.8,129,0,856.67,295.06
4,2023-07-29,Tablet,406.07,6,245.5,212,16,2046.57,573.56
3,2023-07-30,Auriculares,170.36,7,45.98,451,10,1073.28,751.43
4,2023-07-31,Tablet,388.6,6,225.26,316,1,2308.26,956.69
3,2023-08-01,Cámara,457.37,8,291.6,100,8,3366.21,1033.39
2,2023-08-02,Laptop,1009.56,9,658.5,426,18,7450.59,1524.08
3,2023-08-03,Cámara,591.04,8,338.24,328,5,4491.93,1785.98
3,2023-08-04,Laptop,1021.56,5,681.25,352,6,4801.36,1395.1
4,2023-08-05,Smartphone,626.97,8,431.72,124,3,4865.29,1411.51
4,2023-08-06,Cámara,561.14,9,300.76,492,2,4949.25,2242.4
1,2023-08-07,Cámara,523.63,8,311.3,490,1,4147.13,1656.75
1,2023-08-08,Auriculares,60.95,2,40.22,398,9,110.93,30.48
2,2023-08-09,Tablet,312.77,2,254.16,176,9,569.24,60.93
1,2023-08-10,Laptop,953.92,3,713.01,295,16,2403.87,264.84
3,2023-08-11,Laptop,944.76,7,713.29,361,15,5621.34,628.31
4,2023-08-12,Auriculares,132.97,9,65.5,283,0,1196.69,607.23
1,2023-08-13,Auriculares,139.92,8,42.63,204,11,996.21,655.15
1,2023-08-14,Tablet,408.78,9,240.39,122,19,2980.0,816.46
2,2023-08-15,Tablet,336.57,6,218.12,468,19,1635.71,327.01
2,2023-08-16,Cámara,589.33,1,310.46,488,9,536.29,225.83
3,2023-08-17,Smartphone,579.19,4,421.65,186,0,2316.76,630.17
4,2023-08-18,Tablet,430.17,6,282.32,323,15,2193.89,499.97
2,2023-08-19,Auriculares,102.47,6,56.1,93,10,553.32,216.7
1,2023-08-20,Tablet,410.43,8,234.67,296,3,3184.96,1307.6
4,2023-08-21,Laptop,1028.41,1,666.06,198,2,1007.84,341.78
4,2023-08-22,Smartphone,565.2,2,420.83,105,12,994.75,153.08
1,2023-08-23,Cámara,565.27,2,264.07,225,14,972.26,444.12
2,2023-08-24,Laptop,921.02,6,693.19,405,9,5028.8,869.67
1,2023-08-25,Laptop,948.07,7,695.51,306,5,6304.68,1436.08
4,2023-08-26,Smartphone,664.62,2,398.61,460,10,1196.32,399.1
5,2023-08-27,Cámara,529.5,5,300.72,350,0,2647.5,1143.92
5,2023-08-28,Auriculares,227.02,6,52.76,112,19,1103.32,786.74
3,2023-08-29,Cámara,503.42,4,251.69,363,3,1953.26,946.49
1,2023-08-30,Tablet,485.02,1,250.29,473,9,441.37,191.08
1,2023-08-31,Laptop,907.13,3,655.41,112,14,2340.39,374.16
3,2023-09-01,Tablet,329.32,9,264.64,343,0,2963.92,582.12
3,2023-09-02,Auriculares,144.78,6,38.9,78,14,747.05,513.66
3,2023-09-03,Tablet,312.98,2,206.86,89,2,613.44,199.73
4,2023-09-04,Cámara,490.13,9,283.72,196,0,4411.18,1857.74
1,2023-09-05,Tablet,458.36,4,238.6,137,5,1741.77,787.38
4,2023-09-06,Auriculares,125.06,8,73.81,105,18,820.38,229.87
3,2023-09-07,Auriculares,100.55,7,53.93,349,3,682.77,305.24
1,2023-09-08,Auriculares,77.54,3,56.89,242,11,207.04,36.38
4,2023-09-09,Cámara,510.11,8,323.62,149,1,4040.08,1451.09
4,2023-09-10,Auriculares,128.86,4,48.08,264,16,432.98,240.67
3,2023-09-11,Laptop,966.96,2,715.08,190,5,1837.22,407.05
1,2023-09-12,Auriculares,118.59,5,63.68,463,11,527.71,209.33
3,2023-09-13,Tablet,453.92,1,224.27,98,14,390.37,166.1
1,2023-09-14,Tablet,388.88,8,279.46,164,16,2613.25,377.57
5,2023-09-15,Tablet,403.41,8,221.59,278,0,3227.25,1454.5
2,2023-09-16,Cámara,524.19,3,318.35,301,13,1368.13,413.09
2,2023-09-17,Tablet,427.57,1,219.66,124,1,423.29,203.63
2,2023-09-18,Cámara,543.92,4,312.02,240,3,2110.42,862.32
3,2023-09-19,Cámara,449.28,9,337.24,248,19,3275.26,240.12
5,2023-09-20,Auriculares,73.55,9,45.74,212,1,655.37,243.7
1,2023-09-21,Laptop,975.41,1,694.87,188,13,848.6,153.73
4,2023-09-22,Auriculares,54.8,7,62.21,98,17,318.41,-117.05
1,2023-09-23,Auriculares,10.08,6,43.41,412,7,56.24,-204.23
4,2023-09-24,Cámara,337.28,7,336.37,416,19,1912.36,-442.2
1,2023-09-25,Cámara,559.77,7,303.84,164,0,3918.41,1791.5
5,2023-09-26,Tablet,322.31,8,243.6,217,15,2191.68,242.9
4,2023-09-27,Tablet,478.33,8,239.19,326,6,3597.01,1683.45
3,2023-09-28,Auriculares,136.97,2,31.34,96,5,260.24,197.56
1,2023-09-29,Smartphone,579.72,4,387.44,308,18,1901.47,351.69
1,2023-09-30,Smartphone,630.82,4,392.99,463,9,2296.19,724.24
4,2023-10-01,Tablet,421.26,8,240.25,265,5,3201.55,1279.57
3,2023-10-02,Smartphone,544.91,3,386.84,279,9,1487.61,327.1
3,2023-10-03,Tablet,399.25,3,291.98,176,18,982.16,106.23
5,2023-10-04,Cámara,451.01,2,279.4,372,2,883.98,325.18
3,2023-10-05,Auriculares,132.71,1,52.93,367,19,107.49,54.56
3,2023-10-06,Laptop,964.24,8,711.85,470,2,7559.63,1864.83
3,2023-10-07,Auriculares,95.17,9,62.6,274,19,693.78,130.36
2,2023-10-08,Tablet,393.01,9,248.83,199,5,3360.24,1120.79
5,2023-10-09,Tablet,406.08,8,245.19,336,16,2728.85,767.36
1,2023-10-10,Auriculares,183.13,5,59.03,95,17,759.98,464.83
4,2023-10-11,Tablet,387.95,1,255.33,350,9,353.04,97.71
1,2023-10-12,Smartphone,660.9,9,394.82,63,5,5650.66,2097.28
5,2023-10-13,Smartphone,624.0,6,368.76,170,12,3294.72,1082.14
4,2023-10-14,Tablet,470.92,7,240.64,445,5,3131.62,1447.13
5,2023-10-15,Tablet,383.08,8,227.07,424,11,2727.52,910.96
3,2023-10-16,Smartphone,634.81,5,386.66,240,13,2761.41,828.13
4,2023-10-17,Tablet,397.04,6,250.66,382,16,2001.06,497.08
3,2023-10-18,Tablet,250.53,7,257.17,393,7,1630.95,-169.27
1,2023-10-19,Auriculares,45.51,7,85.61,215,4,305.81,-293.45
1,2023-10-20,Laptop,1029.12,2,689.25,166,3,1996.49,617.99
4,2023-10-21,Smartphone,625.81,1,415.49,480,5,594.52,179.03
4,2023-10-22,Auriculares,35.25,8,56.12,173,10,253.81,-195.15
5,2023-10-23,Laptop,1011.02,5,725.92,103,4,4852.89,1223.29
5,2023-10-24,Tablet,425.16,2,261.52,488,13,739.78,216.73
3,2023-10-25,Tablet,398.27,3,229.83,353,9,1087.27,397.78
4,2023-10-26,Auriculares,136.44,6,15.54,406,10,736.78,643.55
1,2023-10-27,Tablet,429.63,6,256.23,320,2,2526.21,988.86
5,2023-10-28,Cámara,498.24,8,289.43,248,7,3706.93,1391.48
5,2023-10-29,Auriculares,74.46,5,30.39,265,4,357.4,205.43
1,2023-10-30,Laptop,1052.13,5,674.65,162,19,4261.11,887.87
5,2023-10-31,Auriculares,123.16,7,53.22,65,9,784.52,411.98
3,2023-11-01,Smartphone,530.93,5,430.15,265,7,2468.82,318.05
4,2023-11-02,Auriculares,111.04,9,41.83,476,8,919.45,543.01
1,2023-11-03,Tablet,342.45,6,261.81,184,14,1767.04,196.2
4,2023-11-04,Tablet,351.77,7,247.95,92,0,2462.4,726.72
5,2023-11-05,Cámara,467.4,8,274.21,301,4,3589.67,1395.97
5,2023-11-06,Cámara,502.24,5,314.7,333,14,2159.65,586.17
1,2023-11-07,Cámara,518.72,4,278.11,371,3,2012.65,900.23
3,2023-11-08,Laptop,979.55,8,700.43,147,18,6425.87,822.41
2,2023-11-09,Cámara,481.74,9,293.17,109,9,3945.46,1306.93
1,2023-11-10,Laptop,974.84,1,717.86,279,1,965.09,247.23
2,2023-11-11,Cámara,552.38,3,278.84,433,4,1590.84,754.33
2,2023-11-12,Laptop,857.35,4,707.82,180,17,2846.41,15.14
3,2023-11-13,Auriculares,84.57,7,33.2,434,5,562.36,329.94
2,2023-11-14,Auriculares,177.25,6,39.78,208,9,967.78,729.11
2,2023-11-15,Tablet,425.86,1,177.3,361,14,366.24,188.94
3,2023-11-16,Laptop,1063.34,4,741.84,133,8,3913.1,945.73
2,2023-11-17,Smartphone,498.29,6,411.01,257,12,2630.96,164.89
2,2023-11-18,Tablet,337.89,3,234.65,223,17,841.34,137.38
2,2023-11-19,Auriculares,125.7,2,27.51,337,6,236.32,181.31
1,2023-11-20,Laptop,1077.53,2,690.09,130,1,2133.51,753.34
1,2023-11-21,Cámara,442.94,4,314.34,67,15,1505.99,248.64
1,2023-11-22,Smartphone,580.61,1,362.16,245,1,574.81,212.65
3,2023-11-23,Auriculares,120.07,2,47.17,340,3,232.94,138.61
5,2023-11-24,Tablet,327.38,2,285.41,409,1,648.2,77.38
2,2023-11-25,Laptop,1026.08,4,677.32,405,16,3447.64,738.36
2,2023-11-26,Smartphone,466.22,4,401.61,328,5,1771.62,165.19
3,2023-11-27,Laptop,1024.61,1,744.07,446,9,932.4,188.33
2,2023-11-28,Cámara,450.25,7,312.64,303,13,2742.0,553.5
1,2023-11-29,Tablet,377.62,7,252.52,191,14,2273.27,505.64
5,2023-11-30,Laptop,1032.59,1,710.13,214,11,919.01,208.88
4,2023-12-01,Auriculares,122.36,8,41.98,54,18,802.7,466.84
2,2023-12-02,Tablet,399.6,7,275.99,300,10,2517.49,585.54
1,2023-12-03,Auriculares,148.45,7,42.01,199,0,1039.16,745.07
4,2023-12-04,Laptop,914.99,6,660.82,77,7,5105.65,1140.75
5,2023-12-05,Tablet,410.22,4,242.17,286,5,1558.84,590.14
4,2023-12-06,Auriculares,60.49,8,30.67,181,11,430.7,185.38
1,2023-12-07,Cámara,545.9,2,294.38,355,19,884.36,295.61
4,2023-12-08,Cámara,534.35,7,294.82,407,15,3179.4,1115.67
3,2023-12-09,Laptop,1036.17,3,723.95,334,17,2580.06,408.21
4,2023-12-10,Tablet,482.27,3,263.91,342,11,1287.66,495.94
2,2023-12-11,Smartphone,656.32,7,405.27,212,19,3721.32,884.46
2,2023-12-12,Tablet,392.13,3,249.94,453,1,1164.62,414.8
3,2023-12-13,Cámara,499.94,5,278.82,468,6,2349.7,955.59
1,2023-12-14,Auriculares,130.05,8,6.38,276,8,957.15,906.13
2,2023-12-15,Smartphone,606.81,4,402.26,179,17,2014.6,405.55
5,2023-12-16,Laptop,1035.26,7,715.89,421,8,6667.07,1655.82
2,2023-12-17,Smartphone,488.48,7,397.83,107,7,3180.03,395.2
2,2023-12-18,Laptop,1094.04,2,689.3,195,0,2188.08,809.47
1,2023-12-19,Smartphone,603.05,8,409.29,411,4,4631.43,1357.11
4,2023-12-20,Laptop,918.88,9,698.33,361,15,7029.41,744.41
2,2023-12-21,Laptop,954.31,6,733.71,171,13,4981.5,579.21
3,2023-12-22,Smartphone,493.53,5,424.65,241,12,2171.55,48.28
4,2023-12-23,Smartphone,545.49,1,419.19,294,10,490.94,71.75
5,2023-12-24,Laptop,992.89,1,715.15,152,19,804.24,89.08
1,2023-12-25,Cámara,575.74,9,274.2,428,12,4559.83,2092.06
5,2023-12-26,Smartphone,620.53,4,413.26,485,14,2134.64,481.6
4,2023-12-27,Tablet,411.64,1,257.53,299,15,349.9,92.37
4,2023-12-28,Auriculares,43.24,3,62.13,71,12,114.17,-72.22
4,2023-12-29,Laptop,958.78,6,709.85,109,7,5349.97,1090.86
5,2023-12-30,Laptop,962.65,8,709.06,287,17,6392.02,719.58
4,2023-12-31,Auriculares,64.69,2,104.02,443,18,106.1,-101.94
5,2024-01-01,Cámara,482.42,8,298.48,389,14,3319.07,931.26
4,2024-01-02,Auriculares,86.2,1,68.73,433,9,78.44,9.71
3,2024-01-03,Smartphone,583.05,2,390.58,385,3,1131.11,349.95
4,2024-01-04,Auriculares,66.43,8,65.81,183,5,504.9,-21.61
