Student_ID,Hours_Studied,Attendance_Rate,Assignments_Completed,Midterm_Score,Final_Score,Project_Score,Participation_Score
188,3,72,4,81,31,12,8
189,3,58,4,18,71,8,3
190,23,70,5,71,23,28,0
191,27,73,2,59,47,38,3
192,34,67,6,35,95,8,0
193,37,67,5,35,0,65,9
194,23,98,9,63,17,30,2
195,21,55,10,44,53,94,4
196,25,69,0,57,68,71,6
197,17,92,10,64,21,87,10
198,2,88,1,58,74,45,1
199,10,57,6,79,41,67,3
200,8,91,1,30,61,60,8
201,32,55,3,46,40,18,5
202,25,55,6,21,5,64,9
203,35,56,2,64,22,15,5
204,3,60,10,21,91,87,10
205,1,97,4,40,100,58,0
206,7,75,10,55,17,31,2
207,6,69,6,58,14,5,3
208,35,73,9,58,12,94,5
209,33,57,3,97,50,43,0
210,39,81,4,33,21,74,10
211,18,58,8,38,69,44,8
212,28,72,2,59,0,74,1
213,38,62,5,16,23,61,8
214,5,54,0,46,17,75,3
215,9,63,0,62,80,14,8
216,40,94,9,53,23,46,9
217,4,99,7,37,56,19,10
218,23,73,6,6,92,39,2
219,40,51,8,33,68,27,2
220,21,52,4,23,64,30,10
221,25,97,4,27,29,47,4
222,36,91,4,45,0,97,3
223,28,62,8,20,76,20,5
224,35,97,4,47,6,53,9
225,19,64,3,6,32,76,10
226,17,82,8,25,3,44,0
227,39,56,7,7,22,54,0
228,40,92,8,89,98,26,2
229,14,64,10,100,56,26,7
230,14,60,10,11,55,89,0
231,23,80,8,13,32,15,2
232,28,52,1,7,97,64,7
233,16,60,5,42,81,92,5
234,24,52,8,49,18,87,8
235,15,75,6,56,93,34,9
236,16,64,0,46,43,58,2
237,20,79,9,7,80,6,1
238,26,84,2,90,15,49,1
239,4,79,7,96,98,74,7
240,21,50,9,90,4,45,6
241,32,73,7,71,25,15,10
242,39,60,2,25,77,19,5
243,1,57,3,32,64,99,10
244,34,90,0,57,41,9,1
245,18,58,10,87,81,44,5
246,39,81,4,49,11,67,10
247,26,88,10,90,50,48,6
248,39,98,3,93,97,18,7
249,35,100,10,82,12,31,4
250,38,64,3,50,34,27,0
251,1,52,9,100,88,38,10
252,40,61,4,17,57,77,0
253,17,65,6,30,73,43,8
254,22,53,1,41,60,86,1
255,25,89,9,40,49,27,6
256,10,86,3,80,52,78,2
257,0,80,3,83,63,48,7
258,35,86,4,36,14,11,1
259,19,56,0,38,74,47,5
260,30,91,2,65,88,66,6
261,7,68,10,84,32,84,10
262,39,62,4,77,3,77,1
263,23,100,8,1,51,96,0
264,19,100,1,73,17,89,1
265,14,55,6,60,56,66,8
266,29,71,3,44,51,18,8
267,19,81,6,88,65,84,10
268,37,83,0,66,80,33,9
269,1,75,8,66,73,18,10
270,5,100,8,32,89,99,5
271,17,66,10,65,65,26,3
272,35,99,3,37,63,65,3
273,13,59,4,42,15,100,10
274,25,92,1,61,16,71,6
275,33,85,10,75,61,88,2
276,29,75,10,91,21,15,2
277,6,62,9,79,31,26,5
278,29,79,2,43,32,50,9
279,17,63,3,26,16,89,6
280,21,60,4,22,12,74,7
281,16,67,2,35,23,42,10
282,30,71,0,29,77,54,0
283,16,72,0,13,24,81,8
284,30,86,10,63,51,27,3
285,12,56,1,16,71,32,5
286,26,51,10,33,35,99,10
287,19,74,2,68,12,38,4
288,16,88,9,89,10,14,7
289,28,73,7,18,34,47,2
290,38,92,4,38,41,46,2
291,34,70,6,34,35,56,2
292,7,100,6,75,51,79,4
293,37,66,4,68,22,60,1
294,14,100,10,59,60,94,5
295,0,73,5,36,0,54,6
296,32,72,6,9,7,39,7
297,2,84,4,33,76,94,1
298,38,71,7,40,57,100,10
299,37,58,0,1,76,39,7
300,14,64,1,72,82,15,4
301,17,89,1,7,2,93,7
302,37,71,5,21,5,88,9
303,30,59,9,56,76,95,4
304,19,92,1,13,7,69,8
305,6,97,5,40,9,34,2
306,36,99,5,29,44,45,3
307,26,54,2,69,18,90,10
308,7,59,8,66,40,64,8
309,13,84,4,4,21,30,10
310,14,70,1,59,18,64,3
311,6,60,7,2,32,58,0
312,32,89,3,54,20,55,4
313,33,52,10,52,11,57,0
314,3,72,6,54,56,100,4
315,0,99,10,63,58,44,5
316,40,94,3,52,32,18,5
317,13,99,0,35,37,18,5
318,30,88,10,61,26,50,7
319,37,76,6,94,18,100,6
320,19,72,0,100,9,73,7
321,2,99,3,33,84,2,4
322,34,92,8,11,11,48,3
323,32,58,6,36,19,38,4
324,14,53,1,26,61,25,0
325,2,96,10,12,96,28,2
326,27,58,3,33,28,21,2
327,26,58,8,70,41,94,7
328,32,63,3,48,56,59,3
329,18,63,8,94,43,31,0
330,32,95,7,48,68,76,5
331,30,92,5,31,6,59,1
332,3,88,6,43,76,16,1
333,31,76,3,63,63,87,10
334,27,68,0,5,31,7,6
335,15,80,9,64,11,72,8
336,27,95,9,77,30,65,9
337,14,51,2,100,20,8,7
338,21,57,7,55,58,92,4
339,30,55,10,45,97,41,6
340,20,99,10,6,56,73,5
341,31,88,3,90,12,52,4
342,6,62,7,41,60,5,5
343,32,69,8,50,36,66,3
344,7,76,8,73,97,0,0
345,13,93,5,51,77,32,5
346,24,60,9,0,69,25,6
347,31,68,2,54,87,98,3
348,27,51,3,81,53,73,7
349,1,50,5,58,17,92,8
350,16,56,9,82,25,23,4
351,26,94,9,36,29,23,1
352,1,72,10,28,39,51,2
353,7,87,9,5,50,97,10
354,37,70,8,74,76,95,4
355,19,80,10,70,43,27,9
356,36,73,4,38,79,28,9
357,20,99,9,2,96,6,10
358,25,73,0,96,63,32,7
359,30,69,4,94,94,74,10
360,19,87,0,16,52,63,6
361,5,82,3,36,9,62,5
362,14,64,1,79,86,27,10
363,0,62,10,22,92,0,8
364,25,100,6,62,42,37,0
365,28,91,0,85,20,46,3
366,1,73,0,64,78,58,4
367,21,51,2,18,82,70,7
368,28,95,6,70,11,35,5
369,8,65,10,96,15,48,9
370,40,56,2,1,25,68,10
371,20,93,4,20,65,52,0
372,31,66,7,90,43,36,5
373,31,57,8,12,22,55,9
374,39,50,2,95,64,31,8
375,25,83,10,95,52,63,10
376,12,50,6,54,33,21,0
377,2,75,1,0,45,26,2
378,31,99,6,92,49,39,5
379,32,91,8,1,20,52,9
380,32,69,2,50,60,40,8
381,12,73,6,38,27,50,5
382,5,67,6,55,39,38,9
383,3,53,4,93,69,92,4
384,37,92,0,89,69,56,8
385,5,96,5,26,44,65,9
386,2,67,3,75,33,35,3
387,26,96,0,66,12,81,3
388,39,94,9,7,7,19,0
389,19,51,8,83,90,26,6
390,17,80,2,66,70,36,0
391,19,67,5,96,53,0,0
392,29,66,9,9,88,15,0
393,9,99,10,8,8,52,3
394,22,76,5,86,44,90,1
395,2,79,6,44,73,42,2
396,8,61,0,58,38,65,9
397,18,58,0,78,93,58,9
398,35,97,5,20,80,6,1
399,39,62,9,79,100,82,4
400,26,93,7,5,92,88,5
401,27,55,6,65,71,100,1
402,7,71,1,63,29,75,1
403,7,50,8,68,57,32,9
404,17,71,7,58,8,92,10
405,20,98,7,34,57,6,5
406,12,60,2,21,45,62,8
407,26,50,9,52,47,58,7
408,39,58,5,57,53,78,10
409,15,90,8,95,22,6,2
410,39,69,4,14,100,74,5
411,8,98,2,72,92,22,6
412,26,99,1,37,37,29,3
413,16,62,4,91,38,28,6
414,2,59,9,73,30,75,6
415,3,93,5,2,44,77,10
416,39,98,3,32,54,56,8
417,0,57,4,44,70,49,8
418,13,99,0,74,32,45,6
419,7,90,5,27,93,4,1
420,6,73,1,71,83,24,3
421,29,82,10,7,73,6,4
422,24,88,1,41,76,34,7
423,38,73,10,83,21,76,9
424,15,89,5,25,19,24,2
425,10,69,6,75,11,52,10
426,24,93,6,40,1,41,7
427,32,57,0,58,93,44,2
428,20,95,4,51,45,95,2
429,9,80,3,87,23,57,5
430,8,61,8,73,75,42,2
431,0,98,5,2,46,22,8
432,33,96,1,1,14,47,1
433,30,61,6,25,22,92,0
434,20,68,0,91,57,19,0
435,23,89,3,98,95,69,10
436,18,99,8,84,69,4,1
437,20,71,10,45,27,4,7
438,24,81,0,29,8,79,2
439,19,78,8,11,82,65,3
440,25,62,8,46,99,78,7
441,6,73,0,55,43,54,9
442,2,80,9,40,74,88,4
443,39,78,0,53,38,6,4
444,7,56,0,74,99,66,0
445,29,60,1,34,62,99,9
446,10,71,8,9,47,8,0
447,7,55,2,1,100,26,10
448,36,86,4,97,67,75,7
449,16,58,6,63,24,52,10
450,7,97,7,89,48,34,5
451,29,98,1,65,24,75,10
452,15,64,10,69,68,66,3
453,3,96,6,64,72,17,4
454,20,95,9,77,85,92,1
455,33,92,0,100,10,93,9
456,39,55,6,43,79,61,5
457,34,64,8,60,24,86,6
458,12,95,6,55,15,31,6
459,26,83,7,63,83,22,5
460,7,94,1,40,19,90,7
461,40,73,10,61,39,14,9
462,28,78,4,10,7,95,8
463,15,96,2,100,53,24,8
464,4,83,5,75,97,94,1
465,36,55,8,25,32,62,0
466,39,92,1,94,99,43,4
467,39,66,9,68,10,96,2
468,9,90,3,93,86,4,3
469,14,81,6,94,3,46,6
470,20,81,6,71,79,55,5
471,33,61,0,75,87,48,4
472,21,95,0,26,78,40,1
473,21,74,0,28,4,2,8
474,8,81,9,93,88,84,5
475,25,65,4,15,54,3,7
476,12,65,8,4,64,65,0
477,17,65,9,100,16,23,6
478,0,79,3,90,20,16,9
479,22,87,6,37,75,25,7
480,32,84,8,54,28,48,1
481,30,70,10,7,14,90,8
482,20,81,5,32,53,45,5
483,22,82,1,74,49,67,1
484,15,98,0,65,81,8,4
485,26,84,5,14,11,39,8
486,36,95,5,67,16,69,0
487,37,72,10,71,83,81,1
488,13,91,7,96,79,0,7
489,36,60,3,5,59,76,6
490,6,87,4,35,0,56,10
491,11,51,10,91,94,39,2
492,27,59,0,74,68,98,6
493,2,98,9,46,78,21,9
494,21,78,8,19,32,35,3
495,20,51,9,38,56,1,5
496,28,50,2,73,30,8,3
497,19,89,1,66,73,65,2
498,2,95,8,66,76,50,6
499,26,86,0,34,47,88,10
500,20,54,10,13,8,20,10
501,40,57,6,41,97,13,5
502,32,93,6,26,53,86,2
503,29,98,1,10,69,90,2
504,38,51,3,71,98,51,7
505,40,81,6,58,26,35,4
506,8,92,0,48,35,48,3
507,37,55,8,38,100,50,0
508,22,98,6,39,43,25,4
509,22,72,10,44,50,75,4
510,0,58,6,7,55,16,5
511,20,50,1,18,21,29,1
512,31,72,2,39,67,95,8
513,25,84,9,53,37,24,10
514,32,76,4,54,64,90,7
515,8,96,0,83,60,44,9
516,16,52,5,9,0,77,0
517,5,77,1,42,21,80,7
518,6,87,0,48,15,34,3
519,6,63,5,49,69,92,7
520,36,74,8,40,77,71,1
521,4,98,4,22,94,19,7
522,32,72,0,61,30,37,9
523,9,83,10,5,27,83,2
524,16,100,8,68,78,87,9
525,39,56,1,9,95,26,8
526,27,72,0,42,41,10,3
527,21,82,3,89,85,30,4
528,20,77,4,89,38,51,10
529,31,69,0,0,0,40,4
530,31,86,6,92,22,81,1
531,35,51,8,79,30,16,10
532,30,80,1,97,0,87,3
533,5,84,3,65,14,73,4
534,20,73,9,24,85,94,1
535,34,98,8,1,73,46,6
536,13,53,2,4,19,52,10
537,22,54,7,54,32,1,9
538,23,66,2,79,5,77,0
539,29,73,4,42,75,82,9
540,9,59,6,42,97,68,5
541,4,100,9,84,43,63,1
542,29,63,8,57,2,23,5
543,6,66,10,58,60,17,2
544,5,68,4,91,87,96,8
545,7,74,9,9,97,60,10
546,25,92,5,25,33,57,5
547,17,62,6,84,11,58,5
548,35,58,3,69,59,66,1
549,25,54,10,84,77,67,5
550,35,91,0,28,81,43,4
551,40,66,5,26,35,75,3
552,3,52,3,27,19,11,7
553,12,61,1,97,42,33,9
554,23,91,7,57,47,85,6
555,30,95,3,25,0,20,8
556,21,93,0,73,88,63,0
557,39,69,7,2,2,63,0
558,17,87,1,35,16,49,1
559,33,71,3,63,2,94,3
560,22,91,10,86,94,78,1
561,38,64,5,54,84,11,3
562,36,89,8,30,15,89,9
563,0,56,6,4,26,4,8
564,19,54,0,7,18,0,2
565,24,50,3,75,39,28,0
566,5,65,1,84,42,40,6
567,29,59,8,58,26,96,1
568,19,89,6,41,16,3,9
569,8,50,6,70,43,9,8
570,17,84,5,38,20,43,7
571,39,63,5,45,41,76,0
572,2,83,6,40,27,82,0
573,35,96,8,64,28,61,1
574,5,93,10,14,67,11,5
575,37,65,1,95,81,4,1
576,0,95,6,91,40,26,10
577,18,60,3,16,48,52,7
578,37,71,6,44,50,70,0
579,27,75,10,22,6,77,0
580,8,57,2,14,40,82,6
581,9,95,4,46,11,26,0
582,23,57,1,53,16,21,1
583,25,56,0,87,46,75,10
584,7,88,3,59,58,54,7
585,4,89,6,94,88,56,7
586,12,51,8,83,53,46,2
587,21,78,1,38,92,10,6
588,33,74,10,6,99,89,5
589,24,68,10,55,34,77,2
590,22,86,2,40,45,62,1
591,40,97,8,76,83,82,5
592,20,65,1,35,42,76,8
593,2,53,2,92,88,63,7
594,7,75,3,50,82,94,0
595,38,50,0,6,51,23,2
596,38,77,8,29,60,43,5
597,21,74,7,94,99,37,7
598,10,82,6,49,52,3,5
599,22,55,2,58,88,44,3
600,15,71,5,35,54,33,7
601,27,73,6,38,66,60,9
602,34,54,8,32,33,71,6
603,28,70,3,15,56,20,5
604,37,97,5,27,39,66,10
605,5,96,6,19,32,77,1
606,13,96,1,29,6,20,0
607,28,75,8,56,75,56,10
608,27,92,4,92,72,37,4
609,9,94,7,51,26,89,4
610,3,78,4,0,4,33,10
611,23,91,7,94,49,51,6
612,1,67,10,79,15,52,4
613,28,79,5,19,30,71,8
614,24,98,6,38,14,16,6
615,30,84,1,79,44,46,6
616,14,69,0,11,94,80,7
617,37,82,7,66,70,20,3
618,32,55,3,25,85,31,10
619,7,51,2,7,24,79,10
620,39,70,1,76,62,57,0
621,15,72,7,69,27,14,9
622,37,68,4,90,70,27,5
623,40,84,9,13,70,47,8
624,33,64,3,75,27,2,0
625,5,97,6,24,82,97,10
626,38,81,0,85,46,27,9
627,39,74,0,73,27,47,0
628,22,84,3,69,2,53,0
629,20,65,7,21,10,25,0
630,34,97,9,7,28,77,7
631,28,60,8,35,56,46,6
632,34,61,10,9,11,61,0
633,1,96,1,38,6,28,1
634,32,68,6,93,36,15,0
635,25,97,10,12,68,81,2
636,31,61,7,30,11,89,3
637,17,86,2,67,76,91,3
638,33,75,10,94,97,66,9
639,29,98,0,29,58,59,4
640,22,89,1,74,76,51,9
641,19,65,6,43,62,55,8
642,22,55,7,76,5,68,5
643,39,85,7,80,88,13,3
644,7,86,6,100,22,9,7
645,13,52,2,66,62,48,2
646,22,66,10,77,48,28,6
647,13,99,0,33,55,4,3
648,1,59,2,11,85,30,7
649,3,87,2,26,27,30,9
650,23,61,7,91,69,74,4
651,35,96,1,94,81,10,0
652,8,53,4,70,78,30,10
653,15,67,0,72,29,99,7
654,31,67,6,70,100,94,0
655,31,83,10,96,11,29,10
656,26,81,7,73,49,39,5
657,14,71,0,46,96,92,10
658,3,96,10,35,82,42,2
659,35,74,3,59,71,89,1
660,24,95,6,74,82,71,2
661,14,82,8,45,94,9,10
662,11,63,0,17,75,15,3
663,6,100,7,87,81,69,4
664,35,98,9,12,73,87,5
665,23,83,5,71,62,40,4
666,5,97,10,83,2,9,9
667,40,53,0,17,64,26,6
668,30,73,6,55,79,92,3
669,20,90,8,83,78,49,2
670,10,75,7,1,5,59,5
671,15,98,3,31,72,26,2
672,13,73,8,4,27,19,0
673,24,70,6,64,100,31,3
674,13,100,0,7,44,31,2
675,37,85,10,8,65,99,8
676,17,81,3,60,66,57,9
677,13,74,8,20,7,31,5
678,23,92,7,6,14,6,8
679,7,67,6,98,22,77,7
680,24,65,5,8,78,35,8
681,33,65,7,22,55,87,5
682,27,83,2,78,3,20,3
683,23,61,1,95,94,43,6
684,17,95,1,94,93,48,1
685,33,94,5,33,53,90,5
686,2,100,7,94,33,70,8
687,11,80,1,83,11,56,9
688,35,87,10,11,66,39,10
689,4,68,6,8,70,48,6
690,18,87,4,44,65,40,7
691,11,94,3,79,77,11,7
692,26,59,6,55,27,99,10
693,16,89,7,25,36,42,7
694,27,98,3,79,27,60,9
695,39,85,3,45,92,92,0
696,21,71,9,77,51,31,3
697,9,75,4,63,85,30,2
698,40,90,5,61,76,1,7
699,5,58,8,99,80,81,8
700,16,74,7,24,24,55,5
701,11,74,10,89,2,34,8
702,5,58,3,20,89,1,0
703,21,68,10,74,68,28,9
704,15,84,6,17,9,78,2
705,3,75,2,53,31,10,1
706,24,59,5,56,10,61,7
707,32,65,2,55,17,30,3
708,0,59,4,15,65,60,3
709,14,55,0,56,84,1,7
710,16,58,10,27,37,99,2
711,18,92,2,45,72,71,10
712,18,50,2,29,65,87,6
713,19,52,1,82,52,29,6
714,0,99,3,79,3,7,7
715,22,85,5,76,24,77,2
716,15,81,7,49,30,54,5
717,23,87,5,24,23,23,1
718,19,73,7,3,87,76,2
719,14,64,9,4,60,1,6
720,23,94,2,73,2,10,0
721,36,95,6,16,74,80,1
722,40,92,2,63,86,69,10
723,32,84,2,90,65,0,9
724,31,86,9,29,34,100,1
725,30,91,6,36,43,97,2
726,14,81,10,47,77,50,3
727,0,67,9,48,63,0,9
728,11,56,1,98,25,83,0
729,34,64,4,53,44,40,3
730,36,54,7,45,20,45,7
731,29,78,3,87,81,78,7
732,25,77,4,86,67,38,10
733,10,63,6,53,30,76,6
734,31,67,2,97,98,67,7
735,1,91,4,60,95,34,8
736,9,76,6,49,67,34,7
737,21,52,7,24,79,20,3
738,8,71,6,26,97,49,10
739,29,67,8,71,76,10,8
740,24,90,2,91,74,19,0
741,20,56,8,86,81,5,1
742,17,60,9,22,4,1,5
743,19,93,2,41,85,24,9
744,39,97,3,40,77,29,10
745,15,65,0,39,67,98,10
746,38,86,10,14,78,49,9
747,34,74,5,60,40,38,5
748,28,53,9,78,63,69,5
749,29,90,2,6,22,57,10
750,2,83,5,1,61,17,0
751,31,61,9,39,91,45,9
752,13,69,9,79,26,63,5
753,25,70,9,50,44,55,3
754,4,75,4,98,1,95,0
755,27,98,9,57,54,52,1
756,7,99,9,14,75,53,10
757,32,85,10,59,84,39,4
758,35,91,3,61,10,58,7
759,12,58,5,66,43,45,6
760,19,64,6,28,81,35,1
761,17,75,2,2,83,24,2
762,19,71,7,26,0,61,6
763,32,94,1,78,21,41,8
764,20,59,6,45,50,12,6
765,23,73,2,32,0,89,1
766,27,56,6,36,99,76,8
767,4,81,7,92,47,22,5
768,29,72,5,87,71,1,10
769,23,87,7,21,45,42,5
770,38,99,3,54,68,25,4
771,13,100,1,31,55,74,1
772,35,68,9,44,64,49,2
773,35,61,2,93,9,92,9
774,25,65,7,0,59,93,0
775,12,74,10,52,88,65,3
776,39,55,0,48,85,35,9
777,20,56,10,0,30,51,1
778,25,96,2,83,35,26,6
779,33,50,2,63,57,68,1
780,39,98,2,20,77,17,4
781,13,79,4,94,3,9,4
782,20,91,6,72,55,15,4
783,18,80,0,4,79,31,2
784,11,55,4,57,67,48,2
785,35,79,0,83,7,51,7
786,29,71,3,69,63,48,5
787,32,69,2,99,19,99,6
788,22,50,7,28,31,75,9
789,40,94,5,86,96,17,7
790,12,89,4,25,68,91,10
791,27,57,8,1,98,43,9
792,27,62,10,3,75,76,9
793,18,70,6,71,69,59,7
794,36,64,6,14,8,12,3
795,30,59,6,88,3,17,7
796,38,68,6,84,68,84,3
797,16,87,4,74,34,15,5
798,27,66,10,43,75,18,5
799,3,92,9,26,85,8,5
800,5,98,7,12,2,15,10
801,18,61,2,56,81,38,8
802,22,88,5,51,91,61,5
803,39,52,6,4,50,51,2
804,5,91,3,93,73,17,4
805,23,97,3,88,91,14,10
806,21,85,9,12,43,2,4
807,20,88,0,65,78,55,7
808,13,96,6,10,69,3,4
809,23,78,5,63,37,99,4
810,24,60,2,82,64,88,8
811,16,71,10,36,41,1,6
812,34,79,0,36,72,37,5
813,16,81,6,11,80,90,10
814,27,75,0,94,49,48,6
815,1,81,10,77,6,21,0
816,33,77,3,60,68,11,6
817,0,64,10,13,80,69,7
818,2,90,10,93,52,44,6
819,21,75,1,87,77,81,3
820,3,63,3,12,90,48,7
821,14,82,2,44,1,100,9
822,35,81,8,46,55,54,3
823,38,83,10,49,17,55,2
824,11,96,3,100,90,26,8
825,36,87,1,29,26,5,3
826,40,82,1,19,52,26,0
827,6,61,0,42,58,20,6
828,30,57,5,15,27,66,7
829,4,59,10,54,75,65,6
830,26,77,10,41,16,19,7
831,24,76,10,32,41,53,8
832,16,71,1,98,56,17,6
833,27,66,7,48,35,73,8
834,26,83,8,47,61,39,1
835,25,87,9,66,24,11,8
836,28,71,6,50,90,57,3
837,26,88,9,23,12,92,4
838,16,71,7,83,61,24,10
839,37,64,9,56,3,26,7
840,15,92,0,82,79,32,6
841,8,75,3,48,4,7,4
842,31,93,1,9,19,68,6
843,0,89,5,78,34,28,4
844,8,69,7,5,48,47,8
845,6,93,4,83,58,86,8
846,36,69,7,37,1,37,5
847,39,80,0,22,58,43,1
848,5,97,3,89,69,96,5
849,36,68,4,24,88,23,7
850,38,77,7,53,96,60,2
851,3,83,10,22,45,54,8
852,36,52,0,53,0,1,4
853,9,69,2,1,35,73,4
854,9,63,3,91,46,90,9
855,34,97,8,62,73,65,0
856,7,67,4,33,52,49,10
857,22,60,3,47,13,2,5
858,6,100,6,49,65,41,6
859,1,95,7,80,61,75,4
860,37,81,6,41,14,1,7
861,19,100,10,90,28,15,9
862,30,64,7,31,58,41,1
863,29,65,2,59,33,98,0
864,24,74,9,28,84,83,7
865,9,80,4,48,24,6,4
866,16,100,9,35,42,97,9
867,8,52,4,81,51,33,3
