,default_riesgo,ingreso_anual,edad,n_transacciones,segmento_cliente,region,score,cliente_riesgoso
91,0,707200,34,17,Gold,Norte,0.092457786586285,NO
92,0,306200,31,24,Bronze,Norte,0.0233287581557379,NO
93,0,603500,35,22,Bronze,Sur,-0.0161127486686001,NO
94,0,424600,48,14,Silver,Sur,0.2024028536379257,NO
95,0,539500,38,23,Silver,Norte,-0.0099760275314266,NO
96,0,544100,27,26,Silver,Norte,-0.044169010442848,NO
97,0,464800,58,16,Gold,Sur,-0.0645848988294018,NO
98,0,382400,43,20,Bronze,Sur,-0.1726803202706756,NO
99,0,396400,26,30,Bronze,Sur,0.0821615752237163,NO
100,0,362600,36,23,Bronze,Norte,-0.2348068397100826,NO
101,0,375200,41,25,Silver,Sur,-0.000572284090492,NO
102,0,489900,57,16,Silver,Norte,-0.0204860634271385,NO
103,0,392600,29,18,Bronze,Centro,0.2239965192231447,NO
104,1,602300,50,21,Silver,Sur,0.5168348771286373,YES
105,0,723100,54,22,Bronze,Centro,-0.0901103286984357,NO
106,0,413000,34,25,Bronze,Norte,-0.0136096458681649,NO
107,0,535900,37,26,Silver,Centro,-0.0197529337469168,NO
108,0,575000,30,21,Bronze,Sur,-0.0549544590810044,NO
109,0,570800,38,29,Silver,Centro,-0.0080987909402167,NO
110,0,511400,40,20,Gold,Centro,-0.1259562728869741,NO
111,0,611400,47,22,Gold,Centro,0.0357192878994939,NO
112,1,572300,51,17,Bronze,Norte,0.4678514657922421,YES
113,0,314400,33,23,Silver,Sur,-0.0025769355877257,NO
114,0,630400,20,25,Silver,Norte,-0.0600356694263573,NO
115,1,633100,40,30,Gold,Centro,0.8016287942756635,YES
116,0,385500,43,13,Gold,Centro,0.1755311070633304,NO
117,0,505700,42,20,Bronze,Norte,-0.0331052168750357,NO
118,1,602500,37,21,Bronze,Norte,0.839072592914143,YES
119,0,468600,41,27,Silver,Centro,-0.031611628063041,NO
120,0,660900,55,19,Silver,Sur,-0.096612652312909,NO
121,1,854600,44,18,Bronze,Norte,0.8745903632185619,YES
122,0,382100,36,18,Bronze,Centro,0.0520776444734006,NO
123,0,292800,35,20,Silver,Centro,0.0004438522609814,NO
124,0,545600,38,11,Bronze,Sur,0.0687177475098648,NO
125,0,608200,56,25,Bronze,Centro,0.0274215035130167,NO
126,0,465400,38,25,Bronze,Norte,-0.0069219407941518,NO
127,1,718000,40,25,Bronze,Centro,0.5673565172692003,YES
128,0,299200,35,21,Silver,Centro,-0.0270536737161266,NO
129,0,603900,51,11,Bronze,Centro,0.0623255423458472,NO
130,0,409100,60,14,Bronze,Centro,-0.012277142568681,NO
131,0,757900,45,20,Bronze,Sur,0.0902325761130385,NO
132,0,798900,41,24,Bronze,Norte,0.0383655023866789,NO
133,0,385000,40,21,Silver,Centro,-0.0878136318085407,NO
134,1,417600,18,20,Bronze,Norte,0.5680828042167876,YES
135,0,628900,47,25,Silver,Sur,-0.0157178499930168,NO
136,0,441900,41,16,Bronze,Norte,-0.0524228448104587,NO
137,0,493200,44,26,Bronze,Sur,0.0336321809621686,NO
138,0,503800,33,13,Bronze,Norte,-0.0718137658762729,NO
139,1,212000,36,21,Bronze,Norte,0.6384607674245122,YES
140,1,497900,36,23,Silver,Centro,0.8053069717594912,YES
141,0,396500,50,18,Silver,Norte,0.0148202968627897,NO
142,0,426000,36,23,Gold,Centro,-0.0702727065427293,NO
143,0,716500,61,25,Bronze,Centro,0.0017641808735019,NO
144,0,311500,44,21,Bronze,Norte,0.1378911243001682,NO
145,0,622000,27,26,Bronze,Centro,0.0293786688274722,NO
146,0,458200,39,16,Gold,Norte,0.0592950809425129,NO
147,0,458000,33,19,Bronze,Centro,-0.0752234536527442,NO
148,0,618600,18,27,Silver,Centro,0.10264193771346,NO
149,0,551000,56,22,Bronze,Sur,0.2318102260463801,NO
150,1,585600,47,17,Bronze,Sur,0.6208532357487146,YES
151,0,645200,45,18,Gold,Norte,-0.1181893974371989,NO
152,0,450300,42,15,Silver,Centro,0.0175542243835148,NO
153,0,408200,26,16,Gold,Sur,0.087550504984441,NO
154,1,337200,35,19,Silver,Sur,0.6908610327949738,YES
155,0,376200,48,21,Silver,Sur,-0.1053206396042662,NO
156,0,942400,29,17,Bronze,Centro,-0.010858416178039,NO
157,0,686700,18,20,Silver,Norte,0.0598092272777454,NO
158,0,297300,38,26,Bronze,Centro,-0.0407031826946059,NO
159,0,301600,39,14,Silver,Centro,0.0607255017754921,NO
160,0,572300,41,22,Silver,Sur,0.116471078523991,NO
161,0,582100,47,16,Gold,Centro,0.0240230625770447,NO
162,0,582300,46,23,Silver,Centro,-0.0027947771278292,NO
163,0,461800,43,29,Silver,Sur,0.0829343925226281,NO
164,0,481200,52,19,Bronze,Sur,-0.085610082743723,NO
165,0,549200,25,23,Bronze,Centro,-0.0954709833692922,NO
166,0,512900,45,26,Bronze,Sur,-0.0266572284928985,NO
167,0,167100,46,17,Silver,Norte,-0.0491879454814467,NO
168,0,465500,28,8,Platinum,Norte,-0.0803341975290475,NO
169,0,372300,25,26,Bronze,Norte,0.1830468474998774,NO
170,0,526300,33,22,Bronze,Norte,0.2171993209494291,NO
171,0,947800,33,25,Silver,Norte,-0.0353705042255582,NO
172,0,555100,48,26,Gold,Sur,0.0091718949748365,NO
173,0,453000,34,28,Silver,Sur,-0.018784282006379,NO
174,0,638300,31,16,Bronze,Norte,0.1107499240118156,NO
175,0,572400,34,20,Platinum,Norte,0.1305645561840047,NO
176,0,563000,51,21,Gold,Norte,-0.1777263798689646,NO
177,0,591000,40,22,Bronze,Sur,0.0476010800065625,NO
178,1,808500,38,20,Gold,Sur,0.5693178658838851,YES
179,0,330400,39,31,Silver,Centro,0.1758272157875278,NO
180,0,571000,53,19,Bronze,Centro,0.0440248030210398,NO
181,0,361000,33,23,Silver,Centro,-0.0823349538362636,NO
182,1,583300,53,27,Gold,Centro,0.6758678612062147,YES
183,1,362200,42,19,Silver,Sur,0.6711022741733841,YES
184,0,437400,38,14,Bronze,Sur,0.0525112942885815,NO
185,0,455700,65,25,Platinum,Sur,0.1041912604177478,NO
186,0,646400,29,17,Bronze,Sur,-0.114820729197171,NO
187,0,637800,36,19,Silver,Norte,0.1838754500912114,NO
188,0,313100,28,21,Silver,Centro,0.1605690107820843,NO
189,0,508200,50,28,Bronze,Sur,-0.0875323567591045,NO
190,0,393600,57,21,Bronze,Sur,0.0072801794362309,NO
191,1,311200,57,28,Gold,Centro,0.8710808544114316,YES
192,1,467400,52,18,Silver,Sur,0.8232918586677482,YES
193,0,453700,38,19,Silver,Norte,-0.0336743030047895,NO
194,0,864000,36,22,Silver,Sur,0.0814339814567873,NO
195,0,564900,23,15,Silver,Centro,0.2997198291719138,NO
196,0,293400,60,24,Silver,Norte,0.0105159981851212,NO
197,1,415300,45,7,Bronze,Norte,0.6367351748559981,YES
198,1,653200,35,10,Bronze,Centro,0.7172419852091398,YES
199,0,813300,53,20,Gold,Centro,0.0246552095497318,NO
200,0,262100,30,17,Silver,Norte,-0.0524536739000098,NO
201,0,218000,44,18,Bronze,Sur,0.0441625067814216,NO
202,0,780600,38,17,Gold,Centro,-0.1254401059727501,NO
203,1,558400,46,19,Gold,Norte,0.633446613299132,YES
204,0,369800,39,18,Bronze,Centro,0.0758244776154797,NO
205,0,580200,25,23,Platinum,Sur,-0.1754870851542251,NO
206,0,104600,41,27,Silver,Sur,0.0903167591994776,NO
207,0,500500,50,19,Bronze,Norte,-0.2011981365705703,NO
208,0,549200,40,30,Bronze,Sur,-0.1731324578876315,NO
209,0,638600,48,9,Silver,Sur,-0.0498978743055885,NO
210,0,347900,30,20,Gold,Sur,0.028686384281935,NO
211,0,512900,40,17,Bronze,Centro,0.1325263603127388,NO
212,0,361200,34,24,Bronze,Norte,0.0057622763159595,NO
213,0,538300,47,23,Bronze,Norte,-0.0246553607575989,NO
214,0,365700,40,24,Silver,Norte,0.0579581247984804,NO
215,0,438800,47,17,Bronze,Sur,-0.0870898820467934,NO
216,0,350600,51,22,Bronze,Centro,0.0139415159346406,NO
217,0,597700,47,21,Silver,Norte,-0.119944625795536,NO
218,0,628800,43,28,Gold,Centro,0.0082590516875413,NO
219,0,464800,30,24,Silver,Norte,-0.0129836325849403,NO
220,0,505700,40,23,Bronze,Sur,-0.0804267921449417,NO
221,0,282700,35,18,Silver,Norte,0.0165040636537739,NO
222,0,455000,37,25,Bronze,Norte,0.0158549653159642,NO
223,0,492500,36,19,Platinum,Sur,0.1175454012339135,NO
224,0,893100,30,24,Gold,Sur,-0.1605633403062787,NO
225,0,333200,20,18,Bronze,Norte,-0.0076048907697042,NO
226,1,719600,33,21,Bronze,Centro,0.623973760029652,YES
227,0,649500,42,16,Silver,Sur,0.0869762058176291,NO
228,1,542100,27,20,Silver,Norte,0.7753912065192132,YES
229,0,763800,40,18,Silver,Sur,0.0507879845068621,NO
230,0,555800,59,25,Gold,Centro,-0.0703833258069463,NO
231,0,558400,50,29,Gold,Norte,0.0885470582940095,NO
232,0,492000,56,22,Silver,Norte,-0.1530130928743331,NO
233,0,683500,44,16,Gold,Centro,-0.1735310703592771,NO
234,0,664500,52,18,Gold,Centro,-0.1275870999901924,NO
235,0,406100,33,11,Gold,Norte,-0.0033474810326905,NO
236,0,302100,34,20,Platinum,Centro,0.0675164400988293,NO
237,0,469600,18,25,Bronze,Centro,-0.2976032474009524,NO
238,0,380000,52,29,Bronze,Norte,0.1322742831879786,NO
239,0,490500,55,29,Gold,Sur,0.0131112196178434,NO
240,1,685600,34,22,Gold,Centro,0.5432227652410224,YES
241,1,431400,37,24,Gold,Sur,0.7100946970289581,YES
242,1,493600,32,13,Bronze,Sur,0.809252541467842,YES
243,0,508700,44,17,Silver,Sur,0.0599441015306259,NO
244,0,627300,51,21,Bronze,Centro,0.1099073062553966,NO
245,1,163000,23,16,Silver,Norte,0.5633753370602889,YES
246,0,409000,44,14,Bronze,Norte,-0.0414005235138404,NO
247,1,531700,37,25,Bronze,Norte,0.6075307769476468,YES
248,1,680000,41,20,Bronze,Norte,0.8717580205044317,YES
249,1,426200,45,16,Silver,Norte,0.763936284348663,YES
250,0,218500,38,21,Bronze,Norte,0.2847009588957641,NO
251,0,593000,39,24,Bronze,Sur,-0.0467609533417227,NO
252,1,404700,38,14,Bronze,Sur,0.6275325788317695,YES
253,0,321600,50,22,Bronze,Sur,-0.014282663859515,NO
254,0,406300,44,25,Gold,Centro,0.1378357221422549,NO
255,0,472300,42,19,Bronze,Centro,-0.0366119689375347,NO
256,1,409300,27,19,Bronze,Centro,0.7124437597906944,YES
257,0,169200,36,11,Gold,Norte,0.0096690702886819,NO
258,0,634600,49,19,Silver,Sur,0.0039496761202189,NO
259,0,691200,40,17,Silver,Centro,-0.0652398460462478,NO
260,0,597700,47,24,Silver,Sur,-0.0137291067910366,NO
261,1,329300,58,13,Gold,Norte,0.6819897398648642,YES
262,0,469800,50,15,Bronze,Sur,-0.0007564659674649,NO
263,0,499000,41,20,Platinum,Norte,0.0943516818152708,NO
264,1,589800,35,19,Gold,Centro,0.8760628034624492,YES
265,0,600300,18,15,Silver,Norte,-0.0840434762669706,NO
266,0,389900,38,15,Silver,Norte,-0.0391993624787715,NO
267,0,512300,37,20,Silver,Sur,-0.0825011898406186,NO
268,0,568600,44,18,Bronze,Norte,0.0187101537222272,NO
269,0,718400,38,21,Bronze,Centro,-0.0538349457510976,NO
270,0,605700,37,18,Platinum,Centro,0.0239796833741988,NO
271,0,618400,22,27,Silver,Norte,0.1103626910444787,NO
272,1,512600,31,17,Bronze,Sur,0.4474168314195391,YES
273,1,711600,45,21,Gold,Centro,0.749177988960069,YES
274,0,561500,57,22,Silver,Centro,-0.0460187048897879,NO
275,0,370800,39,28,Bronze,Norte,0.0460422267984389,NO
276,0,710500,43,14,Silver,Norte,-0.08964694377502,NO
277,0,604700,50,21,Silver,Centro,0.1196260988306875,NO
278,0,433500,32,14,Bronze,Norte,0.0913280618040284,NO
279,0,428100,44,17,Platinum,Norte,0.0568352148542642,NO
280,1,544500,33,17,Bronze,Centro,0.7793225717810098,YES
281,0,569500,49,32,Silver,Sur,-0.0745620467172173,NO
282,0,529600,42,26,Bronze,Sur,-0.0619623754689289,NO
283,0,546700,43,30,Silver,Centro,0.0752436200817479,NO
284,0,755000,32,19,Bronze,Norte,-0.0767729142768612,NO
285,0,660700,47,21,Bronze,Centro,0.1445635046658087,NO
286,0,528600,61,21,Gold,Centro,-0.0323591071281031,NO
287,0,641200,30,9,Bronze,Norte,0.0501894389860622,NO
288,0,345100,37,19,Gold,Sur,0.209924951925509,NO
289,0,559700,42,22,Silver,Sur,-0.0706223354068076,NO
290,0,771400,48,19,Platinum,Norte,0.0068761750844782,NO
291,0,467300,34,21,Silver,Centro,0.1054183164637307,NO
292,0,372900,18,30,Bronze,Norte,0.0951277388876531,NO
293,0,402200,54,23,Bronze,Centro,-0.0327815310239358,NO
294,0,336600,48,13,Gold,Norte,-0.0516730437521854,NO
295,0,382300,23,29,Gold,Norte,-0.0233135932545051,NO
296,0,444400,34,21,Bronze,Sur,0.1447857766151364,NO
297,0,289200,56,18,Silver,Sur,-0.0279105856359946,NO
298,0,502300,54,21,Silver,Norte,0.0078115692483465,NO
299,0,635300,49,16,Platinum,Norte,-0.0426786470923425,NO
300,0,363800,38,29,Gold,Sur,0.0705548564795986,NO
301,0,727900,41,19,Platinum,Centro,0.0155525037583656,NO
302,0,576600,39,25,Gold,Sur,-0.1003433810758229,NO
303,0,654600,51,25,Gold,Centro,-0.0968824114034994,NO
304,0,401300,31,26,Bronze,Sur,-0.1998605566555507,NO
305,1,628200,32,15,Gold,Sur,0.6168678590874384,YES
306,0,336200,50,17,Silver,Centro,0.0793945803632172,NO
307,0,633500,40,26,Platinum,Norte,0.1323760538012268,NO
308,0,525800,54,19,Silver,Sur,0.0685558363217184,NO
309,0,583000,33,18,Bronze,Sur,0.0554632200640681,NO
310,0,323700,39,29,Silver,Sur,-0.0126526049528649,NO
311,0,365700,31,18,Silver,Norte,0.0774914554913987,NO
312,0,589600,40,17,Bronze,Sur,0.0286278223081884,NO
313,1,357700,25,24,Bronze,Norte,0.8804448971987124,YES
314,0,569500,35,24,Silver,Sur,-0.0098445314176748,NO
315,0,294900,26,24,Bronze,Centro,0.1343008083736131,NO
316,0,627200,47,24,Bronze,Sur,0.087411408181786,NO
317,0,315100,47,16,Bronze,Sur,0.0735443286204158,NO
318,0,582800,23,18,Gold,Norte,-0.201149132546182,NO
319,0,593800,53,28,Gold,Norte,0.092918956154771,NO
320,0,395500,65,24,Bronze,Norte,-0.0127507978909153,NO
321,0,587300,40,28,Gold,Centro,-0.0443926494434891,NO
322,0,539100,34,23,Silver,Centro,-0.1482913041177913,NO
323,0,419200,68,16,Bronze,Norte,-0.0005587133968183,NO
324,1,348700,27,19,Bronze,Centro,0.7033551596818243,YES
325,0,205600,40,21,Silver,Norte,-0.1303001921814804,NO
326,0,552400,42,17,Silver,Centro,-0.1473280172893692,NO
327,0,265300,53,22,Gold,Norte,0.0486619480128111,NO
328,0,514300,44,24,Silver,Norte,0.0871705131061377,NO
329,0,460500,35,24,Bronze,Centro,0.0190282909922421,NO
330,0,601900,30,17,Platinum,Sur,0.1150834649684363,NO
331,0,454700,37,14,Bronze,Norte,-0.0086384984351498,NO
332,0,450600,30,26,Silver,Norte,-0.0054351274400202,NO
333,0,609800,40,25,Bronze,Sur,-0.091702802874079,NO
334,0,550300,34,15,Bronze,Norte,-0.1560241977553717,NO
335,0,547400,25,20,Silver,Norte,0.1854662133859584,NO
336,1,570400,53,14,Bronze,Centro,0.8131299050249746,YES
337,0,269700,35,12,Silver,Sur,-0.1392512567138478,NO
338,0,613500,27,19,Bronze,Norte,0.015575190783128,NO
339,0,591900,38,28,Silver,Norte,-0.0100046311103666,NO
340,0,347500,41,24,Silver,Sur,-0.0273992473163043,NO
341,0,463400,23,23,Bronze,Sur,-0.0409017847814939,NO
342,0,494100,43,29,Gold,Centro,0.0381269146967978,NO
343,0,479800,30,25,Bronze,Centro,0.0818175525471474,NO
344,0,550100,57,13,Bronze,Centro,0.0402391169028205,NO
345,0,714700,45,15,Silver,Norte,-0.0120518374379193,NO
346,0,662300,36,25,Silver,Sur,-0.015722671689112,NO
347,0,303200,33,20,Silver,Centro,0.0936814316922666,NO
348,0,593300,39,26,Bronze,Sur,0.0463444938116062,NO
349,0,699300,46,17,Gold,Norte,0.0072689463035433,NO
350,0,558000,40,16,Silver,Norte,-0.0035901297600107,NO
351,1,663600,38,20,Bronze,Sur,0.7345270509612288,YES
352,0,801800,41,27,Bronze,Sur,-0.0468348688559449,NO
353,0,653600,34,15,Gold,Centro,0.082153881730821,NO
354,0,537400,37,19,Silver,Sur,-0.1075858561837866,NO
355,0,656800,19,16,Bronze,Centro,-0.0411456509766481,NO
356,0,521700,50,22,Bronze,Sur,0.0611106095446024,NO
357,0,503600,43,22,Bronze,Sur,-0.1132882813354273,NO
358,1,447300,32,14,Silver,Sur,0.5426991457350498,YES
359,0,734500,59,16,Gold,Norte,0.006307767542924,NO
360,0,377200,41,11,Silver,Norte,-0.169645815444647,NO
361,0,729900,30,23,Silver,Norte,-0.1298803554051861,NO
362,0,575000,49,21,Gold,Centro,0.0756594118506432,NO
363,0,290100,44,17,Silver,Centro,-0.0204785257605735,NO
364,1,555100,44,21,Silver,Norte,0.8285486949708984,YES
365,0,185000,36,21,Bronze,Norte,-0.1204814340937455,NO
366,1,593800,45,15,Silver,Sur,0.6906047634367715,YES
367,1,632800,37,18,Silver,Sur,0.7399584553207759,YES
368,0,411100,46,24,Bronze,Centro,-0.1170514930128908,NO
369,0,518500,21,29,Platinum,Centro,0.1031761904499624,NO
370,0,793100,36,19,Gold,Sur,0.0510678883166038,NO
371,0,424100,57,21,Silver,Centro,-0.1609287086687434,NO
372,0,341200,32,10,Silver,Norte,-0.00377417962086,NO
373,0,722200,34,17,Silver,Sur,0.0385956736258632,NO
374,0,794400,36,22,Bronze,Sur,-0.0590056673528057,NO
375,0,500600,28,21,Bronze,Centro,-0.1479864905508814,NO
376,0,651700,18,26,Gold,Sur,0.027845878944741,NO
377,0,701200,38,18,Silver,Sur,0.2211242950282561,NO
378,0,388600,41,25,Gold,Norte,-0.038698409915769,NO
379,0,427200,39,23,Bronze,Sur,0.1569241181284708,NO
380,0,684600,39,18,Silver,Sur,-0.0752288821761468,NO
381,0,752800,40,22,Silver,Sur,0.0215545635009951,NO
382,0,584400,50,16,Silver,Sur,0.0771522530876119,NO
383,1,368000,38,21,Gold,Norte,0.6991586334028634,YES
384,0,798100,34,21,Platinum,Sur,-0.0297735648881231,NO
385,0,420400,37,34,Bronze,Norte,0.0726127521350373,NO
386,0,449700,46,27,Bronze,Norte,0.189145511526922,NO
387,0,551400,54,18,Bronze,Norte,0.0300586924639131,NO
388,0,733100,34,27,Silver,Centro,-0.0516060176530347,NO
389,0,628100,41,21,Bronze,Centro,-0.0189751557259683,NO
390,1,562200,43,25,Silver,Sur,0.9519707645645374,YES
391,0,569500,30,25,Silver,Norte,0.0134907116338127,NO
392,0,506500,40,19,Silver,Centro,-0.0594413698577972,NO
393,0,583700,25,15,Gold,Sur,-0.114506791648254,NO
394,0,120600,22,25,Silver,Centro,-0.1825901094112605,NO
395,1,455500,44,21,Silver,Norte,0.736358427384619,YES
396,1,536200,36,14,Bronze,Sur,0.7654641992824504,YES
397,0,327300,42,19,Silver,Norte,-0.0396696179965206,NO
398,0,557900,40,26,Silver,Norte,-0.0014970418030954,NO
399,0,469300,30,24,Silver,Centro,-0.1170461709288623,NO
400,0,763300,40,13,Gold,Sur,0.0132928464827501,NO
401,1,736000,28,17,Gold,Sur,0.7481495320567124,YES
402,0,430100,54,13,Gold,Sur,-0.0535164267167637,NO
403,0,477400,26,24,Bronze,Centro,0.1690452669585839,NO
404,0,488900,38,22,Silver,Sur,-0.0837106326746911,NO
405,1,432300,30,13,Bronze,Centro,0.7283476604018981,YES
406,0,529300,46,22,Bronze,Sur,0.0848317219704605,NO
407,0,386300,37,19,Bronze,Centro,-0.0077289500149382,NO
408,1,330400,35,24,Bronze,Sur,0.6811523181105508,YES
409,0,593400,49,20,Bronze,Centro,-0.1428866150449662,NO
410,0,594400,40,18,Silver,Norte,0.1357341495716283,NO
411,1,379400,45,20,Platinum,Norte,0.6830106798332404,YES
412,1,634300,30,16,Bronze,Norte,0.7537365424934824,YES
413,0,405300,26,18,Gold,Sur,0.067272048786014,NO
414,0,538000,41,18,Bronze,Centro,-0.0628298492017753,NO
415,0,623100,37,18,Bronze,Norte,-0.0197528604291214,NO
416,0,495000,46,27,Silver,Sur,0.1334482350743503,NO
417,0,568200,39,17,Silver,Centro,-0.1117197665740445,NO
418,0,422500,42,28,Bronze,Norte,0.2127918074757256,NO
419,0,470500,24,21,Bronze,Norte,-0.0744872785276274,NO
420,0,469100,59,11,Silver,Sur,-0.1179517456640511,NO
421,0,388000,38,14,Bronze,Centro,0.0132309020688534,NO
422,0,473500,47,24,Silver,Sur,0.2208348264339871,NO
423,0,267700,32,18,Silver,Norte,-0.1910965935592205,NO
424,0,426300,43,17,Bronze,Sur,-0.0141015718489692,NO
425,0,457300,27,21,Gold,Sur,0.0476265017256555,NO
426,0,461600,45,20,Bronze,Norte,0.0033649958535531,NO
427,1,463800,36,19,Silver,Norte,0.7381921670003009,YES
428,0,490700,40,17,Gold,Centro,-0.0718033082172274,NO
429,0,571900,47,18,Platinum,Centro,-0.0599721845931381,NO
430,0,631200,28,18,Silver,Norte,-0.0148422647159199,NO
431,0,402500,33,12,Silver,Norte,-0.1129888087902751,NO
432,0,319500,45,26,Bronze,Centro,-0.0044686401440189,NO
433,0,343700,61,18,Silver,Sur,-0.0388745293671501,NO
434,0,426900,39,22,Silver,Norte,-0.0470045185154868,NO
435,0,447200,46,24,Silver,Norte,0.0320506412598637,NO
436,0,384500,39,21,Gold,Sur,-0.1820659493199304,NO
