ID,Edad,Nivel_Educativo,Experiencia_Anios,Departamento,Horas_Entrenamiento_Mensual,Satisfaccion_Laboral,Remoto,Salario_Mensual
96,42,Técnica,18,Recursos Humanos,15,Alta,No,4747.9
97,24,Técnica,5,TI,9,Alta,No,4081.27
98,26,Universitaria,2,Recursos Humanos,12,Alta,No,3338.77
99,41,Técnica,23,TI,13,Alta,No,6043.67
100,18,Postgrado,0,Ventas,11,Muy Alta,No,4349.74
101,61,Universitaria,39,Recursos Humanos,6,Muy Alta,No,8193.61
102,25,Secundaria,7,Marketing,7,Baja,Sí,3161.1
103,41,Postgrado,23,Finanzas,12,Alta,No,6093.62
104,28,Técnica,8,TI,14,Alta,Sí,4332.34
105,34,Postgrado,13,Ventas,13,Muy Alta,No,5670.51
106,25,Técnica,2,Ventas,8,Baja,Sí,2852.05
107,52,Técnica,30,Finanzas,6,Alta,No,6727.81
108,52,Universitaria,28,Recursos Humanos,10,Alta,Sí,6588.7
109,50,Técnica,31,Marketing,5,Alta,No,6456.62
110,22,Postgrado,4,Finanzas,12,Media,Sí,4510.48
111,59,Técnica,36,Recursos Humanos,4,Alta,No,7392.94
112,56,Técnica,34,Recursos Humanos,15,Media,No,6686.29
113,58,Postgrado,39,TI,13,Alta,Sí,9030.18
114,45,Universitaria,22,Marketing,8,Alta,Sí,6225.9
115,24,Técnica,3,Marketing,8,Alta,No,3599.0
116,26,Técnica,5,TI,6,Alta,No,3875.04
117,25,Secundaria,3,Recursos Humanos,10,Alta,Sí,3312.66
118,29,Secundaria,5,Recursos Humanos,12,Media,Sí,3312.72
119,51,Postgrado,32,Marketing,11,Baja,No,7635.6
120,50,Postgrado,29,Marketing,7,Baja,Sí,6649.01
121,65,Universitaria,40,Marketing,7,Alta,No,7670.37
122,40,Postgrado,19,Marketing,12,Baja,No,5525.2
123,41,Secundaria,20,Recursos Humanos,9,Media,Sí,4972.87
124,54,Técnica,31,Marketing,6,Media,No,6142.17
125,52,Secundaria,29,Recursos Humanos,14,Alta,No,6430.28
126,61,Universitaria,40,TI,14,Alta,No,8257.93
127,57,Postgrado,37,Ventas,8,Alta,No,8474.71
128,39,Técnica,16,TI,11,Alta,No,5047.43
129,44,Universitaria,25,TI,11,Alta,No,6092.64
130,52,Universitaria,30,Finanzas,10,Muy Alta,No,7079.25
131,18,Secundaria,0,TI,16,Media,Sí,2807.45
132,52,Técnica,28,Finanzas,9,Alta,Sí,7069.18
133,54,Secundaria,35,Finanzas,11,Alta,No,7015.34
134,64,Universitaria,40,Finanzas,9,Alta,No,8320.39
135,31,Técnica,12,TI,9,Alta,Sí,5072.28
136,20,Universitaria,0,Ventas,10,Alta,No,3627.5
137,18,Postgrado,0,Finanzas,15,Muy Alta,No,4045.93
138,22,Técnica,4,Marketing,7,Media,Sí,3344.95
139,43,Postgrado,19,Marketing,13,Alta,Sí,6882.65
140,31,Técnica,9,Recursos Humanos,9,Media,Sí,3836.68
141,56,Técnica,38,Marketing,17,Alta,No,7558.39
142,44,Universitaria,20,Marketing,10,Muy Alta,No,5486.86
143,26,Técnica,5,Finanzas,9,Alta,Sí,4458.58
144,32,Secundaria,11,TI,4,Alta,No,4046.4
145,32,Secundaria,10,Marketing,13,Media,No,4140.62
146,43,Universitaria,22,TI,8,Muy Alta,No,6371.9
147,59,Postgrado,40,Ventas,11,Muy Alta,Sí,9192.9
148,30,Técnica,6,Marketing,11,Alta,No,3751.83
149,49,Secundaria,31,Ventas,3,Muy Alta,Sí,5960.11
150,56,Universitaria,37,Ventas,18,Alta,Sí,8431.0
151,49,Postgrado,28,Recursos Humanos,10,Muy Alta,Sí,7530.3
152,21,Técnica,0,TI,10,Muy Alta,Sí,3568.88
153,47,Técnica,29,TI,7,Media,No,6487.89
154,54,Técnica,35,Recursos Humanos,5,Alta,No,7147.93
155,40,Postgrado,16,Finanzas,6,Media,No,5787.34
156,56,Técnica,34,Recursos Humanos,9,Media,Sí,6778.33
157,62,Universitaria,40,Recursos Humanos,9,Alta,No,8322.52
158,32,Secundaria,9,Recursos Humanos,8,Media,No,3473.82
159,60,Técnica,39,Ventas,11,Muy Alta,Sí,8168.7
160,46,Técnica,28,TI,6,Baja,Sí,6229.91
161,53,Secundaria,31,Finanzas,14,Baja,No,6305.23
162,30,Secundaria,12,Marketing,10,Muy Alta,Sí,4116.23
163,49,Técnica,27,Marketing,9,Media,No,5508.41
164,24,Universitaria,0,Marketing,10,Baja,No,3024.0
165,39,Técnica,21,Finanzas,7,Alta,Sí,6481.69
166,45,Técnica,24,Marketing,11,Media,No,6317.92
167,19,Universitaria,0,Finanzas,7,Baja,Sí,3123.2
168,59,Técnica,35,Marketing,18,Alta,Sí,7871.46
169,62,Secundaria,40,Marketing,9,Media,Sí,7951.44
170,23,Técnica,3,Finanzas,13,Muy Alta,No,3391.24
171,45,Postgrado,27,TI,6,Media,Sí,7079.92
172,45,Secundaria,27,Finanzas,12,Media,No,5153.6
173,61,Secundaria,40,Finanzas,14,Alta,Sí,7606.62
174,61,Secundaria,39,Recursos Humanos,9,Muy Alta,Sí,7577.95
175,37,Técnica,14,Ventas,12,Baja,Sí,4731.49
176,47,Universitaria,27,Ventas,7,Media,No,6400.89
177,28,Postgrado,7,TI,13,Alta,No,4567.1
178,45,Universitaria,26,TI,10,Alta,No,7000.95
179,42,Técnica,22,TI,5,Baja,Sí,4896.42
180,56,Universitaria,34,Ventas,13,Media,Sí,7131.78
181,50,Universitaria,30,TI,10,Muy Alta,No,7472.25
182,18,Secundaria,0,TI,5,Muy Alta,Sí,2938.24
183,44,Técnica,26,Finanzas,8,Media,Sí,6325.01
184,30,Técnica,6,Finanzas,11,Media,Sí,4169.2
185,58,Secundaria,40,Ventas,15,Alta,No,7863.98
186,20,Secundaria,1,Finanzas,10,Baja,No,2899.04
187,56,Secundaria,34,TI,11,Media,Sí,6870.99
188,23,Postgrado,1,Finanzas,10,Media,No,3489.96
189,25,Técnica,5,Recursos Humanos,7,Media,No,3182.02
190,44,Técnica,25,Finanzas,16,Media,Sí,5936.93
191,26,Técnica,4,Ventas,9,Alta,Sí,4001.99
192,54,Secundaria,31,TI,10,Alta,No,6616.25
193,50,Técnica,27,TI,13,Muy Alta,No,6954.48
194,59,Secundaria,35,Ventas,13,Alta,Sí,7562.82
195,61,Universitaria,40,Finanzas,8,Alta,No,7972.25
196,41,Postgrado,21,TI,12,Media,No,6424.21
197,32,Técnica,11,TI,3,Muy Alta,No,4542.13
198,49,Universitaria,31,Recursos Humanos,8,Baja,Sí,6618.3
199,49,Técnica,30,Ventas,12,Alta,Sí,7383.41
200,41,Técnica,19,Finanzas,13,Media,No,5183.68
201,58,Técnica,40,Finanzas,8,Alta,No,8210.28
202,29,Universitaria,8,TI,5,Muy Alta,Sí,5419.52
203,56,Postgrado,35,Marketing,14,Media,No,7408.82
204,19,Universitaria,0,Recursos Humanos,8,Baja,No,3087.48
205,20,Postgrado,1,Recursos Humanos,15,Media,No,3542.11
206,54,Universitaria,36,Recursos Humanos,7,Alta,Sí,7872.65
207,34,Universitaria,14,TI,7,Alta,No,5219.98
208,19,Universitaria,1,Ventas,12,Baja,No,2991.12
209,19,Universitaria,0,Ventas,7,Media,Sí,3631.44
210,45,Universitaria,21,Recursos Humanos,12,Alta,Sí,6516.56
211,40,Universitaria,19,Marketing,12,Baja,Sí,5698.12
212,54,Técnica,35,Marketing,10,Muy Alta,No,7716.2
213,49,Secundaria,30,Finanzas,15,Alta,Sí,6504.02
214,50,Universitaria,30,Marketing,10,Media,No,6691.82
215,18,Técnica,0,Recursos Humanos,5,Muy Alta,No,3278.26
216,36,Universitaria,13,Finanzas,16,Alta,No,5101.28
217,19,Secundaria,0,Recursos Humanos,14,Alta,No,2745.59
218,61,Postgrado,38,Ventas,9,Media,No,8201.16
219,43,Universitaria,24,Recursos Humanos,18,Media,Sí,6107.21
220,49,Secundaria,30,Finanzas,7,Media,No,6455.97
221,23,Universitaria,0,Recursos Humanos,11,Alta,Sí,3616.7
222,49,Técnica,30,TI,11,Muy Alta,Sí,7594.8
223,21,Técnica,2,Finanzas,10,Media,Sí,3662.38
224,28,Postgrado,7,Marketing,12,Muy Alta,No,5184.4
225,34,Universitaria,16,Ventas,7,Media,Sí,5216.37
226,55,Secundaria,33,Marketing,7,Media,No,6445.35
227,41,Secundaria,22,Recursos Humanos,9,Media,No,5195.93
228,22,Universitaria,0,Marketing,5,Alta,Sí,3740.51
229,51,Universitaria,27,Finanzas,12,Alta,No,6887.52
230,23,Universitaria,1,TI,9,Alta,No,3518.49
231,39,Universitaria,18,Marketing,13,Alta,Sí,6450.74
232,28,Postgrado,9,Recursos Humanos,14,Baja,No,4401.19
233,65,Universitaria,40,Marketing,11,Alta,No,7536.76
234,33,Técnica,11,Marketing,11,Alta,Sí,4361.17
235,50,Universitaria,31,Finanzas,11,Baja,Sí,7023.81
236,26,Secundaria,6,Recursos Humanos,8,Muy Alta,No,3607.85
237,23,Postgrado,0,Recursos Humanos,8,Baja,No,3593.66
238,33,Técnica,10,TI,11,Alta,No,4368.52
239,46,Universitaria,26,Finanzas,12,Alta,Sí,6695.14
240,20,Universitaria,0,Finanzas,14,Muy Alta,No,3429.98
241,37,Secundaria,15,Ventas,11,Alta,Sí,4998.36
242,53,Técnica,33,TI,11,Alta,No,6757.93
243,36,Universitaria,15,TI,17,Alta,No,5089.4
244,43,Postgrado,22,Recursos Humanos,6,Muy Alta,No,7113.27
245,20,Universitaria,0,Recursos Humanos,12,Alta,Sí,3558.87
246,36,Universitaria,17,TI,9,Media,No,4652.2
247,37,Técnica,19,Finanzas,9,Muy Alta,Sí,6004.42
248,49,Postgrado,30,Ventas,3,Alta,Sí,8061.21
249,24,Técnica,5,Recursos Humanos,10,Baja,No,2928.76
250,58,Secundaria,39,Ventas,8,Media,No,7247.9
251,50,Secundaria,31,TI,11,Muy Alta,No,7374.08
252,57,Postgrado,34,Finanzas,6,Alta,No,8329.53
253,56,Universitaria,38,Ventas,10,Media,Sí,8529.22
254,35,Técnica,12,Marketing,9,Media,No,4217.38
255,57,Secundaria,37,TI,10,Media,No,6924.61
256,18,Postgrado,0,Finanzas,7,Media,Sí,4177.08
257,28,Técnica,9,TI,2,Muy Alta,No,4461.89
258,45,Técnica,21,TI,10,Media,No,5854.03
259,42,Universitaria,21,Ventas,11,Alta,No,5940.67
260,40,Secundaria,18,Ventas,7,Media,No,5016.92
261,48,Técnica,26,Marketing,7,Alta,Sí,6247.29
262,47,Postgrado,24,Recursos Humanos,9,Media,Sí,6369.04
263,59,Universitaria,36,Marketing,8,Media,Sí,7814.77
264,52,Técnica,31,Finanzas,5,Alta,Sí,6774.78
265,24,Universitaria,5,Finanzas,11,Muy Alta,No,3854.73
266,33,Universitaria,9,TI,13,Media,Sí,4057.75
267,43,Secundaria,19,Ventas,3,Alta,No,5221.78
268,65,Universitaria,40,TI,8,Media,Sí,8221.7
269,19,Técnica,0,Recursos Humanos,4,Baja,No,2450.73
270,18,Universitaria,0,TI,6,Alta,Sí,3677.22
271,65,Técnica,40,Finanzas,6,Alta,No,8120.45
272,29,Universitaria,11,Finanzas,11,Media,Sí,4904.09
273,22,Universitaria,0,Marketing,5,Muy Alta,Sí,3974.88
274,54,Secundaria,30,TI,3,Alta,No,6510.1
275,49,Secundaria,27,Ventas,7,Media,No,5655.33
276,26,Universitaria,6,Recursos Humanos,12,Alta,No,4420.83
277,58,Postgrado,35,Recursos Humanos,9,Media,No,7500.23
278,52,Universitaria,34,Ventas,14,Baja,No,7296.22
279,36,Técnica,16,Recursos Humanos,12,Baja,No,4424.12
280,65,Técnica,40,Ventas,9,Media,No,7214.11
281,33,Técnica,14,Ventas,10,Media,Sí,4254.06
282,20,Universitaria,0,Marketing,3,Media,No,2688.64
283,37,Postgrado,19,TI,7,Alta,No,6278.04
284,41,Técnica,21,Finanzas,14,Media,No,5874.6
285,50,Secundaria,26,Finanzas,9,Alta,No,6289.59
286,41,Postgrado,22,TI,11,Muy Alta,Sí,7042.68
287,28,Universitaria,9,Recursos Humanos,10,Alta,No,4527.53
288,25,Universitaria,7,Ventas,7,Alta,No,3892.68
289,53,Técnica,32,Finanzas,10,Muy Alta,No,7323.58
290,55,Universitaria,31,Marketing,13,Media,No,7265.66
291,57,Técnica,33,Recursos Humanos,15,Media,Sí,7047.15
292,37,Secundaria,15,Marketing,14,Alta,Sí,5077.52
293,52,Secundaria,34,Finanzas,6,Baja,No,6227.24
294,65,Postgrado,40,TI,16,Alta,Sí,9094.45
295,42,Técnica,23,TI,10,Media,No,5588.99
296,52,Universitaria,34,Marketing,9,Muy Alta,No,7993.89
297,42,Postgrado,21,Recursos Humanos,15,Media,Sí,6725.23
298,46,Secundaria,24,Finanzas,7,Alta,Sí,5536.55
299,35,Universitaria,15,Ventas,12,Media,No,4974.57
300,63,Universitaria,40,TI,8,Muy Alta,Sí,8450.7
301,35,Técnica,13,Marketing,9,Media,Sí,4994.06
302,19,Técnica,0,Finanzas,16,Muy Alta,No,3711.18
303,52,Secundaria,30,Recursos Humanos,18,Alta,No,6348.53
304,33,Técnica,10,Ventas,5,Alta,No,4508.9
305,58,Técnica,39,Ventas,12,Alta,No,7694.56
306,53,Universitaria,33,TI,12,Baja,No,6834.93
307,50,Técnica,32,Ventas,6,Alta,No,7127.06
308,21,Universitaria,2,Finanzas,10,Media,No,3722.26
309,50,Universitaria,27,TI,9,Media,No,6246.58
310,31,Universitaria,8,TI,8,Muy Alta,No,4631.61
311,38,Universitaria,19,TI,8,Muy Alta,Sí,6051.42
312,65,Universitaria,40,Finanzas,8,Muy Alta,No,7924.76
313,37,Universitaria,15,Marketing,7,Muy Alta,Sí,5477.01
314,25,Técnica,7,Ventas,8,Muy Alta,Sí,4374.42
315,24,Técnica,6,Ventas,12,Muy Alta,No,3863.29
316,20,Postgrado,2,Marketing,18,Media,Sí,3828.68
317,34,Universitaria,15,TI,14,Baja,Sí,5067.12
318,50,Universitaria,26,Recursos Humanos,8,Media,Sí,6560.8
319,65,Universitaria,40,Finanzas,11,Media,No,8160.35
320,29,Secundaria,9,TI,8,Muy Alta,No,4070.73
321,39,Universitaria,16,TI,12,Muy Alta,No,5852.06
322,39,Universitaria,20,TI,4,Media,No,5891.48
323,63,Universitaria,39,Ventas,7,Baja,No,8016.41
324,47,Secundaria,27,Ventas,17,Media,No,6211.38
325,55,Técnica,32,Recursos Humanos,9,Alta,Sí,7429.83
326,55,Técnica,32,Finanzas,7,Muy Alta,No,6964.87
327,62,Técnica,40,TI,5,Alta,Sí,7707.05
328,25,Técnica,3,Ventas,12,Media,Sí,3668.0
329,44,Técnica,26,Marketing,5,Alta,No,6650.39
330,44,Universitaria,24,Ventas,7,Media,No,5963.11
331,51,Universitaria,32,TI,11,Alta,No,7586.27
332,38,Técnica,18,TI,10,Alta,Sí,5981.49
333,47,Universitaria,25,Ventas,10,Muy Alta,Sí,6809.93
334,50,Postgrado,32,Marketing,11,Muy Alta,Sí,7647.26
335,45,Técnica,25,Marketing,5,Alta,No,6545.92
336,64,Postgrado,40,TI,10,Alta,No,8839.63
337,50,Técnica,31,Ventas,11,Media,No,6737.12
338,22,Postgrado,1,Finanzas,8,Media,No,3985.98
339,65,Postgrado,40,Finanzas,9,Muy Alta,No,8770.77
340,36,Secundaria,13,TI,8,Media,Sí,4768.22
341,21,Técnica,2,Marketing,18,Alta,No,3411.23
342,52,Universitaria,34,Finanzas,8,Muy Alta,No,7208.75
343,34,Secundaria,11,Ventas,14,Alta,No,4022.3
344,61,Universitaria,37,Recursos Humanos,8,Muy Alta,Sí,7707.43
345,45,Universitaria,26,Recursos Humanos,9,Baja,No,6234.1
346,47,Técnica,28,Marketing,3,Alta,Sí,7276.84
347,46,Técnica,27,Recursos Humanos,12,Baja,No,5649.37
348,63,Universitaria,40,Ventas,9,Alta,No,8142.9
349,23,Técnica,0,TI,7,Alta,Sí,2846.12
350,52,Secundaria,34,TI,10,Alta,Sí,6997.86
351,58,Universitaria,34,Ventas,11,Media,No,7450.5
352,54,Universitaria,32,TI,12,Muy Alta,No,6961.65
353,41,Técnica,21,Ventas,8,Alta,No,5869.94
354,46,Secundaria,25,Ventas,9,Media,No,5525.4
355,63,Universitaria,39,Recursos Humanos,9,Muy Alta,No,8317.75
356,48,Universitaria,28,Recursos Humanos,11,Muy Alta,Sí,6896.87
357,52,Técnica,32,Marketing,10,Media,No,6815.19
358,50,Técnica,29,Recursos Humanos,7,Alta,No,7098.59
359,38,Postgrado,14,TI,11,Alta,Sí,5928.09
360,49,Universitaria,26,Recursos Humanos,13,Alta,Sí,7042.61
361,40,Técnica,22,Ventas,9,Alta,Sí,5543.96
362,50,Universitaria,29,Recursos Humanos,8,Media,Sí,7640.71
363,20,Técnica,2,TI,7,Alta,No,3228.04
364,35,Secundaria,12,Marketing,6,Muy Alta,Sí,4754.32
365,42,Postgrado,22,Finanzas,8,Baja,No,6123.35
366,59,Universitaria,40,Ventas,15,Alta,No,8371.45
367,48,Universitaria,25,TI,6,Muy Alta,Sí,7096.28
368,20,Universitaria,0,TI,10,Media,Sí,3772.43
369,57,Universitaria,35,Finanzas,12,Muy Alta,No,7435.93
370,63,Postgrado,40,Marketing,10,Media,Sí,8173.62
371,41,Postgrado,19,Ventas,8,Baja,Sí,5831.77
372,49,Universitaria,29,Marketing,14,Alta,Sí,7300.9
373,64,Postgrado,40,Finanzas,14,Alta,Sí,8836.02
374,39,Universitaria,19,Ventas,7,Media,Sí,5435.98
375,40,Universitaria,18,Recursos Humanos,10,Baja,Sí,5654.89
376,19,Técnica,0,Marketing,13,Alta,No,3628.11
377,44,Postgrado,21,Recursos Humanos,13,Media,Sí,6295.88
378,59,Postgrado,39,Ventas,8,Media,No,8472.12
379,19,Secundaria,0,Finanzas,16,Alta,Sí,2507.81
380,43,Técnica,22,Recursos Humanos,10,Alta,Sí,5832.22
381,34,Secundaria,14,Recursos Humanos,18,Muy Alta,No,4918.78
382,57,Secundaria,36,TI,9,Media,Sí,7100.19
383,50,Técnica,27,Ventas,13,Media,Sí,6114.36
384,26,Universitaria,2,Finanzas,15,Alta,No,3668.51
385,60,Técnica,37,TI,11,Muy Alta,Sí,8203.62
386,65,Técnica,40,Marketing,7,Alta,No,7844.65
387,56,Secundaria,36,Finanzas,6,Media,Sí,6885.88
388,46,Técnica,24,TI,14,Muy Alta,Sí,6521.15
389,59,Técnica,38,Marketing,7,Alta,Sí,7825.28
390,43,Técnica,22,Finanzas,11,Media,No,5900.77
391,52,Universitaria,31,TI,14,Muy Alta,No,7280.75
392,42,Técnica,21,Finanzas,9,Media,No,5587.36
393,41,Universitaria,21,Recursos Humanos,11,Muy Alta,No,5850.6
394,30,Postgrado,8,TI,8,Alta,No,4842.24
395,24,Universitaria,2,Recursos Humanos,12,Alta,No,4173.97
396,53,Técnica,35,TI,14,Media,No,6515.78
397,62,Secundaria,40,Recursos Humanos,5,Media,No,7507.22
398,37,Postgrado,16,Ventas,12,Media,Sí,5622.87
399,18,Universitaria,0,Recursos Humanos,9,Media,No,3281.11
400,25,Técnica,3,Ventas,6,Media,No,3184.39
401,63,Secundaria,40,Finanzas,9,Baja,Sí,7355.15
402,33,Secundaria,10,Marketing,9,Alta,No,4145.89
403,31,Secundaria,12,Marketing,5,Alta,No,3809.02
404,29,Universitaria,7,Marketing,12,Media,Sí,4466.25
405,40,Universitaria,16,Ventas,11,Alta,No,5906.02
406,32,Postgrado,11,Marketing,3,Baja,No,4662.5
407,45,Técnica,26,Marketing,16,Muy Alta,No,6326.61
408,51,Universitaria,31,Recursos Humanos,13,Media,Sí,7125.01
409,19,Secundaria,0,Marketing,11,Alta,Sí,3032.02
410,49,Universitaria,31,Ventas,12,Media,Sí,6953.22
411,40,Técnica,18,Recursos Humanos,10,Alta,Sí,5634.04
412,39,Universitaria,17,Ventas,16,Muy Alta,No,6358.36
413,42,Universitaria,23,TI,8,Muy Alta,No,6952.11
414,39,Secundaria,18,Marketing,7,Alta,No,5234.26
415,39,Postgrado,17,Ventas,14,Alta,Sí,6343.27
416,59,Universitaria,40,Ventas,8,Muy Alta,Sí,8992.03
417,23,Técnica,4,Recursos Humanos,5,Alta,No,3611.89
418,32,Universitaria,9,TI,9,Muy Alta,No,4348.58
419,60,Postgrado,37,TI,8,Media,No,8376.83
420,54,Postgrado,32,Marketing,7,Alta,No,7229.18
421,50,Universitaria,31,Finanzas,8,Alta,No,7042.76
422,25,Universitaria,7,Finanzas,14,Media,Sí,4469.48
423,61,Secundaria,40,Recursos Humanos,15,Alta,No,7369.5
424,61,Secundaria,38,Marketing,12,Media,Sí,7901.41
425,22,Postgrado,0,Recursos Humanos,10,Alta,No,3723.95
426,56,Universitaria,35,Marketing,5,Baja,No,6900.73
427,21,Secundaria,0,TI,10,Alta,No,2888.85
428,23,Universitaria,5,Finanzas,7,Alta,Sí,4011.96
429,62,Técnica,40,Ventas,9,Media,No,7620.59
430,49,Técnica,26,Finanzas,13,Alta,Sí,6594.69
431,47,Universitaria,24,Marketing,10,Alta,Sí,6765.68
432,64,Técnica,40,Finanzas,9,Alta,No,8112.45
433,52,Técnica,29,Ventas,10,Alta,No,6601.26
434,57,Postgrado,37,TI,9,Media,No,7673.5
435,33,Secundaria,9,TI,14,Baja,No,3656.52
436,30,Técnica,11,Marketing,10,Muy Alta,Sí,4849.05
437,59,Universitaria,40,Finanzas,13,Alta,Sí,8500.74
438,47,Técnica,27,Marketing,12,Alta,Sí,6357.39
439,36,Universitaria,15,Finanzas,6,Media,No,5149.81
440,34,Secundaria,14,Recursos Humanos,13,Alta,Sí,4469.0
441,36,Postgrado,14,Marketing,6,Muy Alta,No,5785.57
442,45,Universitaria,24,Finanzas,7,Media,No,5631.75
