actividad_fisica,pasos_diarios,calorias_gastadas,horas_de_sueno,nivel_descanso
5.5,10924.53,2246.56,8.84,94.59
6.46,12714.69,2441.37,6.84,57.8
4.28,8409.88,1726.48,8.61,88.35
4.72,9966.48,1912.45,7.53,72.62
3.34,6513.37,1424.76,7.9,75.22
3.21,5740.85,1460.44,7.16,74.38
6.22,12809.4,2351.05,7.65,67.8
7.03,13966.28,2808.5,7.96,70.8
4.89,9799.67,1929.16,7.97,82.82
6.51,13814.39,2645.49,8.04,82.86
5.54,11074.63,2238.55,7.24,73.11
4.03,8209.23,1577.67,7.16,67.24
5.54,10494.73,2172.75,6.38,67.56
7.31,14504.27,2811.18,7.87,82.06
4.95,10197.28,2077.29,8.26,83.0
7.35,13916.24,2984.71,8.63,80.43
1.07,2241.19,519.93,7.71,75.01
6.23,12516.1,2462.1,6.96,73.82
5.13,10281.78,1986.54,6.31,69.76
4.55,9621.56,1712.76,8.23,80.66
5.14,10442.5,2090.95,6.24,61.18
2.02,4776.33,703.48,7.26,71.81
4.67,8844.19,2053.06,7.34,74.8
5.54,11139.3,2083.5,7.45,71.61
7.22,14475.92,2914.1,7.53,60.78
4.22,7910.56,1845.72,7.6,81.93
3.79,8052.67,1574.81,5.81,67.07
4.25,9657.07,1716.51,7.51,72.04
6.37,12737.7,2452.39,5.94,54.06
5.49,11238.76,2059.07,8.01,79.44
4.21,8452.98,1759.15,7.11,70.18
5.77,11183.01,2458.58,5.99,64.88
5.15,9380.85,2014.36,6.93,69.57
6.45,12553.05,2467.28,7.1,67.05
3.95,7197.86,1332.95,8.33,76.74
4.51,9869.06,1705.33,7.64,80.7
4.41,8766.12,1753.37,7.74,80.41
2.8,5436.5,1281.8,8.33,88.57
5.44,11332.94,2244.99,7.43,69.49
5.39,10222.29,2187.14,8.03,89.47
5.01,9631.91,1963.06,7.98,71.07
4.65,9330.27,1800.93,6.6,69.54
2.88,6268.27,1291.34,8.53,75.76
4.37,8988.91,1767.69,6.51,61.11
4.49,9096.02,1584.11,8.14,89.23
3.8,7632.23,1451.28,6.44,68.54
4.76,9716.26,1817.41,7.92,76.48
5.61,11312.98,2187.8,8.8,85.44
7.83,15143.57,3188.0,7.35,74.01
5.26,10546.77,2094.0,7.32,75.78
5.39,10235.81,2146.84,7.93,85.53
4.89,9817.2,2086.68,7.27,70.41
2.12,4003.36,779.09,8.77,79.67
4.96,11190.15,2170.51,7.63,77.13
5.09,10160.74,1969.01,7.28,70.47
8.69,16687.61,3486.87,7.12,64.71
4.71,9355.83,1856.46,6.85,69.96
5.45,11164.32,2193.27,7.06,69.54
4.95,10732.55,2023.63,7.25,74.08
3.25,6199.24,1342.18,7.16,67.11
6.71,12637.25,2610.38,7.04,72.83
6.13,12664.22,2338.87,8.97,83.11
6.19,11682.8,2724.94,6.78,63.65
3.64,7053.76,1405.97,7.6,74.81
7.1,14079.57,2911.6,7.91,87.86
2.9,5759.63,998.13,7.94,83.33
5.88,12105.15,2324.15,7.46,79.98
8.29,16229.55,3301.55,7.33,80.4
3.51,6891.53,1452.96,7.82,96.17
4.15,8293.97,1387.98,7.69,77.07
5.15,10373.75,2076.4,7.32,80.29
4.24,8538.49,1582.94,6.41,69.13
2.67,5566.01,1102.04,7.17,76.7
5.1,10627.61,1937.5,6.7,75.85
3.41,7009.41,1277.07,7.03,68.23
5.71,11647.57,2256.79,7.52,72.74
3.62,6450.62,1343.11,7.75,79.11
7.32,14674.92,2882.41,8.75,86.55
3.83,7889.99,1410.71,7.12,72.83
4.52,9398.29,1623.45,8.04,88.24
6.22,12094.38,2589.91,7.71,74.75
3.15,5977.89,1131.88,8.41,82.55
5.34,10395.33,2118.61,7.9,79.91
6.96,14189.64,2859.57,6.79,66.8
2.59,5694.49,974.02,6.29,53.37
5.28,10350.17,2028.26,7.72,74.28
5.39,11233.63,2178.55,7.13,74.74
6.17,12407.21,2580.89,6.81,75.33
3.14,6227.0,1140.9,6.61,60.35
3.02,5932.94,1192.71,7.61,70.33
5.78,11939.13,2139.92,8.56,85.71
5.45,11053.74,2138.87,7.21,61.76
5.38,11889.39,2153.72,7.91,76.91
5.52,10613.23,2122.41,7.43,65.6
3.98,8218.98,1546.29,6.6,72.82
5.35,10432.16,1998.53,8.01,76.3
5.44,10444.57,2183.55,6.73,75.6
3.93,7851.51,1676.96,7.52,80.72
7.8,15666.0,3009.75,7.26,69.38
5.71,12880.59,2222.03,8.13,75.89
3.21,6334.02,1335.47,6.76,66.63
5.98,11404.57,2515.14,7.77,77.21
3.54,7212.46,1265.87,6.91,70.85
6.18,11323.93,2455.37,7.14,67.54
6.74,13429.81,2723.47,4.96,53.29
3.77,7545.97,1497.38,8.96,90.97
6.45,13287.43,2330.35,7.89,77.15
5.62,11725.15,2297.78,6.96,66.07
6.23,12214.4,2645.17,6.71,66.2
7.85,15615.07,3149.74,7.15,67.45
4.63,8880.78,1749.66,8.0,80.31
3.87,7174.76,1496.45,6.18,62.18
3.67,7486.4,1643.28,7.4,75.32
3.78,6915.78,1601.51,8.74,96.23
4.88,9561.38,2017.74,6.71,66.4
5.51,10525.87,2240.33,7.56,80.59
5.42,11104.91,2099.9,9.04,91.57
6.24,13382.26,2476.25,7.94,78.23
5.02,9388.21,2000.01,7.59,75.29
7.18,13434.09,2927.08,7.85,78.25
4.6,9143.59,1992.1,7.22,73.59
9.08,18168.36,3743.94,8.41,79.3
5.94,11986.33,2233.46,7.22,64.88
3.71,7205.37,1508.1,6.13,64.56
3.39,6687.0,1431.14,7.23,76.75
5.72,11631.17,2351.37,6.82,71.96
4.66,9849.83,1803.0,7.3,73.81
6.07,11164.48,2719.81,7.32,77.02
5.71,11235.24,2156.23,8.34,86.95
4.89,9888.42,1847.98,7.99,83.81
3.73,7000.63,1515.28,7.68,72.55
2.73,6321.04,1302.77,7.5,69.49
4.33,8342.75,1648.47,6.76,65.65
6.28,12548.55,2487.26,5.97,59.64
5.32,10920.29,2236.19,7.58,74.58
3.13,5967.14,1250.77,8.06,71.18
5.26,9596.26,2070.45,7.42,82.85
5.58,10941.62,2287.75,7.13,69.89
3.67,7863.15,1496.94,7.83,79.12
5.23,10292.73,2195.28,7.44,80.64
5.09,9751.41,2164.07,8.68,75.08
3.29,7033.93,1344.92,8.36,81.07
5.54,10907.97,2243.85,8.17,79.78
5.84,11427.27,2357.88,8.03,78.62
6.62,13323.88,2698.74,6.6,65.1
6.58,13546.78,2637.8,7.96,86.88
2.93,7057.85,1173.34,7.76,81.0
3.59,7600.14,1556.97,7.92,84.04
5.77,12125.03,2460.63,7.84,78.68
5.77,11288.37,2157.52,7.82,71.17
5.77,11032.21,2310.03,9.39,83.51
10.78,21589.36,4242.77,7.45,66.82
5.86,11766.26,2311.44,8.16,83.35
6.7,12867.44,2721.59,7.17,71.86
6.43,12774.36,2639.34,8.05,79.48
5.98,12153.83,2379.62,8.16,79.73
4.53,9234.39,1619.5,7.76,87.61
6.14,12529.05,2358.88,8.67,82.57
3.84,7827.01,1625.95,6.88,73.45
4.64,9036.04,1583.87,7.16,71.6
4.27,8286.96,1827.52,7.65,76.18
5.12,9646.15,2101.25,8.12,87.05
8.47,17836.36,3520.41,7.63,83.57
2.2,4404.93,859.78,8.4,82.8
6.03,11946.35,2205.62,7.04,74.36
2.58,4697.46,1075.41,6.7,68.84
4.29,10052.03,1844.31,7.72,77.19
6.63,12730.19,2745.84,7.45,75.48
5.1,9978.42,1972.3,7.88,75.36
3.38,6974.68,1362.03,7.48,73.28
3.93,8154.2,1517.53,7.26,69.72
6.02,12517.76,2325.83,7.45,78.98
3.9,8712.7,1657.32,7.52,74.73
5.32,10902.45,2010.12,7.29,66.38
5.07,9608.7,1937.96,7.36,69.96
4.02,7916.73,1498.64,7.22,56.18
8.22,16585.75,3137.34,8.1,78.52
5.95,12935.87,2394.99,7.64,76.55
1.96,3225.67,901.06,9.08,90.12
5.28,11160.65,2093.38,7.61,86.03
4.01,8104.6,1452.35,7.11,74.02
6.28,12976.22,2595.45,9.37,96.35
3.81,7571.44,1693.06,7.79,69.68
4.83,9234.57,1866.53,8.19,80.11
5.76,11890.4,2255.14,7.91,76.71
6.3,12924.48,2571.02,7.94,75.43
3.2,6885.14,1442.01,7.87,74.75
4.5,8989.84,1747.32,6.73,58.24
4.29,8275.25,1581.79,7.76,71.19
4.02,7260.62,1671.14,6.57,70.1
7.65,15706.05,3139.18,7.38,73.06
5.61,11426.89,2243.6,6.99,67.39
3.11,5734.46,1187.66,7.75,77.48
6.38,12484.3,2650.16,7.73,83.18
8.18,16133.09,3326.1,7.84,78.39
6.55,12355.9,2542.64,7.7,79.71
2.72,5033.05,1093.29,7.08,66.52
4.27,7980.38,1574.29,7.32,70.08
6.9,13594.49,2828.74,8.14,83.21
3.94,7507.64,1549.17,8.25,91.94
5.67,10517.96,2222.72,6.7,74.12
6.16,13335.2,2461.49,6.43,67.2
3.61,7845.48,1447.87,6.99,70.67
4.91,9431.91,2053.78,8.23,89.32
0.14,412.41,114.35,8.35,87.48
3.46,7135.57,1369.73,6.85,57.06
4.62,9837.84,1924.83,7.72,71.88
3.13,5847.35,1291.4,8.78,89.53
7.45,15443.29,2936.79,7.79,68.97
2.85,5435.62,1129.44,8.5,80.46
4.34,8011.94,1721.15,8.2,78.49
5.2,10754.29,2128.97,6.86,67.35
7.16,14969.2,2828.06,7.37,72.23
2.85,6986.37,1099.44,7.52,73.8
6.74,12889.63,2894.77,7.57,79.86
5.02,10380.16,2100.11,8.14,80.09
3.53,6850.57,1335.03,7.79,75.94
5.69,11777.99,2334.36,5.44,47.7
5.3,9861.93,2131.27,6.58,70.93
4.1,7567.96,1679.02,5.97,56.33
5.1,9821.47,2055.62,7.62,70.79
4.42,8883.54,1887.78,7.67,77.75
5.17,10020.01,2102.67,7.7,73.15
5.99,12315.92,2391.07,6.83,65.66
7.38,15271.5,3055.83,7.97,81.01
3.14,6586.34,1280.64,8.0,78.38
8.2,17208.49,3291.97,6.62,77.77
2.07,4351.65,860.15,6.47,64.36
4.77,8936.2,1899.57,7.5,78.09
5.88,12446.64,2353.91,8.75,77.83
5.42,10540.4,2109.93,8.69,82.59
4.07,8587.11,1551.26,7.89,73.51
4.69,10162.5,1775.27,6.99,65.12
4.26,8749.34,1565.0,8.12,83.29
4.12,7483.83,1558.41,7.18,77.01
6.27,12089.7,2492.33,6.96,71.35
5.54,11732.42,2224.52,6.0,58.86
3.96,7836.71,1557.12,7.57,72.56
6.35,12738.59,2304.19,7.06,76.16
5.46,11301.31,2341.84,7.57,86.03
6.22,12786.75,2596.37,5.89,59.58
5.94,12028.29,2422.35,7.62,80.89
3.76,7408.68,1693.35,5.8,59.7
4.16,8163.12,1566.15,8.26,86.39
6.12,12670.83,2637.14,7.87,72.83
5.92,12107.9,2269.7,7.3,70.61
4.97,9808.65,2011.33,7.89,80.92
5.18,10893.04,1943.01,6.82,74.22
6.92,13768.48,2768.07,7.55,71.42
4.11,7799.45,1683.67,8.06,70.4
5.82,11261.81,2312.79,5.33,50.85
4.7,8904.05,1950.07,7.19,76.92
4.67,9210.75,1879.29,7.48,66.92
6.65,13913.19,2607.02,7.36,67.74
6.24,12073.7,2438.57,8.52,85.98
6.22,12534.77,2569.2,6.71,66.55
6.96,13588.09,2717.91,7.07,73.62
5.03,9932.86,2104.14,6.16,55.45
6.02,11290.84,2531.44,8.56,83.95
4.53,8958.93,1646.97,7.33,79.25
5.49,10875.65,2307.79,7.19,65.97
4.8,9879.71,2127.96,7.46,82.02
5.15,10402.63,2083.4,7.95,74.12
5.89,11186.28,2417.0,7.74,81.68
3.77,8087.44,1612.77,9.35,91.67
8.14,16382.31,3227.88,7.82,72.45
3.49,7081.14,1414.62,7.17,69.26
3.18,6352.84,1140.07,7.11,73.8
6.74,13215.45,2708.73,7.23,72.22
6.19,12483.89,2524.81,6.45,70.08
5.94,12110.15,2426.09,7.53,82.46
5.94,11011.59,2483.55,8.05,74.57
4.98,9693.88,1915.17,7.07,64.43
3.65,7180.76,1408.39,6.93,62.82
5.11,10355.5,2235.03,8.56,81.12
3.98,8565.17,1578.67,6.5,70.54
6.46,12539.49,2605.08,6.05,63.33
4.78,9309.85,1905.06,6.69,64.2
3.76,7267.24,1422.53,6.42,64.16
4.52,8635.08,1969.52,7.77,84.73
5.62,11065.2,2194.99,7.25,82.02
4.15,8694.23,1549.04,7.35,74.76
3.77,7006.42,1461.59,8.31,69.77
5.37,10944.97,1946.04,7.02,71.65
5.37,9883.95,2081.85,8.04,85.1
4.24,8198.5,1599.02,8.56,86.7
4.29,8422.14,1779.12,7.18,75.44
5.35,11533.58,2071.89,8.02,81.94
2.83,5518.35,1219.93,7.33,67.13
2.89,4676.99,1295.37,8.15,77.04
3.92,6845.22,1647.05,6.4,62.39
4.68,9376.67,1850.39,6.35,68.81
5.47,11239.61,2200.66,7.23,68.43
7.21,14613.8,2732.72,6.88,71.06
6.29,12656.76,2501.22,7.14,72.9
4.76,10101.31,1817.99,7.35,81.39
4.97,9673.16,2058.02,8.0,79.83
3.5,7439.87,1655.76,7.21,63.37
4.97,9128.45,2038.87,6.92,72.47
4.57,8681.55,1627.69,7.25,83.23
5.48,10064.63,2157.51,6.96,73.18
3.76,7380.88,1515.91,6.85,64.52
5.78,11534.91,2320.34,6.37,58.3
7.3,14655.27,2846.56,7.55,70.72
4.84,9704.66,1959.27,7.1,81.04
5.6,10741.36,2116.78,8.18,80.13
6.04,11975.31,2319.6,6.49,61.56
4.4,8047.62,1823.85,7.12,70.41
5.34,11353.89,2032.89,8.77,86.11
5.02,9885.96,2061.38,6.84,76.26
5.15,10048.59,1921.66,7.33,68.27
3.84,8475.44,1712.68,6.65,72.39
5.04,9452.41,1937.28,6.56,66.17
5.75,10931.2,2276.43,8.58,91.87
7.18,13805.32,2903.75,7.62,84.11
6.44,12843.88,2519.03,7.59,76.36
8.23,16675.36,3306.25,6.31,61.55
3.85,8067.8,1597.13,7.75,77.84
6.31,13902.96,2619.45,8.31,82.63
5.28,9425.31,2189.15,8.3,74.76
8.28,16873.78,3296.7,7.97,87.44
3.79,7296.54,1500.36,6.71,68.32
3.74,7187.63,1731.08,7.72,71.38
4.1,7891.94,1735.35,7.97,69.34
1.81,3173.93,633.48,6.24,50.8
4.21,9265.0,1694.55,6.72,71.0
3.86,8143.75,1511.01,8.12,78.12
5.23,10462.78,2076.7,8.11,78.86
5.51,11700.78,2082.1,6.42,66.6
7.81,14872.25,3084.51,8.06,77.98
6.43,12185.92,2751.41,7.57,78.4
4.13,7180.31,1711.77,8.05,80.94
3.65,6955.05,1211.84,7.06,70.14
5.74,11556.61,2416.82,7.95,71.65
3.02,6090.73,1316.82,8.09,76.81
7.75,15569.05,3062.95,7.25,75.55
6.77,12832.79,2779.39,7.51,71.71
4.3,8994.05,1632.55,7.05,76.49
2.43,4980.41,925.09,8.66,98.29
7.03,14428.14,2962.18,7.42,77.44
4.83,8710.0,1904.1,6.85,76.01
6.86,13869.19,2555.72,7.0,73.59
2.61,4622.83,1037.01,7.59,73.22
4.1,8003.21,1632.52,8.03,81.27
5.01,10282.91,2122.98,6.56,75.72
5.07,10186.49,2029.62,8.79,85.32
4.32,8224.03,1687.8,7.72,71.96
5.93,11871.69,2478.22,7.83,72.59
3.4,6031.37,1371.51,7.43,73.23
4.79,10148.0,1839.57,7.51,70.12
5.18,10258.24,2187.68,7.4,82.33
5.77,12102.59,2328.03,8.21,83.21
6.07,11871.58,2427.26,7.49,79.8
3.31,6364.29,1343.01,8.04,78.88
2.7,5015.56,972.46,7.2,66.26
6.92,14271.12,2713.84,7.64,69.82
5.5,10642.23,2199.75,6.94,64.83
3.88,8076.84,1531.44,8.35,85.25
7.33,14462.23,3057.93,6.92,71.76
5.17,9359.04,2091.15,7.27,75.74
6.77,13252.73,2793.07,7.28,65.35
5.1,9613.0,2041.45,7.25,72.52
8.09,16199.2,3342.08,8.01,74.93
7.63,14670.82,3092.96,7.28,74.79
4.63,9716.1,1851.96,8.48,87.15
6.46,12869.17,2581.61,6.93,63.41
5.97,11847.33,2291.78,7.62,81.03
7.05,14433.84,2871.87,6.96,81.26
3.55,7587.18,1417.03,7.79,82.12
6.03,12048.11,2361.43,7.49,74.07
6.59,12789.67,2745.7,7.39,72.33
2.36,3836.8,819.73,8.33,82.27
3.23,6107.2,1247.8,7.04,66.62
1.94,3573.7,879.23,7.91,80.37
4.6,9245.31,1869.91,6.96,63.92
6.08,11980.05,2425.74,7.58,66.34
7.25,14851.04,2926.51,6.66,67.73
5.11,9915.79,2062.4,7.04,70.47
7.44,14857.33,2825.5,7.44,71.57
2.93,6451.69,1137.01,8.77,81.29
2.44,5060.77,1139.62,7.57,77.15
4.92,9803.34,1900.74,8.66,81.63
5.58,10851.22,2198.61,7.65,75.85
4.95,9585.3,1926.22,7.23,81.12
1.9,3372.37,750.83,8.58,89.03
4.87,9462.14,1888.22,7.81,71.21
3.04,6464.42,1265.99,7.05,64.13
6.0,11898.07,2421.53,7.83,79.05
5.55,10424.91,2297.31,7.3,66.08
3.59,8064.45,1330.98,6.11,51.07
4.23,8618.38,1657.65,8.16,84.21
3.41,6118.89,1341.9,8.27,84.27
4.91,9591.04,2007.96,8.79,90.12
6.43,12920.87,2493.76,7.8,79.27
3.52,7895.12,1500.13,7.33,72.93
5.76,10958.08,2421.07,8.08,77.53
4.2,8897.25,1582.96,8.09,83.53
3.81,8321.12,1475.19,8.65,94.12
4.84,9364.58,1882.59,7.47,72.18
3.45,6755.52,1642.09,7.38,68.74
4.17,7820.9,1624.82,7.0,64.32
3.2,6304.64,1449.04,7.88,74.43
7.95,15875.88,3052.17,6.42,65.18
5.05,10435.62,1922.19,8.04,69.73
3.95,8445.92,1511.5,7.91,81.31
5.32,10267.89,2043.82,7.91,82.32
4.83,8679.35,1905.81,7.6,66.98
4.67,9326.47,1796.54,8.57,80.83
5.92,11989.27,2286.57,8.11,81.5
6.14,12397.23,2570.35,7.08,70.03
4.2,8245.16,1804.08,7.09,73.47
4.14,8334.92,1749.44,6.88,68.14
4.59,9932.57,1887.37,7.89,85.18
1.55,3285.1,628.12,6.8,66.39
2.73,5267.74,1041.18,8.26,77.67
7.05,13850.52,2724.81,8.43,78.94
7.47,14849.98,3023.28,6.88,72.52
4.63,10071.26,1733.22,7.37,73.85
5.86,11638.02,2246.54,7.51,78.28
5.47,10923.85,2302.04,8.12,84.25
9.62,18995.49,4037.39,8.63,76.17
6.68,13908.22,2711.07,6.32,57.5
4.81,10596.17,2033.9,7.28,67.67
3.57,7358.69,1402.09,7.31,69.06
2.59,5222.05,902.36,6.52,63.09
5.31,10628.78,2183.3,7.16,76.6
3.87,6538.79,1603.12,7.8,83.99
2.87,6105.81,1153.81,7.3,71.58
4.03,8127.36,1587.82,6.42,62.93
3.38,6969.53,1447.29,9.51,91.59
7.53,14705.69,2913.71,7.69,77.31
6.32,12452.69,2451.61,7.58,76.79
4.99,9770.57,1894.41,6.73,71.35
7.22,14950.64,2896.46,7.68,80.82
5.12,10042.73,1937.63,7.39,62.34
3.71,8457.48,1414.81,6.18,61.02
7.28,14784.8,2843.3,6.75,74.43
5.81,10978.89,2297.29,8.06,78.37
3.44,6823.99,1228.91,8.86,94.3
4.71,9103.15,1894.52,7.76,76.04
3.69,6275.95,1599.36,8.27,83.6
2.93,6651.34,1183.87,7.39,68.23
6.39,13130.1,2709.84,7.44,68.9
7.86,15994.85,3279.05,8.26,86.26
2.9,5887.0,1238.63,8.66,91.05
5.84,10997.9,2345.25,8.41,84.24
4.02,7806.26,1611.86,6.75,61.4
4.27,8959.51,1784.1,7.45,74.75
4.11,7697.21,1605.4,7.69,83.23
3.7,6142.14,1293.35,7.32,81.9
5.07,10032.01,2078.31,7.77,76.13
3.75,7436.27,1388.32,8.07,72.44
5.41,10879.15,2066.06,8.2,86.22
4.92,10213.54,1969.88,8.68,85.42
4.64,9601.96,1847.12,7.27,77.41
3.64,7406.69,1314.25,6.55,66.86
4.13,8867.45,1670.49,7.75,73.09
6.13,11506.69,2549.85,8.82,88.48
5.75,11755.04,2187.72,7.17,78.2
3.53,7380.6,1540.72,7.98,79.06
5.15,9678.22,1903.58,7.99,74.7
6.13,11502.73,2662.56,7.63,68.4
2.5,4618.81,957.23,7.5,71.19
5.82,11299.31,2340.58,6.85,66.49
4.01,8388.84,1413.22,5.9,63.13
5.86,11404.53,2336.15,6.72,61.61
3.86,7282.05,1564.89,7.23,80.04
2.29,4279.54,908.45,8.27,76.0
2.56,5676.69,967.17,7.43,85.94
5.07,10150.78,1934.19,7.14,79.99
5.39,10689.54,2268.89,6.88,69.47
3.64,7232.05,1460.49,7.96,71.36
5.96,12561.81,2537.23,8.45,84.23
2.51,4640.85,950.44,8.24,80.51
4.9,10459.51,1916.87,7.92,72.87
3.18,6472.2,1354.95,6.47,66.13
4.02,7964.28,1446.6,7.25,68.42
5.07,11392.65,1907.09,8.86,85.06
3.71,6890.94,1593.5,8.29,81.84
4.42,8669.49,1652.07,6.42,61.36
6.51,12402.66,2421.87,7.46,85.0
4.13,8745.56,1840.72,7.75,74.86
6.25,13351.67,2362.03,6.97,71.87
3.31,7445.84,1340.59,5.88,59.56
5.79,12201.39,2324.79,7.57,77.46
7.16,14225.9,2583.88,6.95,71.63
1.29,2402.45,490.28,6.95,73.92
3.8,6773.73,1566.7,7.25,73.85
5.87,12749.15,2381.67,7.41,75.19
4.7,9625.35,1968.52,7.49,75.23
5.56,10867.46,2183.94,6.88,68.12
4.09,8852.07,1708.86,7.35,68.9
5.13,9773.39,1983.02,6.27,62.39
4.77,9736.28,1765.55,7.72,78.38
6.75,13417.03,2570.9,5.5,57.02
5.38,11082.6,2006.44,7.3,73.87
5.51,10981.02,2303.52,8.14,80.27
4.38,8038.91,1601.42,6.76,67.3
4.27,8574.97,1734.84,8.0,77.25
4.35,9226.76,1713.87,8.31,84.66
5.59,11168.75,2226.41,5.18,50.74
4.37,9124.6,1883.77,7.39,74.84
5.43,10346.56,2130.02,5.49,59.87
8.11,16213.07,3306.4,7.42,70.63
6.31,12301.12,2526.43,7.49,77.93
4.51,9395.42,1789.18,5.76,57.79
6.8,13619.39,2950.73,8.85,98.58
4.39,9120.81,1611.02,7.7,75.92
1.94,4429.48,906.04,6.91,72.53
3.49,7321.55,1460.79,8.53,85.33
2.19,4524.18,829.57,6.24,55.49
4.47,8446.35,1952.02,6.64,63.79
5.03,10053.86,1826.24,5.89,63.31
7.51,14762.77,2953.69,8.76,85.44
5.49,10808.75,2075.31,7.73,66.23
4.67,9155.43,1909.75,7.96,79.46
6.24,11998.25,2386.34,7.71,71.65
1.68,2387.92,716.63,7.9,79.68
5.35,10372.77,2122.73,7.55,83.3
6.16,12409.29,2414.58,7.69,80.74
2.78,4890.15,1151.71,7.58,83.44
6.72,13439.1,2659.39,7.07,67.93
5.51,11965.62,2094.23,7.47,73.96
4.38,9265.66,2030.96,7.69,71.69
5.95,12720.12,2330.95,7.58,72.35
8.41,17007.64,3140.65,6.47,60.02
5.27,11129.35,2024.91,6.56,59.05
5.37,10382.68,2022.2,8.26,89.41
4.31,8299.75,1807.0,7.29,62.39
3.73,6080.9,1522.26,7.91,85.94
6.25,13084.08,2538.07,6.74,73.59
3.72,8201.91,1449.35,6.47,67.19
5.11,9938.11,2015.0,6.91,63.52
4.28,8440.05,1676.31,7.34,65.53
5.72,11060.01,2279.27,7.03,67.6
5.5,11192.31,2283.73,8.41,87.18
6.56,13675.09,2656.13,7.63,76.27
4.23,7598.56,1744.0,8.79,82.73
4.6,9395.09,1888.03,7.78,83.57
3.53,6925.37,1501.19,5.81,66.53
4.33,8723.82,1762.24,8.24,81.26
5.57,11361.4,2262.27,6.44,64.98
6.14,12176.86,2573.07,7.66,69.07
3.62,7181.71,1380.2,6.96,67.51
6.3,12501.88,2436.19,9.0,92.55
7.03,14552.07,2694.79,8.51,86.85
5.62,11449.68,2266.35,6.98,67.27
7.82,15740.68,2940.7,7.41,72.74
3.84,7043.16,1581.94,7.67,74.48
3.13,6076.75,1242.29,8.1,79.65
2.33,5113.17,1046.23,7.52,77.32
7.24,14506.98,2830.43,6.78,57.99
5.98,12292.86,2372.29,7.0,69.61
4.92,10716.5,2078.87,7.5,76.72
5.42,11359.21,2306.29,8.36,80.79
3.31,6670.11,1256.69,7.8,75.6
8.67,17081.76,3485.63,6.96,67.33
5.19,9110.89,2106.97,7.95,77.14
5.16,10243.99,2103.0,7.23,72.32
6.09,12014.29,2409.2,8.12,81.88
5.72,11638.21,2416.74,9.27,82.19
5.34,10594.7,1945.36,7.25,75.75
3.81,7468.38,1483.6,8.06,79.16
5.71,10524.71,2327.67,6.98,79.45
7.82,15176.09,3174.94,7.42,68.26
7.02,14274.59,2942.53,7.52,70.87
7.39,15637.51,3075.73,7.36,72.63
4.23,8417.59,1664.72,9.22,94.31
3.52,7195.09,1536.22,7.29,63.1
4.81,10098.88,1853.12,7.91,74.96
5.08,9761.73,2126.52,6.15,64.45
6.64,13465.98,2837.57,7.8,73.28
2.46,4552.36,1106.02,8.3,89.84
7.29,15021.06,2928.31,7.13,69.04
4.76,9601.68,1872.02,5.74,52.93
